cricetulus_griseus_crigri-picr ENSCGRG00015028662
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010232
cricetulus_griseus_crigri_1.0 ENSCGRG00000019825
mus_spicilegus ENSMSIG00000025299
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000071586
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021248
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020355
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020354
jaculus_jaculus ENSJJAG00000003834
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000019973
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100020315
cavia_porcellus ENSCPOG00000032672
marmota_marmota_marmota ENSMMMG00000003318
spermophilus_dauricus ENSSDAG00000008635
urocitellus_parryii ENSUPAG00010020704
ictidomys_tridecemlineatus ENSSTOG00000025374
castor_canadensis ENSCCNG00000021666
loxodonta_africana ENSLAFG00000029818
