gadus_morhua ENSGMOG00000016922
esox_lucius ENSELUG00000007662
takifugu_rubripes ENSTRUG00000010989
tetraodon_nigroviridis ENSTNIG00000010113
mola_mola ENSMMOG00000003478
labrus_bergylta ENSLBEG00000015586
gasterosteus_aculeatus ENSGACG00000002837
seriola_dumerili ENSSDUG00000013518
seriola_lalandi_dorsalis ENSSLDG00000006294
scophthalmus_maximus ENSSMAG00000015839
mastacembelus_armatus ENSMAMG00000023070
monopterus_albus ENSMALG00000001029
anabas_testudineus ENSATEG00000012521
xiphophorus_maculatus ENSXMAG00000010180
xiphophorus_couchianus ENSXCOG00000009405
gambusia_affinis ENSGAFG00000007760
poecilia_mexicana ENSPMEG00000022832
poecilia_formosa ENSPFOG00000011176
poecilia_latipinna ENSPLAG00000000883
poecilia_reticulata ENSPREG00000018335
fundulus_heteroclitus ENSFHEG00000017676
cyprinodon_variegatus ENSCVAG00000001118
kryptolebias_marmoratus ENSKMAG00000007524
oryzias_latipes_asm223471v1 ENSORLG00020015871
oryzias_latipes_asm223467v1 ENSORLG00000008167
oryzias_latipes_asm223469v1 ENSORLG00015016024
oryzias_melastigma ENSOMEG00000009456
maylandia_zebra ENSMZEG00005021610
astatotilapia_calliptera ENSACLG00000025450
haplochromis_burtoni ENSHBUG00000019576
pundamilia_nyererei ENSPNYG00000002072
neolamprologus_brichardi ENSNBRG00000023644
oreochromis_niloticus ENSONIG00000014234
amphilophus_citrinellus ENSACIG00000022671
amphiprion_ocellaris ENSAOCG00000012817
amphiprion_percula ENSAPEG00000021481
acanthochromis_polyacanthus ENSAPOG00000008491
acanthochromis_polyacanthus ENSAPOG00000007875
acanthochromis_polyacanthus ENSAPOG00000012971
stegastes_partitus ENSSPAG00000021661
cynoglossus_semilaevis ENSCSEG00000014221
periophthalmus_magnuspinnatus ENSPMGG00000009733
hippocampus_comes ENSHCOG00000008266
astyanax_mexicanus ENSAMXG00000002082
pygocentrus_nattereri ENSPNAG00000019431
ictalurus_punctatus ENSIPUG00000012470
danio_rerio ENSDARG00000038428
scleropages_formosus ENSSFOG00015014009
paramormyrops_kingsleyae ENSPKIG00000007233
lepisosteus_oculatus ENSLOCG00000004178
phascolarctos_cinereus ENSPCIG00000021140
notamacropus_eugenii ENSMEUG00000015390
sarcophilus_harrisii ENSSHAG00000016624
monodelphis_domestica ENSMODG00000007441
ursus_maritimus ENSUMAG00000018645
ursus_americanus ENSUAMG00000021175
ailuropoda_melanoleuca ENSAMEG00000006135
mustela_putorius_furo ENSMPUG00000010635
neovison_vison ENSNVIG00000016724
canis_lupus_dingo ENSCAFG00020017572
canis_lupus_familiaris ENSCAFG00000007673
vulpes_vulpes ENSVVUG00000018826
panthera_tigris_altaica ENSPTIG00000017169
panthera_pardus ENSPPRG00000024673
felis_catus ENSFCAG00000012285
equus_asinus_asinus ENSEASG00005001089
equus_caballus ENSECAG00000016927
myotis_lucifugus ENSMLUG00000011186
pteropus_vampyrus ENSPVAG00000012832
capra_hircus ENSCHIG00000026729
ovis_aries ENSOARG00000003329
bos_mutus ENSBMUG00000025848
bos_taurus ENSBTAG00000004720
bison_bison_bison ENSBBBG00000018233
tursiops_truncatus ENSTTRG00000011305
sus_scrofa ENSSSCG00000006197
vicugna_pacos ENSVPAG00000010886
erinaceus_europaeus ENSEEUG00000009946
sorex_araneus ENSSARG00000005524
dipodomys_ordii ENSDORG00000013254
castor_canadensis ENSCCNG00000011497
cavia_porcellus ENSCPOG00000000180
cavia_aperea ENSCAPG00000017571
chinchilla_lanigera ENSCLAG00000002339
octodon_degus ENSODEG00000005337
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015701
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016693
fukomys_damarensis ENSFDAG00000021066
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0014755
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000016918
mus_spicilegus ENSMSIG00000031021
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0013951
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023868
rattus_norvegicus ENSRNOG00000009037
meriones_unguiculatus ENSMUGG00000020783
cricetulus_griseus_crigri-picr ENSCGRG00015021152
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001008714
cricetulus_griseus_crigri_1.0 ENSCGRG00000005074
mesocricetus_auratus ENSMAUG00000010916
peromyscus_maniculatus_bairdii ENSPEMG00000014512
microtus_ochrogaster ENSMOCG00000019425
nannospalax_galili ENSNGAG00000014062
jaculus_jaculus ENSJJAG00000023545
