propithecus_coquereli ENSPCOG00000019370
microcebus_murinus ENSMICG00000000630
prolemur_simus ENSPSMG00000025052
otolemur_garnettii ENSOGAG00000027807
pan_paniscus ENSPPAG00000043966
pan_troglodytes ENSPTRG00000011148
homo_sapiens ENSG00000104892
gorilla_gorilla ENSGGOG00000015830
pongo_abelii ENSPPYG00000010116
rhinopithecus_bieti ENSRBIG00000029912
rhinopithecus_roxellana ENSRROG00000006762
colobus_angolensis_palliatus ENSCANG00000025686
piliocolobus_tephrosceles ENSPTEG00000036627
macaca_fascicularis ENSMFAG00000041224
macaca_mulatta ENSMMUG00000021891
macaca_nemestrina ENSMNEG00000040957
mandrillus_leucophaeus ENSMLEG00000040381
cercocebus_atys ENSCATG00000043270
theropithecus_gelada ENSTGEG00000020412
papio_anubis ENSPANG00000024512
chlorocebus_sabaeus ENSCSAG00000003201
cebus_capucinus_imitator ENSCCAG00000023117
saimiri_boliviensis_boliviensis ENSSBOG00000033253
callithrix_jacchus ENSCJAG00000012757
aotus_nancymaae ENSANAG00000020750
aotus_nancymaae ENSANAG00000034427
castor_canadensis ENSCCNG00000021764
dipodomys_ordii ENSDORG00000008004
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000040714
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030372
mus_spicilegus ENSMSIG00000006063
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029288
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021148
rattus_norvegicus ENSRNOG00000018101
meriones_unguiculatus ENSMUGG00000001506
cricetulus_griseus_crigri-picr ENSCGRG00015019721
cricetulus_griseus_crigri-picr ENSCGRG00015006875
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022712
mesocricetus_auratus ENSMAUG00000017859
peromyscus_maniculatus_bairdii ENSPEMG00000014005
microtus_ochrogaster ENSMOCG00000003970
nannospalax_galili ENSNGAG00000007710
jaculus_jaculus ENSJJAG00000022201
marmota_marmota_marmota ENSMMMG00000014476
spermophilus_dauricus ENSSDAG00000010560
ictidomys_tridecemlineatus ENSSTOG00000020494
urocitellus_parryii ENSUPAG00010021708
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003781
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009244
fukomys_damarensis ENSFDAG00000011083
cavia_aperea ENSCAPG00000008710
cavia_porcellus ENSCPOG00000015599
octodon_degus ENSODEG00000009706
chinchilla_lanigera ENSCLAG00000002431
ochotona_princeps ENSOPRG00000001816
procavia_capensis ENSPCAG00000006500
ursus_americanus ENSUAMG00000019549
ursus_maritimus ENSUMAG00000023480
ailuropoda_melanoleuca ENSAMEG00000012526
neovison_vison ENSNVIG00000008354
mustela_putorius_furo ENSMPUG00000006006
canis_lupus_dingo ENSCAFG00020012214
canis_lupus_familiaris ENSCAFG00000004502
vulpes_vulpes ENSVVUG00000004168
panthera_tigris_altaica ENSPTIG00000011057
panthera_pardus ENSPPRG00000022836
felis_catus ENSFCAG00000002676
equus_asinus_asinus ENSEASG00005013822
equus_caballus ENSECAG00000022555
pteropus_vampyrus ENSPVAG00000001327
capra_hircus ENSCHIG00000026294
ovis_aries ENSOARG00000009796
bison_bison_bison ENSBBBG00000003490
bos_taurus ENSBTAG00000002070
sus_scrofa ENSSSCG00000039864
echinops_telfairi ENSETEG00000004528
tursiops_truncatus ENSTTRG00000008289
bos_mutus ENSBMUG00000020258
myotis_lucifugus ENSMLUG00000012271
nomascus_leucogenys ENSNLEG00000001990
dasypus_novemcinctus ENSDNOG00000049555
carlito_syrichta ENSTSYG00000028974
phascolarctos_cinereus ENSPCIG00000022923
notamacropus_eugenii ENSMEUG00000016212
sarcophilus_harrisii ENSSHAG00000001691
apteryx_owenii ENSAOWG00000019311
apteryx_rowi ENSARWG00000009814
apteryx_haastii ENSAHAG00000012086
