anas_platyrhynchos_platyrhynchos ENSAPLG00000012521
anser_brachyrhynchus ENSABRG00000020453
meleagris_gallopavo ENSMGAG00000010646
coturnix_japonica ENSCJPG00005019745
gallus_gallus ENSGALG00000033614
numida_meleagris ENSNMEG00000013158
calidris_pugnax ENSCPUG00000005521
calidris_pygmaea ENSCPGG00000019063
cyanistes_caeruleus ENSCCEG00000022113
cyanistes_caeruleus ENSCCEG00000003317
parus_major ENSPMJG00000014700
lonchura_striata_domestica ENSLSDG00000016026
taeniopygia_guttata ENSTGUG00000003395
serinus_canaria ENSSCAG00000007702
junco_hyemalis ENSJHYG00000016647
zonotrichia_albicollis ENSZALG00000017874
ficedula_albicollis ENSFALG00000002102
manacus_vitellinus ENSMVIG00005001666
lepidothrix_coronata ENSLCOG00000003684
melopsittacus_undulatus ENSMUNG00000015976
apteryx_owenii ENSAOWG00000003716
apteryx_rowi ENSARWG00000013183
apteryx_haastii ENSAHAG00000002963
nothoprocta_perdicaria ENSNPEG00000012260
dromaius_novaehollandiae ENSDNVG00000004142
crocodylus_porosus ENSCPRG00005002046
chelonoidis_abingdonii ENSCABG00000002483
gopherus_agassizii ENSGAGG00000009974
chrysemys_picta_bellii ENSCPBG00000019418
pelodiscus_sinensis ENSPSIG00000016772
sphenodon_punctatus ENSSPUG00000016492
phascolarctos_cinereus ENSPCIG00000000249
sarcophilus_harrisii ENSSHAG00000004637
monodelphis_domestica ENSMODG00000006303
equus_caballus ENSECAG00000016445
equus_asinus_asinus ENSEASG00005005929
sorex_araneus ENSSARG00000006869
pteropus_vampyrus ENSPVAG00000016113
bos_mutus ENSBMUG00000014944
bos_taurus ENSBTAG00000018131
bison_bison_bison ENSBBBG00000022224
capra_hircus ENSCHIG00000016898
sus_scrofa ENSSSCG00000016138
vicugna_pacos ENSVPAG00000010138
myotis_lucifugus ENSMLUG00000023181
myotis_lucifugus ENSMLUG00000024865
ursus_americanus ENSUAMG00000013035
neovison_vison ENSNVIG00000005297
canis_lupus_dingo ENSCAFG00020014783
canis_lupus_familiaris ENSCAFG00000007928
vulpes_vulpes ENSVVUG00000025915
panthera_pardus ENSPPRG00000014095
panthera_tigris_altaica ENSPTIG00000006770
felis_catus ENSFCAG00000013892
tursiops_truncatus ENSTTRG00000003784
ovis_aries ENSOARG00000017519
ailuropoda_melanoleuca ENSAMEG00000002278
ursus_maritimus ENSUMAG00000008491
mustela_putorius_furo ENSMPUG00000005295
panthera_pardus ENSPPRG00000009449
erinaceus_europaeus ENSEEUG00000008000
echinops_telfairi ENSETEG00000016871
tupaia_belangeri ENSTBEG00000010876
echinops_telfairi ENSETEG00000010248
castor_canadensis ENSCCNG00000029206
castor_canadensis ENSCCNG00000008161
dipodomys_ordii ENSDORG00000007920
cricetulus_griseus_crigri-picr ENSCGRG00015028577
cricetulus_griseus_crigri_1.0 ENSCGRG00000013063
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010893
mesocricetus_auratus ENSMAUG00000019644
microtus_ochrogaster ENSMOCG00000004493
peromyscus_maniculatus_bairdii ENSPEMG00000030876
mus_spicilegus ENSMSIG00000011609
mus_spicilegus ENSMSIG00000008763
mus_spicilegus ENSMSIG00000005084
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021178
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000023027
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020283
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020286
rattus_norvegicus ENSRNOG00000061088
meriones_unguiculatus ENSMUGG00000020956
nannospalax_galili ENSNGAG00000018003
jaculus_jaculus ENSJJAG00000016574
jaculus_jaculus ENSJJAG00000019906
cavia_porcellus ENSCPOG00000033391
chinchilla_lanigera ENSCLAG00000000957
octodon_degus ENSODEG00000003243
octodon_degus ENSODEG00000011824
octodon_degus ENSODEG00000007435
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001267
