anabas_testudineus ENSATEG00000014065
gasterosteus_aculeatus ENSGACG00000004998
hippocampus_comes ENSHCOG00000012741
gadus_morhua ENSGMOG00000003614
esox_lucius ENSELUG00000008662
danio_rerio ENSDARG00000037046
paramormyrops_kingsleyae ENSPKIG00000007276
scleropages_formosus ENSSFOG00015002588
lepisosteus_oculatus ENSLOCG00000013955
anolis_carolinensis ENSACAG00000005567
pogona_vitticeps ENSPVIG00000022732
notechis_scutatus ENSNSUG00000017675
salvator_merianae ENSSMRG00000009555
sphenodon_punctatus ENSSPUG00000002009
chelonoidis_abingdonii ENSCABG00000016958
chrysemys_picta_bellii ENSCPBG00000021428
gopherus_agassizii ENSGAGG00000021444
pelodiscus_sinensis ENSPSIG00000015381
crocodylus_porosus ENSCPRG00005017571
apteryx_haastii ENSAHAG00000013823
apteryx_owenii ENSAOWG00000001689
apteryx_rowi ENSARWG00000002002
dromaius_novaehollandiae ENSDNVG00000001581
nothoprocta_perdicaria ENSNPEG00000008348
anas_platyrhynchos_platyrhynchos ENSAPLG00000002285
anser_brachyrhynchus ENSABRG00000015458
coturnix_japonica ENSCJPG00005017516
gallus_gallus ENSGALG00000009491
meleagris_gallopavo ENSMGAG00000011906
numida_meleagris ENSNMEG00000020124
calidris_pygmaea ENSCPGG00000007458
calidris_pugnax ENSCPUG00000007620
melopsittacus_undulatus ENSMUNG00000010153
taeniopygia_guttata ENSTGUG00000011497
lonchura_striata_domestica ENSLSDG00000010776
serinus_canaria ENSSCAG00000013145
zonotrichia_albicollis ENSZALG00000006758
junco_hyemalis ENSJHYG00000003692
ficedula_albicollis ENSFALG00000005107
lonchura_striata_domestica ENSLSDG00000010773
parus_major ENSPMJG00000015058
cyanistes_caeruleus ENSCCEG00000014303
lepidothrix_coronata ENSLCOG00000016367
manacus_vitellinus ENSMVIG00005010996
loxodonta_africana ENSLAFG00000015089
procavia_capensis ENSPCAG00000013774
echinops_telfairi ENSETEG00000010674
tupaia_belangeri ENSTBEG00000009735
dasypus_novemcinctus ENSDNOG00000049492
piliocolobus_tephrosceles ENSPTEG00000034424
colobus_angolensis_palliatus ENSCANG00000033281
rhinopithecus_bieti ENSRBIG00000036052
papio_anubis ENSPANG00000017192
mandrillus_leucophaeus ENSMLEG00000042770
theropithecus_gelada ENSTGEG00000018916
cercocebus_atys ENSCATG00000031821
macaca_nemestrina ENSMNEG00000040229
macaca_mulatta ENSMMUG00000015873
macaca_fascicularis ENSMFAG00000043482
chlorocebus_sabaeus ENSCSAG00000013118
rhinopithecus_roxellana ENSRROG00000031380
pan_troglodytes ENSPTRG00000006472
pan_paniscus ENSPPAG00000040660
homo_sapiens ENSG00000182185
gorilla_gorilla ENSGGOG00000041815
pongo_abelii ENSPPYG00000005931
nomascus_leucogenys ENSNLEG00000001037
saimiri_boliviensis_boliviensis ENSSBOG00000034071
cebus_capucinus_imitator ENSCCAG00000022517
callithrix_jacchus ENSCJAG00000015123
aotus_nancymaae ENSANAG00000038193
propithecus_coquereli ENSPCOG00000024427
microcebus_murinus ENSMICG00000010890
prolemur_simus ENSPSMG00000011323
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018737
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000059060
mus_spicilegus ENSMSIG00000015466
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017892
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029648
rattus_norvegicus ENSRNOG00000059245
meriones_unguiculatus ENSMUGG00000026380
meriones_unguiculatus ENSMUGG00000026377
cricetulus_griseus_crigri_1.0 ENSCGRG00000011728
cricetulus_griseus_crigri-picr ENSCGRG00015028015
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014395
mesocricetus_auratus ENSMAUG00000005570
microtus_ochrogaster ENSMOCG00000021684
peromyscus_maniculatus_bairdii ENSPEMG00000013737
nannospalax_galili ENSNGAG00000021783
jaculus_jaculus ENSJJAG00000020544
chinchilla_lanigera ENSCLAG00000003791
octodon_degus ENSODEG00000013988
cavia_porcellus ENSCPOG00000010748
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019409
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016581
fukomys_damarensis ENSFDAG00000000548
dipodomys_ordii ENSDORG00000010797
castor_canadensis ENSCCNG00000027584
spermophilus_dauricus ENSSDAG00000000187
urocitellus_parryii ENSUPAG00010012247
ictidomys_tridecemlineatus ENSSTOG00000015825
marmota_marmota_marmota ENSMMMG00000000363
oryctolagus_cuniculus ENSOCUG00000000597
ochotona_princeps ENSOPRG00000004782
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000367
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001486
carlito_syrichta ENSTSYG00000007149
pteropus_vampyrus ENSPVAG00000011684
myotis_lucifugus ENSMLUG00000000687
tursiops_truncatus ENSTTRG00000015505
sus_scrofa ENSSSCG00000028877
bos_taurus ENSBTAG00000018971
bos_mutus ENSBMUG00000012736
bison_bison_bison ENSBBBG00000006221
capra_hircus ENSCHIG00000014545
ovis_aries ENSOARG00000021175
vicugna_pacos ENSVPAG00000010471
neovison_vison ENSNVIG00000009560
mustela_putorius_furo ENSMPUG00000007261
ursus_americanus ENSUAMG00000019889
ursus_maritimus ENSUMAG00000010171
ailuropoda_melanoleuca ENSAMEG00000014347
canis_lupus_familiaris ENSCAFG00000016485
canis_lupus_dingo ENSCAFG00020005982
vulpes_vulpes ENSVVUG00000003528
panthera_pardus ENSPPRG00000013897
panthera_tigris_altaica ENSPTIG00000019179
felis_catus ENSFCAG00000007657
equus_caballus ENSECAG00000014132
equus_asinus_asinus ENSEASG00005008754
erinaceus_europaeus ENSEEUG00000001461
sorex_araneus ENSSARG00000001328
choloepus_hoffmanni ENSCHOG00000013872
sarcophilus_harrisii ENSSHAG00000000476
phascolarctos_cinereus ENSPCIG00000023306
monodelphis_domestica ENSMODG00000010114
latimeria_chalumnae ENSLACG00000017324
petromyzon_marinus ENSPMAG00000006474
eptatretus_burgeri ENSEBUG00000009999
