ciona_savignyi ENSCSAVG00000001410
ciona_intestinalis ENSCING00000022463
taeniopygia_guttata ENSTGUG00000008521
serinus_canaria ENSSCAG00000005116
zonotrichia_albicollis ENSZALG00000017165
cyanistes_caeruleus ENSCCEG00000021750
lonchura_striata_domestica ENSLSDG00000008953
parus_major ENSPMJG00000000060
junco_hyemalis ENSJHYG00000003411
ficedula_albicollis ENSFALG00000012764
lepidothrix_coronata ENSLCOG00000012846
manacus_vitellinus ENSMVIG00005018103
melopsittacus_undulatus ENSMUNG00000002172
calidris_pygmaea ENSCPGG00000012877
calidris_pugnax ENSCPUG00000019835
gallus_gallus ENSGALG00000006601
coturnix_japonica ENSCJPG00005016493
meleagris_gallopavo ENSMGAG00000008243
numida_meleagris ENSNMEG00000020274
apteryx_owenii ENSAOWG00000018371
apteryx_rowi ENSARWG00000003797
apteryx_haastii ENSAHAG00000007767
dromaius_novaehollandiae ENSDNVG00000002147
nothoprocta_perdicaria ENSNPEG00000004979
anser_brachyrhynchus ENSABRG00000014446
anas_platyrhynchos_platyrhynchos ENSAPLG00000006428
crocodylus_porosus ENSCPRG00005016989
gopherus_agassizii ENSGAGG00000015214
chelonoidis_abingdonii ENSCABG00000001110
chrysemys_picta_bellii ENSCPBG00000008947
anolis_carolinensis ENSACAG00000010288
pogona_vitticeps ENSPVIG00000006717
notechis_scutatus ENSNSUG00000014702
salvator_merianae ENSSMRG00000016518
sphenodon_punctatus ENSSPUG00000009551
loxodonta_africana ENSLAFG00000010144
procavia_capensis ENSPCAG00000013096
echinops_telfairi ENSETEG00000007693
dasypus_novemcinctus ENSDNOG00000002738
choloepus_hoffmanni ENSCHOG00000013438
capra_hircus ENSCHIG00000016043
ovis_aries ENSOARG00000006666
bos_taurus ENSBTAG00000009765
bos_mutus ENSBMUG00000011737
bison_bison_bison ENSBBBG00000004959
tursiops_truncatus ENSTTRG00000009741
vicugna_pacos ENSVPAG00000002870
sus_scrofa ENSSSCG00000011546
canis_lupus_dingo ENSCAFG00020015907
ursus_americanus ENSUAMG00000009884
ursus_maritimus ENSUMAG00000018991
ailuropoda_melanoleuca ENSAMEG00000016362
mustela_putorius_furo ENSMPUG00000017070
neovison_vison ENSNVIG00000015313
canis_lupus_familiaris ENSCAFG00000005459
canis_lupus_dingo ENSCAFG00020008718
vulpes_vulpes ENSVVUG00000024522
panthera_pardus ENSPPRG00000010211
panthera_tigris_altaica ENSPTIG00000009395
felis_catus ENSFCAG00000014190
equus_caballus ENSECAG00000020625
equus_asinus_asinus ENSEASG00005013346
pteropus_vampyrus ENSPVAG00000004691
myotis_lucifugus ENSMLUG00000012935
erinaceus_europaeus ENSEEUG00000014783
pan_troglodytes ENSPTRG00000023231
pan_paniscus ENSPPAG00000042894
