prolemur_simus ENSPSMG00000022206
propithecus_coquereli ENSPCOG00000018785
microcebus_murinus ENSMICG00000045476
pan_paniscus ENSPPAG00000028150
pan_troglodytes ENSPTRG00000049053
gorilla_gorilla ENSGGOG00000043289
homo_sapiens ENSG00000228486
nomascus_leucogenys ENSNLEG00000029397
rhinopithecus_bieti ENSRBIG00000025636
rhinopithecus_roxellana ENSRROG00000027674
piliocolobus_tephrosceles ENSPTEG00000024556
colobus_angolensis_palliatus ENSCANG00000007660
macaca_fascicularis ENSMFAG00000042666
macaca_nemestrina ENSMNEG00000029286
cercocebus_atys ENSCATG00000041108
mandrillus_leucophaeus ENSMLEG00000037280
theropithecus_gelada ENSTGEG00000008960
papio_anubis ENSPANG00000029524
saimiri_boliviensis_boliviensis ENSSBOG00000028073
peromyscus_maniculatus_bairdii ENSPEMG00000011441
microtus_ochrogaster ENSMOCG00000012250
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021770
cricetulus_griseus_crigri_1.0 ENSCGRG00000015736
cricetulus_griseus_crigri-picr ENSCGRG00015015063
mesocricetus_auratus ENSMAUG00000008540
mus_spicilegus ENSMSIG00000004349
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000102416
meriones_unguiculatus ENSMUGG00000022518
jaculus_jaculus ENSJJAG00000022674
dipodomys_ordii ENSDORG00000028365
fukomys_damarensis ENSFDAG00000019375
panthera_tigris_altaica ENSPTIG00000005687
felis_catus ENSFCAG00000045614
