lepidothrix_coronata ENSLCOG00000008609
calidris_pygmaea ENSCPGG00000000321
coturnix_japonica ENSCJPG00005006959
melopsittacus_undulatus ENSMUNG00000006467
cyanistes_caeruleus ENSCCEG00000022368
dromaius_novaehollandiae ENSDNVG00000004285
pteropus_vampyrus ENSPVAG00000017937
vulpes_vulpes ENSVVUG00000029816
sarcophilus_harrisii ENSSHAG00000000925
cricetulus_griseus_crigri-picr ENSCGRG00015025844
apteryx_owenii ENSAOWG00000002653
junco_hyemalis ENSJHYG00000009511
notechis_scutatus ENSNSUG00000015119
equus_caballus ENSECAG00000005219
tupaia_belangeri ENSTBEG00000003310
calidris_pugnax ENSCPUG00000017614
parus_major ENSPMJG00000013689
apteryx_haastii ENSAHAG00000005316
sphenodon_punctatus ENSSPUG00000002206
jaculus_jaculus ENSJJAG00000015638
mus_spicilegus ENSMSIG00000028712
cavia_porcellus ENSCPOG00000008137
pan_paniscus ENSPPAG00000035255
pan_troglodytes ENSPTRG00000047408
nomascus_leucogenys ENSNLEG00000032867
nomascus_leucogenys ENSNLEG00000030067
papio_anubis ENSPANG00000011140
mandrillus_leucophaeus ENSMLEG00000018501
canis_lupus_dingo ENSCAFG00020021820
ursus_americanus ENSUAMG00000012426
mustela_putorius_furo ENSMPUG00000019627
panthera_tigris_altaica ENSPTIG00000006416
procavia_capensis ENSPCAG00000008202
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018651
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029562
rattus_norvegicus ENSRNOG00000004791
dipodomys_ordii ENSDORG00000024175
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000021308
ochotona_princeps ENSOPRG00000013692
piliocolobus_tephrosceles ENSPTEG00000000632
cercocebus_atys ENSCATG00000011303
homo_sapiens ENSG00000165527
neovison_vison ENSNVIG00000000704
loxodonta_africana ENSLAFG00000004279
cricetulus_griseus_crigri_1.0 ENSCGRG00000019827
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017806
castor_canadensis ENSCCNG00000002229
theropithecus_gelada ENSTGEG00000007418
macaca_fascicularis ENSMFAG00000001534
chlorocebus_sabaeus ENSCSAG00000019408
microcebus_murinus ENSMICG00000047517
bos_mutus ENSBMUG00000021475
bison_bison_bison ENSBBBG00000000787
phascolarctos_cinereus ENSPCIG00000022099
ovis_aries ENSOARG00000000838
vicugna_pacos ENSVPAG00000008690
panthera_pardus ENSPPRG00000015754
chinchilla_lanigera ENSCLAG00000018079
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100020775
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010290
meriones_unguiculatus ENSMUGG00000001531
ictidomys_tridecemlineatus ENSSTOG00000022625
oryctolagus_cuniculus ENSOCUG00000001692
aotus_nancymaae ENSANAG00000017264
saimiri_boliviensis_boliviensis ENSSBOG00000004103
rhinopithecus_roxellana ENSRROG00000025566
pongo_abelii ENSPPYG00000005795
dasypus_novemcinctus ENSDNOG00000034463
notamacropus_eugenii ENSMEUG00000011444
monodelphis_domestica ENSMODG00000023914
nannospalax_galili ENSNGAG00000021182
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000044147
urocitellus_parryii ENSUPAG00010008117
fukomys_damarensis ENSFDAG00000020010
prolemur_simus ENSPSMG00000014453
propithecus_coquereli ENSPCOG00000000684
otolemur_garnettii ENSOGAG00000016339
colobus_angolensis_palliatus ENSCANG00000001712
cebus_capucinus_imitator ENSCCAG00000002381
sus_scrofa ENSSSCG00000005012
bos_taurus ENSBTAG00000045980
canis_lupus_familiaris ENSCAFG00000024150
capra_hircus ENSCHIG00000008760
ailuropoda_melanoleuca ENSAMEG00000019427
pan_paniscus ENSPPAG00000033272
gorilla_gorilla ENSGGOG00000043801
macaca_mulatta ENSMMUG00000041889
spermophilus_dauricus ENSSDAG00000009191
peromyscus_maniculatus_bairdii ENSPEMG00000024869
octodon_degus ENSODEG00000020106
callithrix_jacchus ENSCJAG00000039337
pan_troglodytes ENSPTRG00000052222
felis_catus ENSFCAG00000029339
equus_asinus_asinus ENSEASG00005008269
marmota_marmota_marmota ENSMMMG00000002177
rhinopithecus_bieti ENSRBIG00000009391
myotis_lucifugus ENSMLUG00000010869
ornithorhynchus_anatinus ENSOANG00000013982
pogona_vitticeps ENSPVIG00000004061
anolis_carolinensis ENSACAG00000001335
salvator_merianae ENSSMRG00000008691
manacus_vitellinus ENSMVIG00005005596
amphiprion_ocellaris ENSAOCG00000010283
hippocampus_comes ENSHCOG00000020174
takifugu_rubripes ENSTRUG00000021303
monopterus_albus ENSMALG00000017199
xenopus_tropicalis ENSXETG00000000038
acanthochromis_polyacanthus ENSAPOG00000007567
scophthalmus_maximus ENSSMAG00000006815
ursus_maritimus ENSUMAG00000007345
petromyzon_marinus ENSPMAG00000010222
apteryx_rowi ENSARWG00000007541
nothoprocta_perdicaria ENSNPEG00000015221
anas_platyrhynchos_platyrhynchos ENSAPLG00000001640
numida_meleagris ENSNMEG00000017350
lonchura_striata_domestica ENSLSDG00000008154
taeniopygia_guttata ENSTGUG00000013196
ficedula_albicollis ENSFALG00000014477
anser_brachyrhynchus ENSABRG00000013867
gallus_gallus ENSGALG00000026944
serinus_canaria ENSSCAG00000000753
chelonoidis_abingdonii ENSCABG00000012915
zonotrichia_albicollis ENSZALG00000008087
crocodylus_porosus ENSCPRG00005018088
chrysemys_picta_bellii ENSCPBG00000023360
pelodiscus_sinensis ENSPSIG00000001737
carlito_syrichta ENSTSYG00000011214
macaca_nemestrina ENSMNEG00000035341
microtus_ochrogaster ENSMOCG00000016767
capra_hircus ENSCHIG00000002358
latimeria_chalumnae ENSLACG00000004676
mola_mola ENSMMOG00000004719
tetraodon_nigroviridis ENSTNIG00000019582
labrus_bergylta ENSLBEG00000024782
gasterosteus_aculeatus ENSGACG00000007970
hippocampus_comes ENSHCOG00000004234
gadus_morhua ENSGMOG00000019926
poecilia_formosa ENSPFOG00000020288
xiphophorus_maculatus ENSXMAG00000022820
poecilia_formosa ENSPFOG00000020188
gambusia_affinis ENSGAFG00000007189
fundulus_heteroclitus ENSFHEG00000018863
cyprinodon_variegatus ENSCVAG00000015664
pundamilia_nyererei ENSPNYG00000001854
maylandia_zebra ENSMZEG00005011248
oreochromis_niloticus ENSONIG00000020807
gasterosteus_aculeatus ENSGACG00000012762
esox_lucius ENSELUG00000008890
danio_rerio ENSDARG00000052928
danio_rerio ENSDARG00000101626
lepisosteus_oculatus ENSLOCG00000017705
gadus_morhua ENSGMOG00000020564
xiphophorus_couchianus ENSXCOG00000007269
periophthalmus_magnuspinnatus ENSPMGG00000011427
meleagris_gallopavo ENSMGAG00000013730
choloepus_hoffmanni ENSCHOG00000005536
pundamilia_nyererei ENSPNYG00000022978
maylandia_zebra ENSMZEG00005020446
haplochromis_burtoni ENSHBUG00000020316
neolamprologus_brichardi ENSNBRG00000005982
amphiprion_ocellaris ENSAOCG00000007453
amphiprion_percula ENSAPEG00000024043
acanthochromis_polyacanthus ENSAPOG00000014406
stegastes_partitus ENSSPAG00000010914
mastacembelus_armatus ENSMAMG00000003591
monopterus_albus ENSMALG00000006693
oryzias_latipes_asm223471v1 ENSORLG00020008043
oryzias_latipes_asm223469v1 ENSORLG00015007416
oryzias_latipes_asm223467v1 ENSORLG00000016131
kryptolebias_marmoratus ENSKMAG00000004111
amphilophus_citrinellus ENSACIG00000006515
anabas_testudineus ENSATEG00000022314
seriola_lalandi_dorsalis ENSSLDG00000019584
astyanax_mexicanus ENSAMXG00000025290
scleropages_formosus ENSSFOG00015017742
labrus_bergylta ENSLBEG00000002492
mola_mola ENSMMOG00000000599
poecilia_mexicana ENSPMEG00000005166
poecilia_latipinna ENSPLAG00000004452
poecilia_reticulata ENSPREG00000011032
gambusia_affinis ENSGAFG00000015461
cyprinodon_variegatus ENSCVAG00000021469
fundulus_heteroclitus ENSFHEG00000016369
neolamprologus_brichardi ENSNBRG00000021379
periophthalmus_magnuspinnatus ENSPMGG00000022578
seriola_dumerili ENSSDUG00000002041
pygocentrus_nattereri ENSPNAG00000020250
scleropages_formosus ENSSFOG00015000666
amphilophus_citrinellus ENSACIG00000003701
cynoglossus_semilaevis ENSCSEG00000001921
seriola_lalandi_dorsalis ENSSLDG00000001161
seriola_dumerili ENSSDUG00000009325
scophthalmus_maximus ENSSMAG00000003118
kryptolebias_marmoratus ENSKMAG00000019856
oryzias_latipes_asm223471v1 ENSORLG00020009014
stegastes_partitus ENSSPAG00000000185
amphiprion_percula ENSAPEG00000023514
oryzias_melastigma ENSOMEG00000011194
mastacembelus_armatus ENSMAMG00000013130
pygocentrus_nattereri ENSPNAG00000008989
paramormyrops_kingsleyae ENSPKIG00000001075
astyanax_mexicanus ENSAMXG00000025904
eptatretus_burgeri ENSEBUG00000004811
ciona_savignyi ENSCSAVG00000006535
ciona_intestinalis ENSCING00000018174
drosophila_melanogaster FBgn0013750
