otolemur_garnettii ENSOGAG00000012713
tupaia_belangeri ENSTBEG00000004797
vicugna_pacos ENSVPAG00000003207
tursiops_truncatus ENSTTRG00000008980
capra_hircus ENSCHIG00000019919
ovis_aries ENSOARG00000013609
canis_lupus_familiaris ENSCAFG00000012793
vulpes_vulpes ENSVVUG00000014260
ailuropoda_melanoleuca ENSAMEG00000016869
mustela_putorius_furo ENSMPUG00000002856
equus_caballus ENSECAG00000033783
pteropus_vampyrus ENSPVAG00000011147
loxodonta_africana ENSLAFG00000011802
erinaceus_europaeus ENSEEUG00000010100
sorex_araneus ENSSARG00000013034
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000108981
mus_spicilegus ENSMSIG00000009519
meriones_unguiculatus ENSMUGG00000023688
cricetulus_griseus_crigri_1.0 ENSCGRG00000007949
cricetulus_griseus_crigri-picr ENSCGRG00015015075
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012613
mesocricetus_auratus ENSMAUG00000014559
peromyscus_maniculatus_bairdii ENSPEMG00000011757
microtus_ochrogaster ENSMOCG00000002447
oryctolagus_cuniculus ENSOCUG00000013622
sarcophilus_harrisii ENSSHAG00000001660
ornithorhynchus_anatinus ENSOANG00000003877
anser_brachyrhynchus ENSABRG00000010171
anas_platyrhynchos_platyrhynchos ENSAPLG00000030010
gallus_gallus ENSGALG00000016541
coturnix_japonica ENSCJPG00005017888
meleagris_gallopavo ENSMGAG00000014679
calidris_pygmaea ENSCPGG00000004144
calidris_pugnax ENSCPUG00000007538
melopsittacus_undulatus ENSMUNG00000003299
lonchura_striata_domestica ENSLSDG00000000721
taeniopygia_guttata ENSTGUG00000007795
serinus_canaria ENSSCAG00000013632
ficedula_albicollis ENSFALG00000004317
zonotrichia_albicollis ENSZALG00000018129
junco_hyemalis ENSJHYG00000008249
parus_major ENSPMJG00000011312
cyanistes_caeruleus ENSCCEG00000006948
manacus_vitellinus ENSMVIG00005014720
lepidothrix_coronata ENSLCOG00000002835
apteryx_haastii ENSAHAG00000001441
apteryx_rowi ENSARWG00000009127
apteryx_owenii ENSAOWG00000013704
dromaius_novaehollandiae ENSDNVG00000015750
crocodylus_porosus ENSCPRG00005005174
chrysemys_picta_bellii ENSCPBG00000007197
gopherus_agassizii ENSGAGG00000023734
salvator_merianae ENSSMRG00000022609
salvator_merianae ENSSMRG00000022608
sphenodon_punctatus ENSSPUG00000017869
latimeria_chalumnae ENSLACG00000004555
paramormyrops_kingsleyae ENSPKIG00000021618
scleropages_formosus ENSSFOG00015002853
astyanax_mexicanus ENSAMXG00000006621
pygocentrus_nattereri ENSPNAG00000023246
ictalurus_punctatus ENSIPUG00000002714
danio_rerio ENSDARG00000058978
lepisosteus_oculatus ENSLOCG00000007619
