esox_lucius ENSELUG00000020431
paramormyrops_kingsleyae ENSPKIG00000012879
pygocentrus_nattereri ENSPNAG00000010110
astyanax_mexicanus ENSAMXG00000039048
ictalurus_punctatus ENSIPUG00000005540
danio_rerio ENSDARG00000013441
pundamilia_nyererei ENSPNYG00000003425
astatotilapia_calliptera ENSACLG00000012873
haplochromis_burtoni ENSHBUG00000002004
maylandia_zebra ENSMZEG00005013903
neolamprologus_brichardi ENSNBRG00000006009
neolamprologus_brichardi ENSNBRG00000001785
oreochromis_niloticus ENSONIG00000018772
monopterus_albus ENSMALG00000012451
amphiprion_percula ENSAPEG00000021089
amphiprion_ocellaris ENSAOCG00000014536
acanthochromis_polyacanthus ENSAPOG00000017799
stegastes_partitus ENSSPAG00000000692
fundulus_heteroclitus ENSFHEG00000012097
seriola_dumerili ENSSDUG00000001776
seriola_lalandi_dorsalis ENSSLDG00000008843
mastacembelus_armatus ENSMAMG00000004172
anabas_testudineus ENSATEG00000002385
scophthalmus_maximus ENSSMAG00000009339
periophthalmus_magnuspinnatus ENSPMGG00000020903
xiphophorus_maculatus ENSXMAG00000021630
gambusia_affinis ENSGAFG00000010748
poecilia_reticulata ENSPREG00000014207
poecilia_mexicana ENSPMEG00000001528
cyprinodon_variegatus ENSCVAG00000012592
kryptolebias_marmoratus ENSKMAG00000021042
oryzias_latipes_asm223471v1 ENSORLG00020001973
oryzias_latipes_asm223469v1 ENSORLG00015016916
oryzias_latipes_asm223467v1 ENSORLG00000025170
oryzias_melastigma ENSOMEG00000018142
gasterosteus_aculeatus ENSGACG00000013585
mola_mola ENSMMOG00000017685
cynoglossus_semilaevis ENSCSEG00000005347
gadus_morhua ENSGMOG00000015810
scleropages_formosus ENSSFOG00015017700
lepisosteus_oculatus ENSLOCG00000017268
phascolarctos_cinereus ENSPCIG00000024557
notamacropus_eugenii ENSMEUG00000008397
sarcophilus_harrisii ENSSHAG00000016487
monodelphis_domestica ENSMODG00000017701
propithecus_coquereli ENSPCOG00000027958
prolemur_simus ENSPSMG00000004019
microcebus_murinus ENSMICG00000033476
otolemur_garnettii ENSOGAG00000027812
homo_sapiens ENSG00000135547
gorilla_gorilla ENSGGOG00000002589
pan_troglodytes ENSPTRG00000018574
pan_paniscus ENSPPAG00000034215
pongo_abelii ENSPPYG00000016987
nomascus_leucogenys ENSNLEG00000013972
theropithecus_gelada ENSTGEG00000006811
papio_anubis ENSPANG00000030951
mandrillus_leucophaeus ENSMLEG00000028220
cercocebus_atys ENSCATG00000035165
macaca_fascicularis ENSMFAG00000032107
macaca_mulatta ENSMMUG00000009491
macaca_nemestrina ENSMNEG00000037312
chlorocebus_sabaeus ENSCSAG00000016312
rhinopithecus_bieti ENSRBIG00000034844
rhinopithecus_roxellana ENSRROG00000021457
piliocolobus_tephrosceles ENSPTEG00000012555
colobus_angolensis_palliatus ENSCANG00000033961
callithrix_jacchus ENSCJAG00000045069
cebus_capucinus_imitator ENSCCAG00000035825
saimiri_boliviensis_boliviensis ENSSBOG00000022533
aotus_nancymaae ENSANAG00000023484
castor_canadensis ENSCCNG00000019995
dipodomys_ordii ENSDORG00000026999
cricetulus_griseus_crigri-picr ENSCGRG00015011105
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020489
cricetulus_griseus_crigri_1.0 ENSCGRG00000012936
mesocricetus_auratus ENSMAUG00000011182
microtus_ochrogaster ENSMOCG00000021309
peromyscus_maniculatus_bairdii ENSPEMG00000030365
mus_spicilegus ENSMSIG00000005550
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016024
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000019789
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015215
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023837
rattus_norvegicus ENSRNOG00000013364
meriones_unguiculatus ENSMUGG00000014368
nannospalax_galili ENSNGAG00000000980
jaculus_jaculus ENSJJAG00000003822
ictidomys_tridecemlineatus ENSSTOG00000022371
urocitellus_parryii ENSUPAG00010020457
spermophilus_dauricus ENSSDAG00000004652
marmota_marmota_marmota ENSMMMG00000016429
tupaia_belangeri ENSTBEG00000008836
erinaceus_europaeus ENSEEUG00000014040
sorex_araneus ENSSARG00000011755
pteropus_vampyrus ENSPVAG00000002976
myotis_lucifugus ENSMLUG00000002617
equus_caballus ENSECAG00000038178
equus_asinus_asinus ENSEASG00005009377
tursiops_truncatus ENSTTRG00000016350
sus_scrofa ENSSSCG00000004223
vicugna_pacos ENSVPAG00000010498
bos_mutus ENSBMUG00000013337
bos_taurus ENSBTAG00000000919
bison_bison_bison ENSBBBG00000001822
capra_hircus ENSCHIG00000026965
ovis_aries ENSOARG00000007915
panthera_pardus ENSPPRG00000011537
panthera_tigris_altaica ENSPTIG00000015947
felis_catus ENSFCAG00000026914
ursus_americanus ENSUAMG00000008512
ailuropoda_melanoleuca ENSAMEG00000009592
neovison_vison ENSNVIG00000001845
dasypus_novemcinctus ENSDNOG00000044967
choloepus_hoffmanni ENSCHOG00000002389
loxodonta_africana ENSLAFG00000014208
procavia_capensis ENSPCAG00000006105
chinchilla_lanigera ENSCLAG00000011802
cavia_porcellus ENSCPOG00000021417
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017079
canis_lupus_dingo ENSCAFG00020021796
canis_lupus_familiaris ENSCAFG00000032212
mustela_putorius_furo ENSMPUG00000014531
ochotona_princeps ENSOPRG00000001708
echinops_telfairi ENSETEG00000007340
oryctolagus_cuniculus ENSOCUG00000029649
ornithorhynchus_anatinus ENSOANG00000022119
lonchura_striata_domestica ENSLSDG00000015987
taeniopygia_guttata ENSTGUG00000011792
serinus_canaria ENSSCAG00000014139
junco_hyemalis ENSJHYG00000016495
zonotrichia_albicollis ENSZALG00000016141
parus_major ENSPMJG00000013672
cyanistes_caeruleus ENSCCEG00000015067
ficedula_albicollis ENSFALG00000011461
lepidothrix_coronata ENSLCOG00000016238
manacus_vitellinus ENSMVIG00005017805
melopsittacus_undulatus ENSMUNG00000000112
calidris_pygmaea ENSCPGG00000011990
calidris_pugnax ENSCPUG00000001216
anser_brachyrhynchus ENSABRG00000008068
anas_platyrhynchos_platyrhynchos ENSAPLG00000020017
meleagris_gallopavo ENSMGAG00000013281
coturnix_japonica ENSCJPG00005009151
gallus_gallus ENSGALG00000034716
numida_meleagris ENSNMEG00000022098
apteryx_haastii ENSAHAG00000000073
apteryx_rowi ENSARWG00000011142
apteryx_owenii ENSAOWG00000002615
dromaius_novaehollandiae ENSDNVG00000018278
nothoprocta_perdicaria ENSNPEG00000013756
chelonoidis_abingdonii ENSCABG00000007088
gopherus_agassizii ENSGAGG00000005768
chrysemys_picta_bellii ENSCPBG00000018549
pelodiscus_sinensis ENSPSIG00000012495
crocodylus_porosus ENSCPRG00005005019
pogona_vitticeps ENSPVIG00000013767
anolis_carolinensis ENSACAG00000001813
notechis_scutatus ENSNSUG00000004532
salvator_merianae ENSSMRG00000011822
sphenodon_punctatus ENSSPUG00000003511
xenopus_tropicalis ENSXETG00000021844
latimeria_chalumnae ENSLACG00000006098
