cavia_porcellus ENSCPOG00000021177
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019197
cercocebus_atys ENSCATG00000031078
papio_anubis ENSPANG00000010854
macaca_nemestrina ENSMNEG00000030965
macaca_fascicularis ENSMFAG00000035396
pan_troglodytes ENSPTRG00000022474
homo_sapiens ENSG00000099721
macaca_mulatta ENSMMUG00000038866
rhinopithecus_bieti ENSRBIG00000041224
aotus_nancymaae ENSANAG00000033674
cebus_capucinus_imitator ENSCCAG00000025221
propithecus_coquereli ENSPCOG00000020144
bos_mutus ENSBMUG00000013343
neovison_vison ENSNVIG00000019432
anolis_carolinensis ENSACAG00000001414
