cercocebus_atys ENSCATG00000036129
papio_anubis ENSPANG00000035904
macaca_nemestrina ENSMNEG00000034392
macaca_mulatta ENSMMUG00000040761
rhinopithecus_roxellana ENSRROG00000031302
colobus_angolensis_palliatus ENSCANG00000029280
pan_paniscus ENSPPAG00000026673
pan_troglodytes ENSPTRG00000052565
gorilla_gorilla ENSGGOG00000015700
propithecus_coquereli ENSPCOG00000020390
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015163
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015971
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023783
microtus_ochrogaster ENSMOCG00000020414
jaculus_jaculus ENSJJAG00000023231
dasypus_novemcinctus ENSDNOG00000044255
coturnix_japonica ENSCJPG00005008877
cyanistes_caeruleus ENSCCEG00000004603
latimeria_chalumnae ENSLACG00000000663
