lepidothrix_coronata ENSLCOG00000012684
manacus_vitellinus ENSMVIG00005012984
lonchura_striata_domestica ENSLSDG00000017874
taeniopygia_guttata ENSTGUG00000012354
zonotrichia_albicollis ENSZALG00000004069
junco_hyemalis ENSJHYG00000014839
serinus_canaria ENSSCAG00000006783
ficedula_albicollis ENSFALG00000001066
parus_major ENSPMJG00000010603
cyanistes_caeruleus ENSCCEG00000012749
calidris_pygmaea ENSCPGG00000006051
calidris_pugnax ENSCPUG00000019356
melopsittacus_undulatus ENSMUNG00000005467
gallus_gallus ENSGALG00000013134
meleagris_gallopavo ENSMGAG00000013585
coturnix_japonica ENSCJPG00005003025
numida_meleagris ENSNMEG00000009951
anas_platyrhynchos_platyrhynchos ENSAPLG00000008987
anser_brachyrhynchus ENSABRG00000013723
apteryx_haastii ENSAHAG00000002391
apteryx_rowi ENSARWG00000018199
apteryx_owenii ENSAOWG00000006981
dromaius_novaehollandiae ENSDNVG00000003595
nothoprocta_perdicaria ENSNPEG00000013963
calidris_pygmaea ENSCPGG00000006165
crocodylus_porosus ENSCPRG00005012335
gopherus_agassizii ENSGAGG00000012831
chelonoidis_abingdonii ENSCABG00000008349
chrysemys_picta_bellii ENSCPBG00000022709
pelodiscus_sinensis ENSPSIG00000002187
anolis_carolinensis ENSACAG00000017560
pogona_vitticeps ENSPVIG00000012576
notechis_scutatus ENSNSUG00000001978
salvator_merianae ENSSMRG00000005972
sphenodon_punctatus ENSSPUG00000001318
pan_troglodytes ENSPTRG00000050442
pan_paniscus ENSPPAG00000032524
homo_sapiens ENSG00000052126
gorilla_gorilla ENSGGOG00000003917
pongo_abelii ENSPPYG00000004344
nomascus_leucogenys ENSNLEG00000004443
piliocolobus_tephrosceles ENSPTEG00000020833
colobus_angolensis_palliatus ENSCANG00000040551
rhinopithecus_roxellana ENSRROG00000035927
rhinopithecus_bieti ENSRBIG00000029140
theropithecus_gelada ENSTGEG00000025121
papio_anubis ENSPANG00000005520
macaca_mulatta ENSMMUG00000016550
macaca_fascicularis ENSMFAG00000043356
macaca_nemestrina ENSMNEG00000040089
mandrillus_leucophaeus ENSMLEG00000036409
chlorocebus_sabaeus ENSCSAG00000008097
cercocebus_atys ENSCATG00000037106
cebus_capucinus_imitator ENSCCAG00000027711
saimiri_boliviensis_boliviensis ENSSBOG00000024472
callithrix_jacchus ENSCJAG00000001320
aotus_nancymaae ENSANAG00000029647
aotus_nancymaae ENSANAG00000017339
saimiri_boliviensis_boliviensis ENSSBOG00000023354
carlito_syrichta ENSTSYG00000010378
propithecus_coquereli ENSPCOG00000014418
microcebus_murinus ENSMICG00000014157
prolemur_simus ENSPSMG00000013861
spermophilus_dauricus ENSSDAG00000019243
urocitellus_parryii ENSUPAG00010004317
marmota_marmota_marmota ENSMMMG00000016668
ictidomys_tridecemlineatus ENSSTOG00000011009
tupaia_belangeri ENSTBEG00000011125
otolemur_garnettii ENSOGAG00000026196
otolemur_garnettii ENSOGAG00000032542
mus_spicilegus ENSMSIG00000023733
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000030231
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030071
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029022
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022784
rattus_norvegicus ENSRNOG00000008747
meriones_unguiculatus ENSMUGG00000018587
microtus_ochrogaster ENSMOCG00000006217
peromyscus_maniculatus_bairdii ENSPEMG00000013877
cricetulus_griseus_crigri-picr ENSCGRG00015001962
cricetulus_griseus_crigri_1.0 ENSCGRG00000005116
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015772
mesocricetus_auratus ENSMAUG00000021190
nannospalax_galili ENSNGAG00000018703
jaculus_jaculus ENSJJAG00000010423
castor_canadensis ENSCCNG00000023623
octodon_degus ENSODEG00000010352
chinchilla_lanigera ENSCLAG00000015830
cavia_porcellus ENSCPOG00000035047
cavia_aperea ENSCAPG00000005939
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015699
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019024
fukomys_damarensis ENSFDAG00000014907
oryctolagus_cuniculus ENSOCUG00000016584
ochotona_princeps ENSOPRG00000013262
sorex_araneus ENSSARG00000000078
ursus_americanus ENSUAMG00000017549
ursus_maritimus ENSUMAG00000003095
ailuropoda_melanoleuca ENSAMEG00000012724
neovison_vison ENSNVIG00000002094
mustela_putorius_furo ENSMPUG00000011425
canis_lupus_dingo ENSCAFG00020007510
canis_lupus_familiaris ENSCAFG00000012478
vulpes_vulpes ENSVVUG00000002046
panthera_tigris_altaica ENSPTIG00000008901
equus_caballus ENSECAG00000022236
equus_asinus_asinus ENSEASG00005014242
pteropus_vampyrus ENSPVAG00000008102
bos_mutus ENSBMUG00000003331
bison_bison_bison ENSBBBG00000011510
bos_taurus ENSBTAG00000017571
capra_hircus ENSCHIG00000022500
ovis_aries ENSOARG00000020496
tursiops_truncatus ENSTTRG00000004476
vicugna_pacos ENSVPAG00000008555
sus_scrofa ENSSSCG00000000588
erinaceus_europaeus ENSEEUG00000002594
choloepus_hoffmanni ENSCHOG00000010250
dasypus_novemcinctus ENSDNOG00000019767
loxodonta_africana ENSLAFG00000014304
procavia_capensis ENSPCAG00000016101
echinops_telfairi ENSETEG00000015489
callithrix_jacchus ENSCJAG00000046382
dipodomys_ordii ENSDORG00000026064
notamacropus_eugenii ENSMEUG00000000513
phascolarctos_cinereus ENSPCIG00000013167
sarcophilus_harrisii ENSSHAG00000018405
monodelphis_domestica ENSMODG00000017872
xenopus_tropicalis ENSXETG00000023140
felis_catus ENSFCAG00000019262
felis_catus ENSFCAG00000042418
panthera_pardus ENSPPRG00000006442
panthera_pardus ENSPPRG00000005914
macaca_nemestrina ENSMNEG00000034806
aotus_nancymaae ENSANAG00000022609
ornithorhynchus_anatinus ENSOANG00000030548
latimeria_chalumnae ENSLACG00000009010
oryzias_latipes_asm223467v1 ENSORLG00000012470
oryzias_latipes_asm223469v1 ENSORLG00015019799
oryzias_latipes_asm223471v1 ENSORLG00020021130
oryzias_melastigma ENSOMEG00000021613
cynoglossus_semilaevis ENSCSEG00000003239
tetraodon_nigroviridis ENSTNIG00000007243
poecilia_formosa ENSPFOG00000008465
poecilia_reticulata ENSPREG00000012443
poecilia_latipinna ENSPLAG00000006292
xiphophorus_maculatus ENSXMAG00000001309
xiphophorus_couchianus ENSXCOG00000003437
gambusia_affinis ENSGAFG00000005716
fundulus_heteroclitus ENSFHEG00000014349
cyprinodon_variegatus ENSCVAG00000001647
poecilia_mexicana ENSPMEG00000020106
takifugu_rubripes ENSTRUG00000022044
kryptolebias_marmoratus ENSKMAG00000017605
hippocampus_comes ENSHCOG00000000371
mastacembelus_armatus ENSMAMG00000023290
anabas_testudineus ENSATEG00000023358
amphilophus_citrinellus ENSACIG00000007820
maylandia_zebra ENSMZEG00005019230
pundamilia_nyererei ENSPNYG00000015273
astatotilapia_calliptera ENSACLG00000014602
haplochromis_burtoni ENSHBUG00000017497
oreochromis_niloticus ENSONIG00000014192
scophthalmus_maximus ENSSMAG00000014882
scophthalmus_maximus ENSSMAG00000014798
seriola_lalandi_dorsalis ENSSLDG00000014123
monopterus_albus ENSMALG00000004377
acanthochromis_polyacanthus ENSAPOG00000005679
amphiprion_ocellaris ENSAOCG00000013651
gasterosteus_aculeatus ENSGACG00000019253
seriola_dumerili ENSSDUG00000014669
seriola_dumerili ENSSDUG00000014626
stegastes_partitus ENSSPAG00000018891
amphiprion_percula ENSAPEG00000002215
labrus_bergylta ENSLBEG00000023429
neolamprologus_brichardi ENSNBRG00000000256
mola_mola ENSMMOG00000007276
gadus_morhua ENSGMOG00000008112
esox_lucius ENSELUG00000018224
pygocentrus_nattereri ENSPNAG00000012877
astyanax_mexicanus ENSAMXG00000032026
ictalurus_punctatus ENSIPUG00000014090
danio_rerio ENSDARG00000045870
oryzias_latipes_asm223467v1 ENSORLG00000004545
oryzias_latipes_asm223471v1 ENSORLG00020013314
oryzias_latipes_asm223469v1 ENSORLG00015006384
oryzias_melastigma ENSOMEG00000013136
cynoglossus_semilaevis ENSCSEG00000013264
takifugu_rubripes ENSTRUG00000017012
takifugu_rubripes ENSTRUG00000019672
tetraodon_nigroviridis ENSTNIG00000016033
mola_mola ENSMMOG00000012228
mastacembelus_armatus ENSMAMG00000023233
anabas_testudineus ENSATEG00000016051
labrus_bergylta ENSLBEG00000012448
scophthalmus_maximus ENSSMAG00000010079
gasterosteus_aculeatus ENSGACG00000010014
hippocampus_comes ENSHCOG00000016483
monopterus_albus ENSMALG00000009591
amphiprion_percula ENSAPEG00000001907
amphiprion_ocellaris ENSAOCG00000000203
acanthochromis_polyacanthus ENSAPOG00000010626
stegastes_partitus ENSSPAG00000014395
haplochromis_burtoni ENSHBUG00000004667
pundamilia_nyererei ENSPNYG00000000793
astatotilapia_calliptera ENSACLG00000006097
maylandia_zebra ENSMZEG00005005745
neolamprologus_brichardi ENSNBRG00000001692
oreochromis_niloticus ENSONIG00000008501
amphilophus_citrinellus ENSACIG00000018651
fundulus_heteroclitus ENSFHEG00000008449
cyprinodon_variegatus ENSCVAG00000009122
poecilia_formosa ENSPFOG00000014067
poecilia_mexicana ENSPMEG00000018279
poecilia_latipinna ENSPLAG00000010509
poecilia_reticulata ENSPREG00000016724
gambusia_affinis ENSGAFG00000013443
xiphophorus_maculatus ENSXMAG00000007144
