ictidomys_tridecemlineatus ENSSTOG00000005691
spermophilus_dauricus ENSSDAG00000014711
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001002112
cricetulus_griseus_crigri-picr ENSCGRG00015007813
cricetulus_griseus_crigri_1.0 ENSCGRG00000019740
mesocricetus_auratus ENSMAUG00000009981
peromyscus_maniculatus_bairdii ENSPEMG00000014736
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000051124
mus_spicilegus ENSMSIG00000020967
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029351
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028348
rattus_norvegicus ENSRNOG00000024569
castor_canadensis ENSCCNG00000029308
cavia_porcellus ENSCPOG00000005108
octodon_degus ENSODEG00000011969
fukomys_damarensis ENSFDAG00000007676
nannospalax_galili ENSNGAG00000001114
meriones_unguiculatus ENSMUGG00000024873
dipodomys_ordii ENSDORG00000013513
tupaia_belangeri ENSTBEG00000016075
otolemur_garnettii ENSOGAG00000025780
otolemur_garnettii ENSOGAG00000026916
prolemur_simus ENSPSMG00000014728
callithrix_jacchus ENSCJAG00000020830
cebus_capucinus_imitator ENSCCAG00000016118
pongo_abelii ENSPPYG00000018170
myotis_lucifugus ENSMLUG00000024041
myotis_lucifugus ENSMLUG00000029924
pteropus_vampyrus ENSPVAG00000001211
ursus_americanus ENSUAMG00000002294
ailuropoda_melanoleuca ENSAMEG00000018857
mustela_putorius_furo ENSMPUG00000007495
panthera_tigris_altaica ENSPTIG00000008077
panthera_pardus ENSPPRG00000018367
panthera_pardus ENSPPRG00000024178
panthera_pardus ENSPPRG00000018266
panthera_pardus ENSPPRG00000019043
ovis_aries ENSOARG00000000816
capra_hircus ENSCHIG00000014351
bison_bison_bison ENSBBBG00000023009
bos_mutus ENSBMUG00000008306
bos_mutus ENSBMUG00000017509
bison_bison_bison ENSBBBG00000017288
ovis_aries ENSOARG00000000070
capra_hircus ENSCHIG00000014676
ovis_aries ENSOARG00000001465
ovis_aries ENSOARG00000001140
capra_hircus ENSCHIG00000023569
bos_mutus ENSBMUG00000004377
bos_mutus ENSBMUG00000009159
bos_taurus ENSBTAG00000008550
bison_bison_bison ENSBBBG00000001039
capra_hircus ENSCHIG00000015895
sus_scrofa ENSSSCG00000031897
erinaceus_europaeus ENSEEUG00000007160
