mesocricetus_auratus ENSMAUG00000001257
peromyscus_maniculatus_bairdii ENSPEMG00000028711
meriones_unguiculatus ENSMUGG00000010881
meriones_unguiculatus ENSMUGG00000010884
castor_canadensis ENSCCNG00000000689
equus_caballus ENSECAG00000028300
equus_asinus_asinus ENSEASG00005021117
ornithorhynchus_anatinus ENSOANG00000029991
melopsittacus_undulatus ENSMUNG00000002437
tetraodon_nigroviridis ENSTNIG00000010312
labrus_bergylta ENSLBEG00000004347
periophthalmus_magnuspinnatus ENSPMGG00000006264
poecilia_mexicana ENSPMEG00000004871
poecilia_latipinna ENSPLAG00000019233
