stegastes_partitus ENSSPAG00000010563
amphiprion_ocellaris ENSAOCG00000008447
oryzias_latipes_asm223467v1 ENSORLG00000025042
xiphophorus_couchianus ENSXCOG00000012240
neolamprologus_brichardi ENSNBRG00000003102
mola_mola ENSMMOG00000001112
periophthalmus_magnuspinnatus ENSPMGG00000002045
gadus_morhua ENSGMOG00000003071
oryzias_latipes_asm223471v1 ENSORLG00020003023
oryzias_latipes_asm223471v1 ENSORLG00020003012
oryzias_latipes_asm223471v1 ENSORLG00020005289
scophthalmus_maximus ENSSMAG00000003574
gasterosteus_aculeatus ENSGACG00000004658
gasterosteus_aculeatus ENSGACG00000004657
mola_mola ENSMMOG00000015688
xiphophorus_couchianus ENSXCOG00000009465
poecilia_latipinna ENSPLAG00000004210
neolamprologus_brichardi ENSNBRG00000017762
gadus_morhua ENSGMOG00000004800
astyanax_mexicanus ENSAMXG00000032052
apteryx_owenii ENSAOWG00000004081
anolis_carolinensis ENSACAG00000025536
