heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006389
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002667
octodon_degus ENSODEG00000000807
ictidomys_tridecemlineatus ENSSTOG00000034954
urocitellus_parryii ENSUPAG00010016868
rhinopithecus_bieti ENSRBIG00000033011
rhinopithecus_roxellana ENSRROG00000028790
colobus_angolensis_palliatus ENSCANG00000043431
theropithecus_gelada ENSTGEG00000025192
gorilla_gorilla ENSGGOG00000043384
pan_paniscus ENSPPAG00000038410
gorilla_gorilla ENSGGOG00000042268
mandrillus_leucophaeus ENSMLEG00000040235
papio_anubis ENSPANG00000030053
macaca_nemestrina ENSMNEG00000035234
macaca_fascicularis ENSMFAG00000035806
cercocebus_atys ENSCATG00000004582
pteropus_vampyrus ENSPVAG00000012505
procavia_capensis ENSPCAG00000005319
