latimeria_chalumnae ENSLACG00000007739
xenopus_tropicalis ENSXETG00000003046
xenopus_tropicalis ENSXETG00000030986
pogona_vitticeps ENSPVIG00000015554
scleropages_formosus ENSSFOG00015017989
scleropages_formosus ENSSFOG00015017948
hippocampus_comes ENSHCOG00000013797
hippocampus_comes ENSHCOG00000013769
takifugu_rubripes ENSTRUG00000009756
takifugu_rubripes ENSTRUG00000025725
tetraodon_nigroviridis ENSTNIG00000017277
mola_mola ENSMMOG00000010215
labrus_bergylta ENSLBEG00000004982
acanthochromis_polyacanthus ENSAPOG00000014251
acanthochromis_polyacanthus ENSAPOG00000014274
amphiprion_percula ENSAPEG00000018344
amphiprion_percula ENSAPEG00000018389
amphiprion_ocellaris ENSAOCG00000005964
amphiprion_ocellaris ENSAOCG00000005920
stegastes_partitus ENSSPAG00000022417
kryptolebias_marmoratus ENSKMAG00000009391
kryptolebias_marmoratus ENSKMAG00000009348
oryzias_latipes_asm223467v1 ENSORLG00000014503
oryzias_latipes_asm223471v1 ENSORLG00020013516
oryzias_latipes_asm223469v1 ENSORLG00015012100
oryzias_melastigma ENSOMEG00000010717
fundulus_heteroclitus ENSFHEG00000006285
fundulus_heteroclitus ENSFHEG00000006371
poecilia_mexicana ENSPMEG00000010746
poecilia_formosa ENSPFOG00000002008
poecilia_latipinna ENSPLAG00000014164
poecilia_reticulata ENSPREG00000019849
xiphophorus_couchianus ENSXCOG00000004852
xiphophorus_couchianus ENSXCOG00000004854
xiphophorus_maculatus ENSXMAG00000007702
cyprinodon_variegatus ENSCVAG00000015579
periophthalmus_magnuspinnatus ENSPMGG00000010830
periophthalmus_magnuspinnatus ENSPMGG00000010828
amphilophus_citrinellus ENSACIG00000005405
amphilophus_citrinellus ENSACIG00000005444
neolamprologus_brichardi ENSNBRG00000024102
neolamprologus_brichardi ENSNBRG00000024095
pundamilia_nyererei ENSPNYG00000018775
pundamilia_nyererei ENSPNYG00000018805
maylandia_zebra ENSMZEG00005004644
astatotilapia_calliptera ENSACLG00000016008
haplochromis_burtoni ENSHBUG00000007085
oreochromis_niloticus ENSONIG00000003531
seriola_dumerili ENSSDUG00000016785
seriola_dumerili ENSSDUG00000016682
seriola_lalandi_dorsalis ENSSLDG00000003408
scophthalmus_maximus ENSSMAG00000019903
monopterus_albus ENSMALG00000013187
mastacembelus_armatus ENSMAMG00000007087
anabas_testudineus ENSATEG00000012412
stegastes_partitus ENSSPAG00000016930
gambusia_affinis ENSGAFG00000002104
cynoglossus_semilaevis ENSCSEG00000002313
gasterosteus_aculeatus ENSGACG00000009448
gadus_morhua ENSGMOG00000002019
esox_lucius ENSELUG00000015761
pygocentrus_nattereri ENSPNAG00000013558
astyanax_mexicanus ENSAMXG00000020275
ictalurus_punctatus ENSIPUG00000014629
ciona_intestinalis ENSCING00000002994
ciona_intestinalis ENSCING00000010863
danio_rerio ENSDARG00000112136
lepisosteus_oculatus ENSLOCG00000011318
paramormyrops_kingsleyae ENSPKIG00000000861
paramormyrops_kingsleyae ENSPKIG00000000833
zonotrichia_albicollis ENSZALG00000014224
serinus_canaria ENSSCAG00000002176
eptatretus_burgeri ENSEBUG00000014849
eptatretus_burgeri ENSEBUG00000004624
petromyzon_marinus ENSPMAG00000003340
petromyzon_marinus ENSPMAG00000004801
petromyzon_marinus ENSPMAG00000002957
drosophila_melanogaster FBgn0038889
sphenodon_punctatus ENSSPUG00000004160
sphenodon_punctatus ENSSPUG00000004196
pogona_vitticeps ENSPVIG00000015557
anolis_carolinensis ENSACAG00000004149
salvator_merianae ENSSMRG00000007860
notechis_scutatus ENSNSUG00000015233
calidris_pygmaea ENSCPGG00000001568
calidris_pygmaea ENSCPGG00000001625
calidris_pugnax ENSCPUG00000017514
parus_major ENSPMJG00000013907
parus_major ENSPMJG00000013908
cyanistes_caeruleus ENSCCEG00000022327
ficedula_albicollis ENSFALG00000001703
taeniopygia_guttata ENSTGUG00000013226
lonchura_striata_domestica ENSLSDG00000008032
serinus_canaria ENSSCAG00000016856
junco_hyemalis ENSJHYG00000010120
lonchura_striata_domestica ENSLSDG00000014334
manacus_vitellinus ENSMVIG00005008909
melopsittacus_undulatus ENSMUNG00000012925
anser_brachyrhynchus ENSABRG00000023112
anas_platyrhynchos_platyrhynchos ENSAPLG00000011095
gallus_gallus ENSGALG00000031182
meleagris_gallopavo ENSMGAG00000013815
coturnix_japonica ENSCJPG00005012231
numida_meleagris ENSNMEG00000019970
apteryx_haastii ENSAHAG00000018833
apteryx_owenii ENSAOWG00000003145
apteryx_rowi ENSARWG00000007516
dromaius_novaehollandiae ENSDNVG00000004060
nothoprocta_perdicaria ENSNPEG00000015238
crocodylus_porosus ENSCPRG00005011216
gopherus_agassizii ENSGAGG00000014344
chelonoidis_abingdonii ENSCABG00000001096
gopherus_agassizii ENSGAGG00000007068
chelonoidis_abingdonii ENSCABG00000021147
chrysemys_picta_bellii ENSCPBG00000015089
pelodiscus_sinensis ENSPSIG00000014451
loxodonta_africana ENSLAFG00000001136
procavia_capensis ENSPCAG00000011363
echinops_telfairi ENSETEG00000003360
dasypus_novemcinctus ENSDNOG00000007697
choloepus_hoffmanni ENSCHOG00000000190
capra_hircus ENSCHIG00000015176
ovis_aries ENSOARG00000009429
bos_taurus ENSBTAG00000002612
bos_mutus ENSBMUG00000019916
bison_bison_bison ENSBBBG00000010273
tursiops_truncatus ENSTTRG00000006669
sus_scrofa ENSSSCG00000005000
vicugna_pacos ENSVPAG00000005763
myotis_lucifugus ENSMLUG00000006671
pteropus_vampyrus ENSPVAG00000015802
equus_caballus ENSECAG00000018694
equus_asinus_asinus ENSEASG00005007781
neovison_vison ENSNVIG00000000308
mustela_putorius_furo ENSMPUG00000004849
ailuropoda_melanoleuca ENSAMEG00000002114
canis_lupus_familiaris ENSCAFG00000014062
vulpes_vulpes ENSVVUG00000000357
felis_catus ENSFCAG00000039599
felis_catus ENSFCAG00000022146
panthera_tigris_altaica ENSPTIG00000018621
panthera_tigris_altaica ENSPTIG00000019875
panthera_pardus ENSPPRG00000011952
panthera_pardus ENSPPRG00000012540
canis_lupus_dingo ENSCAFG00020022058
canis_lupus_dingo ENSCAFG00020022069
ursus_maritimus ENSUMAG00000007697
ursus_maritimus ENSUMAG00000007704
ursus_americanus ENSUAMG00000023047
sorex_araneus ENSSARG00000002618
pan_paniscus ENSPPAG00000028944
pan_troglodytes ENSPTRG00000006307
homo_sapiens ENSG00000187790
gorilla_gorilla ENSGGOG00000008546
pongo_abelii ENSPPYG00000005781
nomascus_leucogenys ENSNLEG00000004432
colobus_angolensis_palliatus ENSCANG00000029498
piliocolobus_tephrosceles ENSPTEG00000002228
rhinopithecus_roxellana ENSRROG00000028917
rhinopithecus_bieti ENSRBIG00000011451
macaca_nemestrina ENSMNEG00000038659
macaca_mulatta ENSMMUG00000016513
macaca_fascicularis ENSMFAG00000000383
mandrillus_leucophaeus ENSMLEG00000035743
papio_anubis ENSPANG00000023200
theropithecus_gelada ENSTGEG00000006483
cercocebus_atys ENSCATG00000031379
chlorocebus_sabaeus ENSCSAG00000015308
cebus_capucinus_imitator ENSCCAG00000026593
saimiri_boliviensis_boliviensis ENSSBOG00000030882
callithrix_jacchus ENSCJAG00000015945
aotus_nancymaae ENSANAG00000025075
carlito_syrichta ENSTSYG00000036497
prolemur_simus ENSPSMG00000006139
microcebus_murinus ENSMICG00000005811
propithecus_coquereli ENSPCOG00000014388
otolemur_garnettii ENSOGAG00000003015
tupaia_belangeri ENSTBEG00000006386
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006377
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000013787
fukomys_damarensis ENSFDAG00000009043
cavia_porcellus ENSCPOG00000001446
urocitellus_parryii ENSUPAG00010006300
urocitellus_parryii ENSUPAG00010006314
marmota_marmota_marmota ENSMMMG00000003184
marmota_marmota_marmota ENSMMMG00000003194
spermophilus_dauricus ENSSDAG00000020807
spermophilus_dauricus ENSSDAG00000020838
mus_spicilegus ENSMSIG00000009251
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000055884
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018636
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017791
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029547
rattus_norvegicus ENSRNOG00000056721
meriones_unguiculatus ENSMUGG00000014222
meriones_unguiculatus ENSMUGG00000014383
peromyscus_maniculatus_bairdii ENSPEMG00000027540
peromyscus_maniculatus_bairdii ENSPEMG00000005619
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023573
cricetulus_griseus_crigri_1.0 ENSCGRG00000005570
cricetulus_griseus_crigri-picr ENSCGRG00015016163
mesocricetus_auratus ENSMAUG00000015450
microtus_ochrogaster ENSMOCG00000008775
nannospalax_galili ENSNGAG00000017199
dipodomys_ordii ENSDORG00000010095
castor_canadensis ENSCCNG00000026176
oryctolagus_cuniculus ENSOCUG00000007539
ochotona_princeps ENSOPRG00000011142
erinaceus_europaeus ENSEEUG00000005607
notamacropus_eugenii ENSMEUG00000004977
phascolarctos_cinereus ENSPCIG00000005354
sarcophilus_harrisii ENSSHAG00000000507
monodelphis_domestica ENSMODG00000007334
ornithorhynchus_anatinus ENSOANG00000013997
ciona_intestinalis ENSCING00000024365
saccharomyces_cerevisiae_strain_s288c YIR002C
