chrysemys_picta_bellii ENSCPBG00000018119
gopherus_agassizii ENSGAGG00000014082
manacus_vitellinus ENSMVIG00005003983
lepidothrix_coronata ENSLCOG00000002445
zonotrichia_albicollis ENSZALG00000016097
junco_hyemalis ENSJHYG00000007137
serinus_canaria ENSSCAG00000011138
lonchura_striata_domestica ENSLSDG00000004749
ficedula_albicollis ENSFALG00000014035
cyanistes_caeruleus ENSCCEG00000021131
parus_major ENSPMJG00000017104
melopsittacus_undulatus ENSMUNG00000015305
calidris_pugnax ENSCPUG00000016745
calidris_pygmaea ENSCPGG00000016211
anser_brachyrhynchus ENSABRG00000015015
anas_platyrhynchos_platyrhynchos ENSAPLG00000013815
numida_meleagris ENSNMEG00000021849
gallus_gallus ENSGALG00000028197
apteryx_rowi ENSARWG00000001087
apteryx_haastii ENSAHAG00000017082
apteryx_owenii ENSAOWG00000000222
dromaius_novaehollandiae ENSDNVG00000015713
pogona_vitticeps ENSPVIG00000011655
anolis_carolinensis ENSACAG00000028768
salvator_merianae ENSSMRG00000017047
sphenodon_punctatus ENSSPUG00000005927
notechis_scutatus ENSNSUG00000018812
crocodylus_porosus ENSCPRG00005006783
sarcophilus_harrisii ENSSHAG00000018512
phascolarctos_cinereus ENSPCIG00000031401
monodelphis_domestica ENSMODG00000025493
pan_troglodytes ENSPTRG00000007838
pan_paniscus ENSPPAG00000022145
homo_sapiens ENSG00000174628
gorilla_gorilla ENSGGOG00000013829
pongo_abelii ENSPPYG00000007152
nomascus_leucogenys ENSNLEG00000034248
piliocolobus_tephrosceles ENSPTEG00000011546
colobus_angolensis_palliatus ENSCANG00000036334
rhinopithecus_roxellana ENSRROG00000041181
rhinopithecus_bieti ENSRBIG00000033608
macaca_mulatta ENSMMUG00000002708
macaca_nemestrina ENSMNEG00000044773
macaca_fascicularis ENSMFAG00000033259
theropithecus_gelada ENSTGEG00000022215
cercocebus_atys ENSCATG00000032710
papio_anubis ENSPANG00000019595
mandrillus_leucophaeus ENSMLEG00000031565
cebus_capucinus_imitator ENSCCAG00000035809
saimiri_boliviensis_boliviensis ENSSBOG00000000927
callithrix_jacchus ENSCJAG00000009618
aotus_nancymaae ENSANAG00000035421
carlito_syrichta ENSTSYG00000007246
prolemur_simus ENSPSMG00000015472
microcebus_murinus ENSMICG00000011119
propithecus_coquereli ENSPCOG00000023507
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000073856
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031487
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030372
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013583
rattus_norvegicus ENSRNOG00000036758
meriones_unguiculatus ENSMUGG00000010363
cricetulus_griseus_crigri-picr ENSCGRG00015012630
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001004131
mesocricetus_auratus ENSMAUG00000010123
peromyscus_maniculatus_bairdii ENSPEMG00000015402
microtus_ochrogaster ENSMOCG00000003661
nannospalax_galili ENSNGAG00000021562
jaculus_jaculus ENSJJAG00000010889
castor_canadensis ENSCCNG00000029412
dipodomys_ordii ENSDORG00000000814
ictidomys_tridecemlineatus ENSSTOG00000015199
urocitellus_parryii ENSUPAG00010009344
chinchilla_lanigera ENSCLAG00000015720
octodon_degus ENSODEG00000001125
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006584
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014331
fukomys_damarensis ENSFDAG00000009126
cavia_porcellus ENSCPOG00000002401
ochotona_princeps ENSOPRG00000002301
oryctolagus_cuniculus ENSOCUG00000001916
tupaia_belangeri ENSTBEG00000000435
bos_taurus ENSBTAG00000044092
bos_mutus ENSBMUG00000008840
bison_bison_bison ENSBBBG00000021900
ovis_aries ENSOARG00000012349
tursiops_truncatus ENSTTRG00000005041
sus_scrofa ENSSSCG00000034720
vicugna_pacos ENSVPAG00000003414
erinaceus_europaeus ENSEEUG00000009108
equus_asinus_asinus ENSEASG00005010639
equus_caballus ENSECAG00000000502
pteropus_vampyrus ENSPVAG00000002709
ailuropoda_melanoleuca ENSAMEG00000012050
ursus_maritimus ENSUMAG00000008012
neovison_vison ENSNVIG00000017894
mustela_putorius_furo ENSMPUG00000013345
canis_lupus_familiaris ENSCAFG00000018031
vulpes_vulpes ENSVVUG00000023140
panthera_tigris_altaica ENSPTIG00000014379
panthera_pardus ENSPPRG00000010466
felis_catus ENSFCAG00000037525
echinops_telfairi ENSETEG00000020134
procavia_capensis ENSPCAG00000014273
loxodonta_africana ENSLAFG00000006189
dasypus_novemcinctus ENSDNOG00000014907
choloepus_hoffmanni ENSCHOG00000009205
ursus_americanus ENSUAMG00000011535
ornithorhynchus_anatinus ENSOANG00000031861
latimeria_chalumnae ENSLACG00000011259
seriola_dumerili ENSSDUG00000010116
seriola_lalandi_dorsalis ENSSLDG00000022567
anabas_testudineus ENSATEG00000024385
monopterus_albus ENSMALG00000018545
cynoglossus_semilaevis ENSCSEG00000020565
tetraodon_nigroviridis ENSTNIG00000000295
poecilia_mexicana ENSPMEG00000014535
poecilia_formosa ENSPFOG00000023104
poecilia_reticulata ENSPREG00000007090
xiphophorus_couchianus ENSXCOG00000010388
fundulus_heteroclitus ENSFHEG00000013832
eptatretus_burgeri ENSEBUG00000006139
ciona_savignyi ENSCSAVG00000011541
ciona_intestinalis ENSCING00000015829
