cercocebus_atys ENSCATG00000040634
macaca_nemestrina ENSMNEG00000044311
papio_anubis ENSPANG00000034583
nomascus_leucogenys ENSNLEG00000029907
colobus_angolensis_palliatus ENSCANG00000043407
rhinopithecus_bieti ENSRBIG00000027571
mandrillus_leucophaeus ENSMLEG00000030708
macaca_fascicularis ENSMFAG00000036021
gorilla_gorilla ENSGGOG00000043782
carlito_syrichta ENSTSYG00000026836
propithecus_coquereli ENSPCOG00000022995
pan_troglodytes ENSPTRG00000052375
microcebus_murinus ENSMICG00000047064
rhinopithecus_roxellana ENSRROG00000044627
panthera_pardus ENSPPRG00000024419
panthera_tigris_altaica ENSPTIG00000014718
felis_catus ENSFCAG00000042784
