eptatretus_burgeri ENSEBUG00000004676
petromyzon_marinus ENSPMAG00000008884
choloepus_hoffmanni ENSCHOG00000006373
dasypus_novemcinctus ENSDNOG00000039987
pan_troglodytes ENSPTRG00000007747
pan_paniscus ENSPPAG00000037263
homo_sapiens ENSG00000184857
gorilla_gorilla ENSGGOG00000010120
pongo_abelii ENSPPYG00000007083
nomascus_leucogenys ENSNLEG00000034845
rhinopithecus_bieti ENSRBIG00000025592
rhinopithecus_roxellana ENSRROG00000042637
colobus_angolensis_palliatus ENSCANG00000036750
piliocolobus_tephrosceles ENSPTEG00000012264
cercocebus_atys ENSCATG00000041484
chlorocebus_sabaeus ENSCSAG00000018850
macaca_fascicularis ENSMFAG00000030183
macaca_mulatta ENSMMUG00000022713
macaca_nemestrina ENSMNEG00000002452
papio_anubis ENSPANG00000025186
theropithecus_gelada ENSTGEG00000026564
mandrillus_leucophaeus ENSMLEG00000039338
callithrix_jacchus ENSCJAG00000037847
cebus_capucinus_imitator ENSCCAG00000025271
saimiri_boliviensis_boliviensis ENSSBOG00000025061
aotus_nancymaae ENSANAG00000007027
carlito_syrichta ENSTSYG00000028355
propithecus_coquereli ENSPCOG00000014751
prolemur_simus ENSPSMG00000020956
microcebus_murinus ENSMICG00000046362
otolemur_garnettii ENSOGAG00000016556
spermophilus_dauricus ENSSDAG00000004321
spermophilus_dauricus ENSSDAG00000004312
spermophilus_dauricus ENSSDAG00000023603
urocitellus_parryii ENSUPAG00010019830
ictidomys_tridecemlineatus ENSSTOG00000010838
castor_canadensis ENSCCNG00000000339
cavia_porcellus ENSCPOG00000039479
chinchilla_lanigera ENSCLAG00000012101
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006781
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006239
fukomys_damarensis ENSFDAG00000003674
rattus_norvegicus ENSRNOG00000027087
rattus_norvegicus ENSRNOG00000025487
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000043140
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021325
mus_spicilegus ENSMSIG00000023910
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020431
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016139
meriones_unguiculatus ENSMUGG00000004327
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001002990
cricetulus_griseus_crigri_1.0 ENSCGRG00000002316
cricetulus_griseus_crigri-picr ENSCGRG00015011803
peromyscus_maniculatus_bairdii ENSPEMG00000021940
microtus_ochrogaster ENSMOCG00000006955
nannospalax_galili ENSNGAG00000023209
jaculus_jaculus ENSJJAG00000020738
oryctolagus_cuniculus ENSOCUG00000004183
ochotona_princeps ENSOPRG00000010330
bos_taurus ENSBTAG00000022530
bos_mutus ENSBMUG00000022237
bison_bison_bison ENSBBBG00000019766
ovis_aries ENSOARG00000010665
capra_hircus ENSCHIG00000003344
sus_scrofa ENSSSCG00000033311
tursiops_truncatus ENSTTRG00000014826
equus_asinus_asinus ENSEASG00005011581
equus_caballus ENSECAG00000004226
myotis_lucifugus ENSMLUG00000001455
pteropus_vampyrus ENSPVAG00000003127
ursus_americanus ENSUAMG00000020305
ursus_maritimus ENSUMAG00000003715
ailuropoda_melanoleuca ENSAMEG00000010829
mustela_putorius_furo ENSMPUG00000020050
neovison_vison ENSNVIG00000000064
vulpes_vulpes ENSVVUG00000017371
panthera_pardus ENSPPRG00000016607
panthera_tigris_altaica ENSPTIG00000007158
loxodonta_africana ENSLAFG00000003090
phascolarctos_cinereus ENSPCIG00000025528
monodelphis_domestica ENSMODG00000005744
sarcophilus_harrisii ENSSHAG00000012978
anolis_carolinensis ENSACAG00000006844
pogona_vitticeps ENSPVIG00000020758
notechis_scutatus ENSNSUG00000011644
salvator_merianae ENSSMRG00000016994
sphenodon_punctatus ENSSPUG00000015692
junco_hyemalis ENSJHYG00000017361
zonotrichia_albicollis ENSZALG00000015908
serinus_canaria ENSSCAG00000011855
taeniopygia_guttata ENSTGUG00000004650
lonchura_striata_domestica ENSLSDG00000007805
ficedula_albicollis ENSFALG00000014800
cyanistes_caeruleus ENSCCEG00000008753
parus_major ENSPMJG00000010328
lepidothrix_coronata ENSLCOG00000009955
manacus_vitellinus ENSMVIG00005005429
calidris_pugnax ENSCPUG00000016888
calidris_pygmaea ENSCPGG00000002578
melopsittacus_undulatus ENSMUNG00000005450
anas_platyrhynchos_platyrhynchos ENSAPLG00000011977
anser_brachyrhynchus ENSABRG00000004752
meleagris_gallopavo ENSMGAG00000017389
coturnix_japonica ENSCJPG00005016070
gallus_gallus ENSGALG00000052488
numida_meleagris ENSNMEG00000021059
apteryx_rowi ENSARWG00000009378
