xiphophorus_couchianus ENSXCOG00000007672
poecilia_reticulata ENSPREG00000013306
gambusia_affinis ENSGAFG00000006150
oryzias_latipes_asm223467v1 ENSORLG00000018069
oryzias_latipes_asm223469v1 ENSORLG00015012112
oreochromis_niloticus ENSONIG00000000725
pundamilia_nyererei ENSPNYG00000003415
amphilophus_citrinellus ENSACIG00000001642
stegastes_partitus ENSSPAG00000009115
mola_mola ENSMMOG00000015102
gadus_morhua ENSGMOG00000006209
scleropages_formosus ENSSFOG00015014858
paramormyrops_kingsleyae ENSPKIG00000005535
pogona_vitticeps ENSPVIG00000018273
anolis_carolinensis ENSACAG00000025572
salvator_merianae ENSSMRG00000015251
gopherus_agassizii ENSGAGG00000009757
chelonoidis_abingdonii ENSCABG00000008195
chrysemys_picta_bellii ENSCPBG00000018934
latimeria_chalumnae ENSLACG00000018375
