taeniopygia_guttata ENSTGUG00000007894
parus_major ENSPMJG00000012801
gallus_gallus ENSGALG00000046725
pelodiscus_sinensis ENSPSIG00000006077
xenopus_tropicalis ENSXETG00000019286
haplochromis_burtoni ENSHBUG00000002347
astatotilapia_calliptera ENSACLG00000018045
amphilophus_citrinellus ENSACIG00000012629
fundulus_heteroclitus ENSFHEG00000007846
xiphophorus_couchianus ENSXCOG00000010356
stegastes_partitus ENSSPAG00000004779
oryzias_latipes_asm223471v1 ENSORLG00020000026
oryzias_melastigma ENSOMEG00000001465
mola_mola ENSMMOG00000004983
esox_lucius ENSELUG00000013162
scleropages_formosus ENSSFOG00015004913
eptatretus_burgeri ENSEBUG00000001025
ciona_intestinalis ENSCING00000011510
drosophila_melanogaster FBgn0034091
caenorhabditis_elegans_strain_n2 WBGene00001042
