scophthalmus_maximus ENSSMAG00000008555
periophthalmus_magnuspinnatus ENSPMGG00000005042
hippocampus_comes ENSHCOG00000009583
takifugu_rubripes ENSTRUG00000011651
tetraodon_nigroviridis ENSTNIG00000011380
mola_mola ENSMMOG00000017798
xiphophorus_couchianus ENSXCOG00000020596
xiphophorus_maculatus ENSXMAG00000019890
poecilia_mexicana ENSPMEG00000015075
poecilia_reticulata ENSPREG00000019266
poecilia_formosa ENSPFOG00000020633
poecilia_latipinna ENSPLAG00000003662
gambusia_affinis ENSGAFG00000021810
fundulus_heteroclitus ENSFHEG00000009951
cyprinodon_variegatus ENSCVAG00000008611
kryptolebias_marmoratus ENSKMAG00000002102
oryzias_latipes_asm223467v1 ENSORLG00000012117
oryzias_latipes_asm223471v1 ENSORLG00020019433
oryzias_latipes_asm223469v1 ENSORLG00015010476
oryzias_melastigma ENSOMEG00000012237
amphiprion_ocellaris ENSAOCG00000011991
amphiprion_percula ENSAPEG00000009432
acanthochromis_polyacanthus ENSAPOG00000023536
stegastes_partitus ENSSPAG00000007499
maylandia_zebra ENSMZEG00005017616
astatotilapia_calliptera ENSACLG00000001059
haplochromis_burtoni ENSHBUG00000017436
neolamprologus_brichardi ENSNBRG00000006042
pundamilia_nyererei ENSPNYG00000015020
oreochromis_niloticus ENSONIG00000020440
amphilophus_citrinellus ENSACIG00000001189
labrus_bergylta ENSLBEG00000001730
seriola_dumerili ENSSDUG00000017022
seriola_lalandi_dorsalis ENSSLDG00000025115
mastacembelus_armatus ENSMAMG00000004542
monopterus_albus ENSMALG00000011165
gasterosteus_aculeatus ENSGACG00000011375
gadus_morhua ENSGMOG00000009589
anabas_testudineus ENSATEG00000020134
ictalurus_punctatus ENSIPUG00000006285
paramormyrops_kingsleyae ENSPKIG00000000148
paramormyrops_kingsleyae ENSPKIG00000013472
pygocentrus_nattereri ENSPNAG00000008021
astyanax_mexicanus ENSAMXG00000025568
ictalurus_punctatus ENSIPUG00000022550
danio_rerio ENSDARG00000101628
gadus_morhua ENSGMOG00000017418
astyanax_mexicanus ENSAMXG00000024858
pygocentrus_nattereri ENSPNAG00000013961
lepisosteus_oculatus ENSLOCG00000017318
chelonoidis_abingdonii ENSCABG00000010701
chrysemys_picta_bellii ENSCPBG00000007357
sphenodon_punctatus ENSSPUG00000002743
salvator_merianae ENSSMRG00000014174
latimeria_chalumnae ENSLACG00000001911
