oryctolagus_cuniculus ENSOCUG00000004080
ochotona_princeps ENSOPRG00000011920
erinaceus_europaeus ENSEEUG00000008876
ailuropoda_melanoleuca ENSAMEG00000014822
tursiops_truncatus ENSTTRG00000014134
canis_lupus_dingo ENSCAFG00020004082
canis_lupus_familiaris ENSCAFG00000018193
vulpes_vulpes ENSVVUG00000020398
ursus_americanus ENSUAMG00000003116
neovison_vison ENSNVIG00000020253
mustela_putorius_furo ENSMPUG00000014916
panthera_pardus ENSPPRG00000006126
panthera_tigris_altaica ENSPTIG00000016870
felis_catus ENSFCAG00000032700
sorex_araneus ENSSARG00000003862
bos_taurus ENSBTAG00000018518
bos_mutus ENSBMUG00000012740
bison_bison_bison ENSBBBG00000000919
capra_hircus ENSCHIG00000018183
ovis_aries ENSOARG00000006214
myotis_lucifugus ENSMLUG00000002848
sus_scrofa ENSSSCG00000036746
pteropus_vampyrus ENSPVAG00000003944
equus_caballus ENSECAG00000008089
equus_asinus_asinus ENSEASG00005011223
propithecus_coquereli ENSPCOG00000010262
microcebus_murinus ENSMICG00000034231
prolemur_simus ENSPSMG00000019772
otolemur_garnettii ENSOGAG00000005829
carlito_syrichta ENSTSYG00000026278
loxodonta_africana ENSLAFG00000021899
peromyscus_maniculatus_bairdii ENSPEMG00000027697
microtus_ochrogaster ENSMOCG00000001964
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010269
cricetulus_griseus_crigri_1.0 ENSCGRG00000009755
mesocricetus_auratus ENSMAUG00000011536
rattus_norvegicus ENSRNOG00000055765
rattus_norvegicus ENSRNOG00000010302
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000020684
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017716
mus_spicilegus ENSMSIG00000012687
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016872
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018003
meriones_unguiculatus ENSMUGG00000017192
nannospalax_galili ENSNGAG00000002106
jaculus_jaculus ENSJJAG00000011469
castor_canadensis ENSCCNG00000028758
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002552
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015544
fukomys_damarensis ENSFDAG00000017958
chinchilla_lanigera ENSCLAG00000016447
octodon_degus ENSODEG00000012407
cavia_aperea ENSCAPG00000014950
cavia_porcellus ENSCPOG00000031497
ictidomys_tridecemlineatus ENSSTOG00000021097
marmota_marmota_marmota ENSMMMG00000018941
spermophilus_dauricus ENSSDAG00000021943
urocitellus_parryii ENSUPAG00010017401
saimiri_boliviensis_boliviensis ENSSBOG00000027306
callithrix_jacchus ENSCJAG00000040221
cebus_capucinus_imitator ENSCCAG00000029475
aotus_nancymaae ENSANAG00000022158
pan_paniscus ENSPPAG00000028215
pan_troglodytes ENSPTRG00000009022
gorilla_gorilla ENSGGOG00000015607
homo_sapiens ENSG00000270885
pongo_abelii ENSPPYG00000008190
nomascus_leucogenys ENSNLEG00000001290
rhinopithecus_roxellana ENSRROG00000030917
rhinopithecus_bieti ENSRBIG00000038353
colobus_angolensis_palliatus ENSCANG00000041385
piliocolobus_tephrosceles ENSPTEG00000016817
theropithecus_gelada ENSTGEG00000016376
papio_anubis ENSPANG00000022986
cercocebus_atys ENSCATG00000037782
macaca_fascicularis ENSMFAG00000034525
macaca_mulatta ENSMMUG00000013143
macaca_nemestrina ENSMNEG00000039335
mandrillus_leucophaeus ENSMLEG00000039957
chlorocebus_sabaeus ENSCSAG00000006252
dasypus_novemcinctus ENSDNOG00000035899
echinops_telfairi ENSETEG00000005229
phascolarctos_cinereus ENSPCIG00000003771
notamacropus_eugenii ENSMEUG00000015827
monodelphis_domestica ENSMODG00000019126
dipodomys_ordii ENSDORG00000003805
tupaia_belangeri ENSTBEG00000007338
choloepus_hoffmanni ENSCHOG00000010880
manacus_vitellinus ENSMVIG00005010421
calidris_pugnax ENSCPUG00000004710
xenopus_tropicalis ENSXETG00000030089
apteryx_haastii ENSAHAG00000006851
apteryx_rowi ENSARWG00000005124
apteryx_owenii ENSAOWG00000017483
dromaius_novaehollandiae ENSDNVG00000007546
nothoprocta_perdicaria ENSNPEG00000011363
anser_brachyrhynchus ENSABRG00000002299
anas_platyrhynchos_platyrhynchos ENSAPLG00000030046
gallus_gallus ENSGALG00000002086
coturnix_japonica ENSCJPG00005009905
meleagris_gallopavo ENSMGAG00000004013
numida_meleagris ENSNMEG00000015090
calidris_pygmaea ENSCPGG00000001274
melopsittacus_undulatus ENSMUNG00000000071
lepidothrix_coronata ENSLCOG00000006363
manacus_vitellinus ENSMVIG00005010415
lonchura_striata_domestica ENSLSDG00000011976
taeniopygia_guttata ENSTGUG00000004766
