oryzias_latipes_asm223471v1 ENSORLG00020014777
oryzias_latipes_asm223467v1 ENSORLG00000006520
oryzias_latipes_asm223469v1 ENSORLG00015009996
oryzias_melastigma ENSOMEG00000014380
kryptolebias_marmoratus ENSKMAG00000015297
poecilia_mexicana ENSPMEG00000012104
poecilia_latipinna ENSPLAG00000004586
xiphophorus_maculatus ENSXMAG00000002742
gambusia_affinis ENSGAFG00000000635
fundulus_heteroclitus ENSFHEG00000017806
astatotilapia_calliptera ENSACLG00000022159
haplochromis_burtoni ENSHBUG00000010253
maylandia_zebra ENSMZEG00005003434
pundamilia_nyererei ENSPNYG00000006081
neolamprologus_brichardi ENSNBRG00000007803
oreochromis_niloticus ENSONIG00000014679
amphiprion_percula ENSAPEG00000001901
acanthochromis_polyacanthus ENSAPOG00000016616
seriola_dumerili ENSSDUG00000021552
seriola_dumerili ENSSDUG00000021624
seriola_dumerili ENSSDUG00000021585
seriola_lalandi_dorsalis ENSSLDG00000008911
scophthalmus_maximus ENSSMAG00000009380
mola_mola ENSMMOG00000001874
tetraodon_nigroviridis ENSTNIG00000018282
mastacembelus_armatus ENSMAMG00000005220
monopterus_albus ENSMALG00000012258
cynoglossus_semilaevis ENSCSEG00000015408
gasterosteus_aculeatus ENSGACG00000005335
amphiprion_ocellaris ENSAOCG00000019706
stegastes_partitus ENSSPAG00000002298
hippocampus_comes ENSHCOG00000001255
gadus_morhua ENSGMOG00000017091
esox_lucius ENSELUG00000021788
astyanax_mexicanus ENSAMXG00000016490
ictalurus_punctatus ENSIPUG00000023547
danio_rerio ENSDARG00000003904
paramormyrops_kingsleyae ENSPKIG00000004078
lepisosteus_oculatus ENSLOCG00000010662
anas_platyrhynchos_platyrhynchos ENSAPLG00000017671
anser_brachyrhynchus ENSABRG00000011629
calidris_pugnax ENSCPUG00000008973
gallus_gallus ENSGALG00000054224
gallus_gallus ENSGALG00000002511
meleagris_gallopavo ENSMGAG00000005785
numida_meleagris ENSNMEG00000001098
cyanistes_caeruleus ENSCCEG00000021375
cyanistes_caeruleus ENSCCEG00000021376
ficedula_albicollis ENSFALG00000001286
lonchura_striata_domestica ENSLSDG00000011216
serinus_canaria ENSSCAG00000006980
taeniopygia_guttata ENSTGUG00000015209
melopsittacus_undulatus ENSMUNG00000005484
dromaius_novaehollandiae ENSDNVG00000016453
nothoprocta_perdicaria ENSNPEG00000014582
crocodylus_porosus ENSCPRG00005014420
chrysemys_picta_bellii ENSCPBG00000016767
pelodiscus_sinensis ENSPSIG00000003840
notechis_scutatus ENSNSUG00000013615
notechis_scutatus ENSNSUG00000013617
pogona_vitticeps ENSPVIG00000002131
anolis_carolinensis ENSACAG00000003361
salvator_merianae ENSSMRG00000004081
castor_canadensis ENSCCNG00000021511
chinchilla_lanigera ENSCLAG00000004900
macaca_fascicularis ENSMFAG00000043913
macaca_nemestrina ENSMNEG00000036344
macaca_mulatta ENSMMUG00000017674
mandrillus_leucophaeus ENSMLEG00000027871
cercocebus_atys ENSCATG00000039270
theropithecus_gelada ENSTGEG00000006886
papio_anubis ENSPANG00000012296
chlorocebus_sabaeus ENSCSAG00000001672
piliocolobus_tephrosceles ENSPTEG00000032442
colobus_angolensis_palliatus ENSCANG00000018648
rhinopithecus_roxellana ENSRROG00000045618
rhinopithecus_bieti ENSRBIG00000040488
gorilla_gorilla ENSGGOG00000015556
homo_sapiens ENSG00000198765
pan_paniscus ENSPPAG00000031200
pan_troglodytes ENSPTRG00000001143
pongo_abelii ENSPPYG00000000994
nomascus_leucogenys ENSNLEG00000004923
cebus_capucinus_imitator ENSCCAG00000034214
saimiri_boliviensis_boliviensis ENSSBOG00000024910
callithrix_jacchus ENSCJAG00000012678
aotus_nancymaae ENSANAG00000034755
carlito_syrichta ENSTSYG00000003008
prolemur_simus ENSPSMG00000014676
propithecus_coquereli ENSPCOG00000016225
microcebus_murinus ENSMICG00000012072
otolemur_garnettii ENSOGAG00000000392
tupaia_belangeri ENSTBEG00000004546
