lepidothrix_coronata ENSLCOG00000007005
manacus_vitellinus ENSMVIG00005003612
gopherus_agassizii ENSGAGG00000017406
xenopus_tropicalis ENSXETG00000030850
ficedula_albicollis ENSFALG00000010378
taeniopygia_guttata ENSTGUG00000007370
gopherus_agassizii ENSGAGG00000017403
sphenodon_punctatus ENSSPUG00000007534
fundulus_heteroclitus ENSFHEG00000005966
xiphophorus_couchianus ENSXCOG00000015188
amphiprion_ocellaris ENSAOCG00000024006
haplochromis_burtoni ENSHBUG00000002709
astatotilapia_calliptera ENSACLG00000012330
pundamilia_nyererei ENSPNYG00000015504
maylandia_zebra ENSMZEG00005011679
amphilophus_citrinellus ENSACIG00000008492
periophthalmus_magnuspinnatus ENSPMGG00000008069
anabas_testudineus ENSATEG00000001934
