cebus_capucinus_imitator ENSCCAG00000026235
callithrix_jacchus ENSCJAG00000031183
saimiri_boliviensis_boliviensis ENSSBOG00000029680
pan_paniscus ENSPPAG00000032575
pan_troglodytes ENSPTRG00000044999
gorilla_gorilla ENSGGOG00000027986
pongo_abelii ENSPPYG00000011552
nomascus_leucogenys ENSNLEG00000018516
macaca_fascicularis ENSMFAG00000036110
macaca_nemestrina ENSMNEG00000043897
macaca_mulatta ENSMMUG00000019540
mandrillus_leucophaeus ENSMLEG00000030690
cercocebus_atys ENSCATG00000043090
papio_anubis ENSPANG00000003351
colobus_angolensis_palliatus ENSCANG00000030260
