danio_rerio ENSDARG00000089262
xiphophorus_couchianus ENSXCOG00000015496
pteropus_vampyrus ENSPVAG00000000742
ailuropoda_melanoleuca ENSAMEG00000016625
choloepus_hoffmanni ENSCHOG00000010528
ornithorhynchus_anatinus ENSOANG00000010436
gopherus_agassizii ENSGAGG00000011919
ursus_americanus ENSUAMG00000006331
ovis_aries ENSOARG00000012658
myotis_lucifugus ENSMLUG00000008546
sorex_araneus ENSSARG00000005476
macaca_mulatta ENSMMUG00000013763
papio_anubis ENSPANG00000024812
chlorocebus_sabaeus ENSCSAG00000013655
carlito_syrichta ENSTSYG00000012140
ochotona_princeps ENSOPRG00000006459
tupaia_belangeri ENSTBEG00000016855
notamacropus_eugenii ENSMEUG00000011329
serinus_canaria ENSSCAG00000015967
zonotrichia_albicollis ENSZALG00000010980
cyanistes_caeruleus ENSCCEG00000010579
ficedula_albicollis ENSFALG00000002211
calidris_pygmaea ENSCPGG00000012889
anas_platyrhynchos_platyrhynchos ENSAPLG00000002733
meleagris_gallopavo ENSMGAG00000008578
apteryx_owenii ENSAOWG00000001907
dromaius_novaehollandiae ENSDNVG00000013191
vulpes_vulpes ENSVVUG00000010154
equus_caballus ENSECAG00000016804
anolis_carolinensis ENSACAG00000009827
latimeria_chalumnae ENSLACG00000017783
