dipodomys_ordii ENSDORG00000026684
urocitellus_parryii ENSUPAG00010017179
mandrillus_leucophaeus ENSMLEG00000032508
theropithecus_gelada ENSTGEG00000021349
macaca_fascicularis ENSMFAG00000037672
rhinopithecus_bieti ENSRBIG00000041367
rhinopithecus_bieti ENSRBIG00000015956
gorilla_gorilla ENSGGOG00000039413
otolemur_garnettii ENSOGAG00000030781
maylandia_zebra ENSMZEG00005024023
amphilophus_citrinellus ENSACIG00000017111
stegastes_partitus ENSSPAG00000012078
amphiprion_ocellaris ENSAOCG00000000966
