canis_lupus_familiaris ENSCAFG00000031066
vulpes_vulpes ENSVVUG00000025412
mustela_putorius_furo ENSMPUG00000018571
myotis_lucifugus ENSMLUG00000024668
ictidomys_tridecemlineatus ENSSTOG00000031047
dipodomys_ordii ENSDORG00000007480
cricetulus_griseus_crigri_1.0 ENSCGRG00000016388
cricetulus_griseus_crigri-picr ENSCGRG00015012744
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000882
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014392
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027629
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000090175
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015192
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000090165
mus_spicilegus ENSMSIG00000007558
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000089675
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015193
meriones_unguiculatus ENSMUGG00000005307
meriones_unguiculatus ENSMUGG00000005311
meriones_unguiculatus ENSMUGG00000018376
nannospalax_galili ENSNGAG00000015098
oryctolagus_cuniculus ENSOCUG00000024402
homo_sapiens ENSG00000242366
homo_sapiens ENSG00000242515
homo_sapiens ENSG00000244122
homo_sapiens ENSG00000241119
chlorocebus_sabaeus ENSCSAG00000006311
otolemur_garnettii ENSOGAG00000028447
otolemur_garnettii ENSOGAG00000030185
loxodonta_africana ENSLAFG00000031114
loxodonta_africana ENSLAFG00000029526
loxodonta_africana ENSLAFG00000027547
phascolarctos_cinereus ENSPCIG00000032509
monodelphis_domestica ENSMODG00000007751
sarcophilus_harrisii ENSSHAG00000006172
