ficedula_albicollis ENSFALG00000000943
zonotrichia_albicollis ENSZALG00000004527
manacus_vitellinus ENSMVIG00005013278
serinus_canaria ENSSCAG00000004211
cyanistes_caeruleus ENSCCEG00000023665
anser_brachyrhynchus ENSABRG00000019812
nothoprocta_perdicaria ENSNPEG00000016220
propithecus_coquereli ENSPCOG00000014714
prolemur_simus ENSPSMG00000013026
microcebus_murinus ENSMICG00000044073
carlito_syrichta ENSTSYG00000030767
panthera_pardus ENSPPRG00000003760
felis_catus ENSFCAG00000042985
canis_lupus_familiaris ENSCAFG00000031378
notechis_scutatus ENSNSUG00000017950
paramormyrops_kingsleyae ENSPKIG00000022469
scleropages_formosus ENSSFOG00015018638
pygocentrus_nattereri ENSPNAG00000026848
astyanax_mexicanus ENSAMXG00000041283
danio_rerio ENSDARG00000114063
maylandia_zebra ENSMZEG00005014360
astatotilapia_calliptera ENSACLG00000000695
pundamilia_nyererei ENSPNYG00000016264
haplochromis_burtoni ENSHBUG00000012647
neolamprologus_brichardi ENSNBRG00000021519
amphiprion_percula ENSAPEG00000020730
kryptolebias_marmoratus ENSKMAG00000014086
cyprinodon_variegatus ENSCVAG00000013827
monopterus_albus ENSMALG00000009079
mastacembelus_armatus ENSMAMG00000022874
anabas_testudineus ENSATEG00000005590
scophthalmus_maximus ENSSMAG00000013414
lepisosteus_oculatus ENSLOCG00000012442
