stegastes_partitus ENSSPAG00000001439
acanthochromis_polyacanthus ENSAPOG00000005452
astatotilapia_calliptera ENSACLG00000024983
maylandia_zebra ENSMZEG00005023228
haplochromis_burtoni ENSHBUG00000005051
neolamprologus_brichardi ENSNBRG00000000403
amphilophus_citrinellus ENSACIG00000023638
mastacembelus_armatus ENSMAMG00000002120
anabas_testudineus ENSATEG00000015912
seriola_dumerili ENSSDUG00000021473
seriola_lalandi_dorsalis ENSSLDG00000013517
labrus_bergylta ENSLBEG00000021623
periophthalmus_magnuspinnatus ENSPMGG00000000104
