anabas_testudineus ENSATEG00000024976
gasterosteus_aculeatus ENSGACG00000001672
cynoglossus_semilaevis ENSCSEG00000021629
periophthalmus_magnuspinnatus ENSPMGG00000013461
acanthochromis_polyacanthus ENSAPOG00000013189
acanthochromis_polyacanthus ENSAPOG00000013290
acanthochromis_polyacanthus ENSAPOG00000011387
amphiprion_percula ENSAPEG00000004866
amphiprion_ocellaris ENSAOCG00000006483
stegastes_partitus ENSSPAG00000007811
poecilia_formosa ENSPFOG00000013266
poecilia_latipinna ENSPLAG00000016285
poecilia_mexicana ENSPMEG00000003539
poecilia_reticulata ENSPREG00000006249
gambusia_affinis ENSGAFG00000012570
xiphophorus_couchianus ENSXCOG00000013521
fundulus_heteroclitus ENSFHEG00000022920
cyprinodon_variegatus ENSCVAG00000012249
kryptolebias_marmoratus ENSKMAG00000010148
oryzias_latipes_asm223469v1 ENSORLG00015015309
oryzias_latipes_asm223467v1 ENSORLG00000027922
oryzias_latipes_asm223471v1 ENSORLG00020019412
oryzias_melastigma ENSOMEG00000021110
astatotilapia_calliptera ENSACLG00000016523
haplochromis_burtoni ENSHBUG00000009670
maylandia_zebra ENSMZEG00005013929
pundamilia_nyererei ENSPNYG00000018672
neolamprologus_brichardi ENSNBRG00000021435
oreochromis_niloticus ENSONIG00000014318
amphilophus_citrinellus ENSACIG00000008213
tetraodon_nigroviridis ENSTNIG00000014802
takifugu_rubripes ENSTRUG00000019838
mastacembelus_armatus ENSMAMG00000014839
labrus_bergylta ENSLBEG00000025010
mola_mola ENSMMOG00000010735
monopterus_albus ENSMALG00000007769
seriola_dumerili ENSSDUG00000015362
seriola_lalandi_dorsalis ENSSLDG00000015813
scophthalmus_maximus ENSSMAG00000014393
hippocampus_comes ENSHCOG00000019894
gadus_morhua ENSGMOG00000001422
esox_lucius ENSELUG00000011152
pygocentrus_nattereri ENSPNAG00000027733
astyanax_mexicanus ENSAMXG00000003899
ictalurus_punctatus ENSIPUG00000002957
danio_rerio ENSDARG00000007130
scleropages_formosus ENSSFOG00015006887
paramormyrops_kingsleyae ENSPKIG00000017917
lepisosteus_oculatus ENSLOCG00000004468
phascolarctos_cinereus ENSPCIG00000003652
notamacropus_eugenii ENSMEUG00000000027
monodelphis_domestica ENSMODG00000015874
sarcophilus_harrisii ENSSHAG00000008423
rattus_norvegicus ENSRNOG00000017979
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029042
peromyscus_maniculatus_bairdii ENSPEMG00000010459
peromyscus_maniculatus_bairdii ENSPEMG00000023720
cricetulus_griseus_crigri-picr ENSCGRG00015024695
cricetulus_griseus_crigri_1.0 ENSCGRG00000010649
mesocricetus_auratus ENSMAUG00000019627
meriones_unguiculatus ENSMUGG00000013097
mus_spicilegus ENSMSIG00000028972
mus_spicilegus ENSMSIG00000002913
mus_spicilegus ENSMSIG00000031817
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028741
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027691
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026711
mesocricetus_auratus ENSMAUG00000006000
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014369
cricetulus_griseus_crigri-picr ENSCGRG00015017749
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001005758
microtus_ochrogaster ENSMOCG00000018413
nannospalax_galili ENSNGAG00000011660
jaculus_jaculus ENSJJAG00000017998
dipodomys_ordii ENSDORG00000025382
spermophilus_dauricus ENSSDAG00000011743
oryctolagus_cuniculus ENSOCUG00000000274
ochotona_princeps ENSOPRG00000012746
sorex_araneus ENSSARG00000012700
erinaceus_europaeus ENSEEUG00000013520
myotis_lucifugus ENSMLUG00000001566
myotis_lucifugus ENSMLUG00000025001
bos_taurus ENSBTAG00000011951
bos_mutus ENSBMUG00000005235
bison_bison_bison ENSBBBG00000016345
capra_hircus ENSCHIG00000014751
tursiops_truncatus ENSTTRG00000014203
sus_scrofa ENSSSCG00000034814
equus_caballus ENSECAG00000037802
equus_caballus ENSECAG00000035284
nomascus_leucogenys ENSNLEG00000034965
equus_caballus ENSECAG00000012598
equus_asinus_asinus ENSEASG00005014967
ailuropoda_melanoleuca ENSAMEG00000014981
mustela_putorius_furo ENSMPUG00000001257
canis_lupus_familiaris ENSCAFG00000009080
pan_troglodytes ENSPTRG00000000262
pan_paniscus ENSPPAG00000043731
homo_sapiens ENSG00000053372
gorilla_gorilla ENSGGOG00000000533
pongo_abelii ENSPPYG00000001795
nomascus_leucogenys ENSNLEG00000018006
theropithecus_gelada ENSTGEG00000002264
papio_anubis ENSPANG00000011596
piliocolobus_tephrosceles ENSPTEG00000017890
piliocolobus_tephrosceles ENSPTEG00000003101
colobus_angolensis_palliatus ENSCANG00000002395
rhinopithecus_roxellana ENSRROG00000042838
rhinopithecus_roxellana ENSRROG00000011593
rhinopithecus_bieti ENSRBIG00000036806
rhinopithecus_roxellana ENSRROG00000037374
rhinopithecus_bieti ENSRBIG00000036159
colobus_angolensis_palliatus ENSCANG00000005353
mandrillus_leucophaeus ENSMLEG00000023273
cercocebus_atys ENSCATG00000030492
macaca_fascicularis ENSMFAG00000033225
macaca_mulatta ENSMMUG00000038335
macaca_nemestrina ENSMNEG00000032783
chlorocebus_sabaeus ENSCSAG00000018596
chlorocebus_sabaeus ENSCSAG00000000876
theropithecus_gelada ENSTGEG00000025094
papio_anubis ENSPANG00000017838
nomascus_leucogenys ENSNLEG00000027896
callithrix_jacchus ENSCJAG00000006812
cebus_capucinus_imitator ENSCCAG00000036206
saimiri_boliviensis_boliviensis ENSSBOG00000022924
aotus_nancymaae ENSANAG00000029674
rhinopithecus_bieti ENSRBIG00000013434
colobus_angolensis_palliatus ENSCANG00000030124
macaca_mulatta ENSMMUG00000044851
gorilla_gorilla ENSGGOG00000042625
microcebus_murinus ENSMICG00000033640
prolemur_simus ENSPSMG00000003796
microcebus_murinus ENSMICG00000004019
propithecus_coquereli ENSPCOG00000014182
otolemur_garnettii ENSOGAG00000010713
carlito_syrichta ENSTSYG00000013413
pan_troglodytes ENSPTRG00000046027
pan_paniscus ENSPPAG00000039572
gorilla_gorilla ENSGGOG00000036991
otolemur_garnettii ENSOGAG00000027996
neovison_vison ENSNVIG00000014804
neovison_vison ENSNVIG00000003892
mustela_putorius_furo ENSMPUG00000016181
canis_lupus_familiaris ENSCAFG00000015189
canis_lupus_familiaris ENSCAFG00000000532
canis_lupus_dingo ENSCAFG00020008173
vulpes_vulpes ENSVVUG00000029432
ursus_maritimus ENSUMAG00000018964
ursus_americanus ENSUAMG00000026191
ailuropoda_melanoleuca ENSAMEG00000003014
panthera_pardus ENSPPRG00000024765
panthera_tigris_altaica ENSPTIG00000016208
felis_catus ENSFCAG00000008771
capra_hircus ENSCHIG00000010639
octodon_degus ENSODEG00000015379
octodon_degus ENSODEG00000014387
octodon_degus ENSODEG00000019157
octodon_degus ENSODEG00000011537
octodon_degus ENSODEG00000014016
cavia_porcellus ENSCPOG00000033237
cavia_aperea ENSCAPG00000012648
chinchilla_lanigera ENSCLAG00000001997
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100014484
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000012157
fukomys_damarensis ENSFDAG00000013300
ictidomys_tridecemlineatus ENSSTOG00000028112
urocitellus_parryii ENSUPAG00010013705
marmota_marmota_marmota ENSMMMG00000020004
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001001286
cricetulus_griseus_crigri_1.0 ENSCGRG00000001527
cricetulus_griseus_crigri-picr ENSCGRG00015008830
choloepus_hoffmanni ENSCHOG00000010378
dasypus_novemcinctus ENSDNOG00000030871
