gasterosteus_aculeatus ENSGACG00000013028
labrus_bergylta ENSLBEG00000024609
takifugu_rubripes ENSTRUG00000023495
tetraodon_nigroviridis ENSTNIG00000011578
mola_mola ENSMMOG00000012548
poecilia_mexicana ENSPMEG00000024094
poecilia_latipinna ENSPLAG00000019539
poecilia_reticulata ENSPREG00000014544
xiphophorus_couchianus ENSXCOG00000018118
gambusia_affinis ENSGAFG00000005035
xiphophorus_maculatus ENSXMAG00000011927
poecilia_formosa ENSPFOG00000008459
poecilia_formosa ENSPFOG00000006239
poecilia_mexicana ENSPMEG00000017352
fundulus_heteroclitus ENSFHEG00000019990
cyprinodon_variegatus ENSCVAG00000016317
kryptolebias_marmoratus ENSKMAG00000009532
oryzias_latipes_asm223471v1 ENSORLG00020012940
oryzias_latipes_asm223469v1 ENSORLG00015002384
oryzias_latipes_asm223467v1 ENSORLG00000011728
oryzias_melastigma ENSOMEG00000017231
haplochromis_burtoni ENSHBUG00000020775
astatotilapia_calliptera ENSACLG00000007786
pundamilia_nyererei ENSPNYG00000016887
neolamprologus_brichardi ENSNBRG00000002662
oreochromis_niloticus ENSONIG00000019399
amphilophus_citrinellus ENSACIG00000007201
amphiprion_percula ENSAPEG00000015159
amphiprion_ocellaris ENSAOCG00000014468
acanthochromis_polyacanthus ENSAPOG00000013861
stegastes_partitus ENSSPAG00000010523
monopterus_albus ENSMALG00000019962
mastacembelus_armatus ENSMAMG00000002391
anabas_testudineus ENSATEG00000004972
seriola_lalandi_dorsalis ENSSLDG00000006069
seriola_dumerili ENSSDUG00000016556
scophthalmus_maximus ENSSMAG00000009839
hippocampus_comes ENSHCOG00000014644
cynoglossus_semilaevis ENSCSEG00000017572
periophthalmus_magnuspinnatus ENSPMGG00000015724
gadus_morhua ENSGMOG00000003474
astyanax_mexicanus ENSAMXG00000043728
pygocentrus_nattereri ENSPNAG00000012688
ictalurus_punctatus ENSIPUG00000023274
danio_rerio ENSDARG00000100990
paramormyrops_kingsleyae ENSPKIG00000022312
esox_lucius ENSELUG00000009505
scleropages_formosus ENSSFOG00015007974
latimeria_chalumnae ENSLACG00000013034
chrysemys_picta_bellii ENSCPBG00000023273
crocodylus_porosus ENSCPRG00005000423
zonotrichia_albicollis ENSZALG00000001868
calidris_pygmaea ENSCPGG00000016921
calidris_pygmaea ENSCPGG00000002541
calidris_pugnax ENSCPUG00000017315
melopsittacus_undulatus ENSMUNG00000004941
lonchura_striata_domestica ENSLSDG00000002123
taeniopygia_guttata ENSTGUG00000003561
serinus_canaria ENSSCAG00000012821
parus_major ENSPMJG00000008359
cyanistes_caeruleus ENSCCEG00000020962
ficedula_albicollis ENSFALG00000004605
junco_hyemalis ENSJHYG00000017806
manacus_vitellinus ENSMVIG00005008910
lepidothrix_coronata ENSLCOG00000007583
meleagris_gallopavo ENSMGAG00000009804
coturnix_japonica ENSCJPG00005016956
numida_meleagris ENSNMEG00000021669
gallus_gallus ENSGALG00000027635
anser_brachyrhynchus ENSABRG00000001119
anas_platyrhynchos_platyrhynchos ENSAPLG00000005317
apteryx_rowi ENSARWG00000007841
apteryx_owenii ENSAOWG00000002225
apteryx_haastii ENSAHAG00000016142
dromaius_novaehollandiae ENSDNVG00000017667
nothoprocta_perdicaria ENSNPEG00000010967
notechis_scutatus ENSNSUG00000001215
pogona_vitticeps ENSPVIG00000000405
salvator_merianae ENSSMRG00000004728
chelonoidis_abingdonii ENSCABG00000016475
gopherus_agassizii ENSGAGG00000023671
pelodiscus_sinensis ENSPSIG00000003462
sphenodon_punctatus ENSSPUG00000014344
monodelphis_domestica ENSMODG00000016140
phascolarctos_cinereus ENSPCIG00000017277
otolemur_garnettii ENSOGAG00000026071
macaca_mulatta ENSMMUG00000003857
tursiops_truncatus ENSTTRG00000011380
sus_scrofa ENSSSCG00000008017
bos_taurus ENSBTAG00000016552
capra_hircus ENSCHIG00000020916
bison_bison_bison ENSBBBG00000005890
bos_mutus ENSBMUG00000018193
ovis_aries ENSOARG00000016411
neovison_vison ENSNVIG00000021975
rhinopithecus_bieti ENSRBIG00000031631
rhinopithecus_roxellana ENSRROG00000035949
colobus_angolensis_palliatus ENSCANG00000010776
piliocolobus_tephrosceles ENSPTEG00000034876
chlorocebus_sabaeus ENSCSAG00000011458
cercocebus_atys ENSCATG00000031446
macaca_nemestrina ENSMNEG00000016858
macaca_fascicularis ENSMFAG00000045629
theropithecus_gelada ENSTGEG00000004454
papio_anubis ENSPANG00000017598
mandrillus_leucophaeus ENSMLEG00000038547
homo_sapiens ENSG00000103024
gorilla_gorilla ENSGGOG00000006229
pan_troglodytes ENSPTRG00000007605
pan_paniscus ENSPPAG00000030073
pongo_abelii ENSPPYG00000006961
nomascus_leucogenys ENSNLEG00000008754
saimiri_boliviensis_boliviensis ENSSBOG00000035930
cebus_capucinus_imitator ENSCCAG00000035080
callithrix_jacchus ENSCJAG00000014687
aotus_nancymaae ENSANAG00000023706
myotis_lucifugus ENSMLUG00000000754
pteropus_vampyrus ENSPVAG00000016681
ochotona_princeps ENSOPRG00000001474
equus_asinus_asinus ENSEASG00005004565
equus_caballus ENSECAG00000038477
prolemur_simus ENSPSMG00000024387
propithecus_coquereli ENSPCOG00000019193
microcebus_murinus ENSMICG00000030545
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024438
cricetulus_griseus_crigri_1.0 ENSCGRG00000018144
cricetulus_griseus_crigri-picr ENSCGRG00015014451
mesocricetus_auratus ENSMAUG00000008485
peromyscus_maniculatus_bairdii ENSPEMG00000018639
microtus_ochrogaster ENSMOCG00000003271
microtus_ochrogaster ENSMOCG00000015503
