mus_musculus_strain_reference_cl57bl6 ENSMUSG00000066938
mus_spicilegus ENSMSIG00000007236
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021907
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022823
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020897
meriones_unguiculatus ENSMUGG00000018540
cricetulus_griseus_crigri-picr ENSCGRG00015016365
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011662
peromyscus_maniculatus_bairdii ENSPEMG00000028661
chinchilla_lanigera ENSCLAG00000017724
ictidomys_tridecemlineatus ENSSTOG00000026079
marmota_marmota_marmota ENSMMMG00000016715
urocitellus_parryii ENSUPAG00010004140
castor_canadensis ENSCCNG00000022121
oryctolagus_cuniculus ENSOCUG00000020965
loxodonta_africana ENSLAFG00000026405
