gasterosteus_aculeatus ENSGACG00000009043
tetraodon_nigroviridis ENSTNIG00000008622
cynoglossus_semilaevis ENSCSEG00000016435
oryzias_latipes_asm223467v1 ENSORLG00000006472
oryzias_latipes_asm223469v1 ENSORLG00015011784
oryzias_latipes_asm223471v1 ENSORLG00020007039
oryzias_melastigma ENSOMEG00000005740
amphiprion_ocellaris ENSAOCG00000003493
amphiprion_percula ENSAPEG00000010458
acanthochromis_polyacanthus ENSAPOG00000006456
stegastes_partitus ENSSPAG00000008093
labrus_bergylta ENSLBEG00000002804
xiphophorus_maculatus ENSXMAG00000010620
xiphophorus_couchianus ENSXCOG00000000589
gambusia_affinis ENSGAFG00000010290
poecilia_latipinna ENSPLAG00000021710
poecilia_formosa ENSPFOG00000014946
poecilia_mexicana ENSPMEG00000019600
poecilia_reticulata ENSPREG00000015183
cyprinodon_variegatus ENSCVAG00000016395
fundulus_heteroclitus ENSFHEG00000001965
kryptolebias_marmoratus ENSKMAG00000019075
pundamilia_nyererei ENSPNYG00000006892
haplochromis_burtoni ENSHBUG00000019983
maylandia_zebra ENSMZEG00005027580
astatotilapia_calliptera ENSACLG00000014907
oreochromis_niloticus ENSONIG00000000347
neolamprologus_brichardi ENSNBRG00000018095
amphilophus_citrinellus ENSACIG00000002398
mola_mola ENSMMOG00000010318
seriola_dumerili ENSSDUG00000011595
seriola_lalandi_dorsalis ENSSLDG00000025534
scophthalmus_maximus ENSSMAG00000020650
monopterus_albus ENSMALG00000015433
mastacembelus_armatus ENSMAMG00000021164
anabas_testudineus ENSATEG00000004440
takifugu_rubripes ENSTRUG00000011738
hippocampus_comes ENSHCOG00000017942
periophthalmus_magnuspinnatus ENSPMGG00000005891
gadus_morhua ENSGMOG00000012662
esox_lucius ENSELUG00000008495
pygocentrus_nattereri ENSPNAG00000025064
astyanax_mexicanus ENSAMXG00000038222
ictalurus_punctatus ENSIPUG00000016823
danio_rerio ENSDARG00000019451
paramormyrops_kingsleyae ENSPKIG00000005087
scleropages_formosus ENSSFOG00015010552
scleropages_formosus ENSSFOG00015000888
lepisosteus_oculatus ENSLOCG00000015998
latimeria_chalumnae ENSLACG00000012914
latimeria_chalumnae ENSLACG00000022237
phascolarctos_cinereus ENSPCIG00000000394
notamacropus_eugenii ENSMEUG00000011529
monodelphis_domestica ENSMODG00000005404
sarcophilus_harrisii ENSSHAG00000010370
castor_canadensis ENSCCNG00000012587
dipodomys_ordii ENSDORG00000000794
ictidomys_tridecemlineatus ENSSTOG00000009909
marmota_marmota_marmota ENSMMMG00000002494
spermophilus_dauricus ENSSDAG00000005788
urocitellus_parryii ENSUPAG00010003674
mus_spicilegus ENSMSIG00000025063
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025293
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000027419
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024374
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025819
rattus_norvegicus ENSRNOG00000005438
meriones_unguiculatus ENSMUGG00000009825
cricetulus_griseus_crigri_1.0 ENSCGRG00000009614
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021369
cricetulus_griseus_crigri-picr ENSCGRG00015007727
peromyscus_maniculatus_bairdii ENSPEMG00000016484
microtus_ochrogaster ENSMOCG00000015397
nannospalax_galili ENSNGAG00000009533
jaculus_jaculus ENSJJAG00000014747
ursus_maritimus ENSUMAG00000024881
ursus_americanus ENSUAMG00000020779
ailuropoda_melanoleuca ENSAMEG00000005408
mustela_putorius_furo ENSMPUG00000001384
mustela_putorius_furo ENSMPUG00000001379
neovison_vison ENSNVIG00000014379
canis_lupus_familiaris ENSCAFG00000005498
canis_lupus_dingo ENSCAFG00020027517
vulpes_vulpes ENSVVUG00000014102
panthera_tigris_altaica ENSPTIG00000018656
panthera_pardus ENSPPRG00000024769
felis_catus ENSFCAG00000011356
ovis_aries ENSOARG00000016923
capra_hircus ENSCHIG00000021637
bison_bison_bison ENSBBBG00000007070
bos_mutus ENSBMUG00000014848
bos_taurus ENSBTAG00000008687
tursiops_truncatus ENSTTRG00000007288
sus_scrofa ENSSSCG00000007083
vicugna_pacos ENSVPAG00000004560
equus_asinus_asinus ENSEASG00005001899
equus_caballus ENSECAG00000001142
pteropus_vampyrus ENSPVAG00000000413
sorex_araneus ENSSARG00000002926
erinaceus_europaeus ENSEEUG00000011192
propithecus_coquereli ENSPCOG00000025190
prolemur_simus ENSPSMG00000000376
microcebus_murinus ENSMICG00000004252
otolemur_garnettii ENSOGAG00000000600
rhinopithecus_roxellana ENSRROG00000027871
rhinopithecus_bieti ENSRBIG00000013679
piliocolobus_tephrosceles ENSPTEG00000036557
colobus_angolensis_palliatus ENSCANG00000039479
papio_anubis ENSPANG00000021241
theropithecus_gelada ENSTGEG00000017363
mandrillus_leucophaeus ENSMLEG00000036656
cercocebus_atys ENSCATG00000036257
macaca_fascicularis ENSMFAG00000037979
macaca_mulatta ENSMMUG00000014626
macaca_nemestrina ENSMNEG00000043008
chlorocebus_sabaeus ENSCSAG00000011663
pan_paniscus ENSPPAG00000039603
pan_troglodytes ENSPTRG00000013273
homo_sapiens ENSG00000125851
gorilla_gorilla ENSGGOG00000007255
pongo_abelii ENSPPYG00000010725
nomascus_leucogenys ENSNLEG00000009653
cebus_capucinus_imitator ENSCCAG00000037594
callithrix_jacchus ENSCJAG00000004853
saimiri_boliviensis_boliviensis ENSSBOG00000019973
aotus_nancymaae ENSANAG00000030194
loxodonta_africana ENSLAFG00000030779
procavia_capensis ENSPCAG00000009716
echinops_telfairi ENSETEG00000013575
choloepus_hoffmanni ENSCHOG00000011721
dasypus_novemcinctus ENSDNOG00000031119
oryctolagus_cuniculus ENSOCUG00000015893
ochotona_princeps ENSOPRG00000000952
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009894
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006349
fukomys_damarensis ENSFDAG00000000099
chinchilla_lanigera ENSCLAG00000012372
octodon_degus ENSODEG00000012133
cavia_porcellus ENSCPOG00000006100
cavia_aperea ENSCAPG00000008839
tupaia_belangeri ENSTBEG00000017182
myotis_lucifugus ENSMLUG00000002914
carlito_syrichta ENSTSYG00000034717
ornithorhynchus_anatinus ENSOANG00000001239
gopherus_agassizii ENSGAGG00000021590
chelonoidis_abingdonii ENSCABG00000020274
chrysemys_picta_bellii ENSCPBG00000015184
pelodiscus_sinensis ENSPSIG00000009203
crocodylus_porosus ENSCPRG00005012678
pogona_vitticeps ENSPVIG00000009788
anolis_carolinensis ENSACAG00000000663
notechis_scutatus ENSNSUG00000019186
salvator_merianae ENSSMRG00000005118
sphenodon_punctatus ENSSPUG00000006679
apteryx_owenii ENSAOWG00000016580
apteryx_rowi ENSARWG00000005478
apteryx_haastii ENSAHAG00000015746
dromaius_novaehollandiae ENSDNVG00000001624
nothoprocta_perdicaria ENSNPEG00000005541
junco_hyemalis ENSJHYG00000003680
zonotrichia_albicollis ENSZALG00000009298
serinus_canaria ENSSCAG00000007661
taeniopygia_guttata ENSTGUG00000002403
lonchura_striata_domestica ENSLSDG00000000734
parus_major ENSPMJG00000001625
cyanistes_caeruleus ENSCCEG00000011760
ficedula_albicollis ENSFALG00000013664
lepidothrix_coronata ENSLCOG00000013454
manacus_vitellinus ENSMVIG00005006163
melopsittacus_undulatus ENSMUNG00000006825
calidris_pugnax ENSCPUG00000018352
calidris_pygmaea ENSCPGG00000016778
anas_platyrhynchos_platyrhynchos ENSAPLG00000014969
anser_brachyrhynchus ENSABRG00000003371
gallus_gallus ENSGALG00000008734
coturnix_japonica ENSCJPG00005011465
meleagris_gallopavo ENSMGAG00000004353
numida_meleagris ENSNMEG00000000140
xenopus_tropicalis ENSXETG00000003545
eptatretus_burgeri ENSEBUG00000008187
petromyzon_marinus ENSPMAG00000008934
ciona_intestinalis ENSCING00000005712
ciona_savignyi ENSCSAVG00000003313
drosophila_melanogaster FBgn0023179
caenorhabditis_elegans_strain_n2 WBGene00001172
