myotis_lucifugus ENSMLUG00000009793
pteropus_vampyrus ENSPVAG00000001366
ursus_americanus ENSUAMG00000012327
ursus_americanus ENSUAMG00000012329
ursus_maritimus ENSUMAG00000000992
ailuropoda_melanoleuca ENSAMEG00000010608
mustela_putorius_furo ENSMPUG00000015143
neovison_vison ENSNVIG00000023354
canis_lupus_familiaris ENSCAFG00000024473
canis_lupus_dingo ENSCAFG00020025770
vulpes_vulpes ENSVVUG00000008244
panthera_tigris_altaica ENSPTIG00000014473
panthera_pardus ENSPPRG00000010035
felis_catus ENSFCAG00000012268
bos_taurus ENSBTAG00000019123
bos_mutus ENSBMUG00000015477
bison_bison_bison ENSBBBG00000005935
capra_hircus ENSCHIG00000021584
ovis_aries ENSOARG00000001557
tursiops_truncatus ENSTTRG00000011650
sus_scrofa ENSSSCG00000007964
vicugna_pacos ENSVPAG00000011423
equus_caballus ENSECAG00000006916
erinaceus_europaeus ENSEEUG00000010063
sorex_araneus ENSSARG00000011121
microcebus_murinus ENSMICG00000013388
propithecus_coquereli ENSPCOG00000018697
otolemur_garnettii ENSOGAG00000028428
pan_troglodytes ENSPTRG00000007690
pan_troglodytes ENSPTRG00000051509
pan_paniscus ENSPPAG00000028835
homo_sapiens ENSG00000103313
gorilla_gorilla ENSGGOG00000015800
pongo_abelii ENSPPYG00000007037
nomascus_leucogenys ENSNLEG00000009630
colobus_angolensis_palliatus ENSCANG00000041446
piliocolobus_tephrosceles ENSPTEG00000012502
rhinopithecus_roxellana ENSRROG00000007610
rhinopithecus_bieti ENSRBIG00000041740
macaca_mulatta ENSMMUG00000017969
macaca_nemestrina ENSMNEG00000037569
macaca_fascicularis ENSMFAG00000041452
papio_anubis ENSPANG00000018705
theropithecus_gelada ENSTGEG00000025553
mandrillus_leucophaeus ENSMLEG00000031027
cercocebus_atys ENSCATG00000030851
chlorocebus_sabaeus ENSCSAG00000010088
callithrix_jacchus ENSCJAG00000019582
saimiri_boliviensis_boliviensis ENSSBOG00000023785
cebus_capucinus_imitator ENSCCAG00000028125
aotus_nancymaae ENSANAG00000021815
tupaia_belangeri ENSTBEG00000012283
chinchilla_lanigera ENSCLAG00000014180
cavia_porcellus ENSCPOG00000009769
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010721
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015852
fukomys_damarensis ENSFDAG00000018854
urocitellus_parryii ENSUPAG00010018625
ictidomys_tridecemlineatus ENSSTOG00000013108
spermophilus_dauricus ENSSDAG00000008169
marmota_marmota_marmota ENSMMMG00000007512
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000022534
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021279
mus_spicilegus ENSMSIG00000026165
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020385
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016093
rattus_norvegicus ENSRNOG00000008134
meriones_unguiculatus ENSMUGG00000017273
cricetulus_griseus_crigri_1.0 ENSCGRG00000016243
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010475
cricetulus_griseus_crigri-picr ENSCGRG00015014184
mesocricetus_auratus ENSMAUG00000016906
peromyscus_maniculatus_bairdii ENSPEMG00000008560
microtus_ochrogaster ENSMOCG00000021086
nannospalax_galili ENSNGAG00000022642
jaculus_jaculus ENSJJAG00000024259
castor_canadensis ENSCCNG00000029800
oryctolagus_cuniculus ENSOCUG00000004951
ochotona_princeps ENSOPRG00000012953
dasypus_novemcinctus ENSDNOG00000044936
choloepus_hoffmanni ENSCHOG00000006596
loxodonta_africana ENSLAFG00000010779
procavia_capensis ENSPCAG00000003731
echinops_telfairi ENSETEG00000003582
phascolarctos_cinereus ENSPCIG00000010637
sarcophilus_harrisii ENSSHAG00000016426
monodelphis_domestica ENSMODG00000016453
notamacropus_eugenii ENSMEUG00000005514
