carlito_syrichta ENSTSYG00000007571
prolemur_simus ENSPSMG00000017284
pan_troglodytes ENSPTRG00000034083
pan_troglodytes ENSPTRG00000047026
pan_paniscus ENSPPAG00000042513
homo_sapiens ENSG00000250361
homo_sapiens ENSG00000197465
pan_troglodytes ENSPTRG00000038865
pan_troglodytes ENSPTRG00000016478
pan_paniscus ENSPPAG00000042526
homo_sapiens ENSG00000170180
gorilla_gorilla ENSGGOG00000015552
pongo_abelii ENSPPYG00000015094
nomascus_leucogenys ENSNLEG00000032234
colobus_angolensis_palliatus ENSCANG00000032311
piliocolobus_tephrosceles ENSPTEG00000039187
papio_anubis ENSPANG00000021918
theropithecus_gelada ENSTGEG00000012204
cercocebus_atys ENSCATG00000036237
macaca_fascicularis ENSMFAG00000003962
macaca_mulatta ENSMMUG00000044429
macaca_nemestrina ENSMNEG00000012862
mandrillus_leucophaeus ENSMLEG00000029837
rhinopithecus_roxellana ENSRROG00000000691
rhinopithecus_bieti ENSRBIG00000036198
chlorocebus_sabaeus ENSCSAG00000003442
saimiri_boliviensis_boliviensis ENSSBOG00000031076
cebus_capucinus_imitator ENSCCAG00000035001
callithrix_jacchus ENSCJAG00000002707
aotus_nancymaae ENSANAG00000030304
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000051839
mus_spicilegus ENSMSIG00000028045
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032374
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031254
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022860
tupaia_belangeri ENSTBEG00000009979
sus_scrofa ENSSSCG00000009046
bos_taurus ENSBTAG00000039325
equus_caballus ENSECAG00000024514
canis_lupus_familiaris ENSCAFG00000031944
canis_lupus_dingo ENSCAFG00020025656
vulpes_vulpes ENSVVUG00000009111
ursus_maritimus ENSUMAG00000015349
dasypus_novemcinctus ENSDNOG00000016686
ornithorhynchus_anatinus ENSOANG00000020223
