gorilla_gorilla ENSGGOG00000038518
pan_troglodytes ENSPTRG00000051645
nomascus_leucogenys ENSNLEG00000027568
papio_anubis ENSPANG00000033700
cercocebus_atys ENSCATG00000005308
theropithecus_gelada ENSTGEG00000002039
macaca_nemestrina ENSMNEG00000038043
mandrillus_leucophaeus ENSMLEG00000043439
rhinopithecus_roxellana ENSRROG00000031233
rhinopithecus_bieti ENSRBIG00000031430
piliocolobus_tephrosceles ENSPTEG00000013443
colobus_angolensis_palliatus ENSCANG00000041348
cebus_capucinus_imitator ENSCCAG00000029105
callithrix_jacchus ENSCJAG00000046300
prolemur_simus ENSPSMG00000010484
