neovison_vison ENSNVIG00000022269
mustela_putorius_furo ENSMPUG00000006570
ailuropoda_melanoleuca ENSAMEG00000012766
canis_lupus_familiaris ENSCAFG00000012058
canis_lupus_dingo ENSCAFG00020021957
vulpes_vulpes ENSVVUG00000017226
equus_caballus ENSECAG00000009147
equus_asinus_asinus ENSEASG00005023260
propithecus_coquereli ENSPCOG00000025038
microcebus_murinus ENSMICG00000043482
prolemur_simus ENSPSMG00000000700
otolemur_garnettii ENSOGAG00000014657
pan_paniscus ENSPPAG00000031741
pan_troglodytes ENSPTRG00000013663
gorilla_gorilla ENSGGOG00000005761
homo_sapiens ENSG00000124092
pongo_abelii ENSPPYG00000011163
nomascus_leucogenys ENSNLEG00000007062
piliocolobus_tephrosceles ENSPTEG00000008933
colobus_angolensis_palliatus ENSCANG00000032734
rhinopithecus_roxellana ENSRROG00000032938
rhinopithecus_bieti ENSRBIG00000029045
mandrillus_leucophaeus ENSMLEG00000030367
cercocebus_atys ENSCATG00000042235
macaca_nemestrina ENSMNEG00000040577
macaca_mulatta ENSMMUG00000016802
macaca_fascicularis ENSMFAG00000037641
papio_anubis ENSPANG00000014250
theropithecus_gelada ENSTGEG00000012939
cebus_capucinus_imitator ENSCCAG00000026632
saimiri_boliviensis_boliviensis ENSSBOG00000029240
callithrix_jacchus ENSCJAG00000019109
aotus_nancymaae ENSANAG00000024428
dasypus_novemcinctus ENSDNOG00000015712
choloepus_hoffmanni ENSCHOG00000010364
panthera_tigris_altaica ENSPTIG00000013064
panthera_pardus ENSPPRG00000009692
felis_catus ENSFCAG00000031045
ursus_maritimus ENSUMAG00000002621
ursus_americanus ENSUAMG00000019779
capra_hircus ENSCHIG00000012079
ovis_aries ENSOARG00000017818
bos_mutus ENSBMUG00000016873
bos_taurus ENSBTAG00000013079
bison_bison_bison ENSBBBG00000008049
urocitellus_parryii ENSUPAG00010004786
spermophilus_dauricus ENSSDAG00000018350
ictidomys_tridecemlineatus ENSSTOG00000014794
marmota_marmota_marmota ENSMMMG00000008738
mus_spicilegus ENSMSIG00000026727
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000070495
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025666
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024746
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026187
rattus_norvegicus ENSRNOG00000028661
meriones_unguiculatus ENSMUGG00000010280
meriones_unguiculatus ENSMUGG00000010061
cricetulus_griseus_crigri_1.0 ENSCGRG00000001890
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013637
cricetulus_griseus_crigri-picr ENSCGRG00015016663
mesocricetus_auratus ENSMAUG00000007706
peromyscus_maniculatus_bairdii ENSPEMG00000019496
microtus_ochrogaster ENSMOCG00000005492
nannospalax_galili ENSNGAG00000001461
cavia_porcellus ENSCPOG00000006577
cavia_aperea ENSCAPG00000015270
chinchilla_lanigera ENSCLAG00000004596
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017001
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006472
fukomys_damarensis ENSFDAG00000018376
ochotona_princeps ENSOPRG00000006590
vicugna_pacos ENSVPAG00000009485
castor_canadensis ENSCCNG00000006956
pteropus_vampyrus ENSPVAG00000007380
myotis_lucifugus ENSMLUG00000011016
tursiops_truncatus ENSTTRG00000015672
sus_scrofa ENSSSCG00000007505
erinaceus_europaeus ENSEEUG00000011750
carlito_syrichta ENSTSYG00000013958
tupaia_belangeri ENSTBEG00000006330
loxodonta_africana ENSLAFG00000009261
procavia_capensis ENSPCAG00000010439
phascolarctos_cinereus ENSPCIG00000013656
notamacropus_eugenii ENSMEUG00000008337
sarcophilus_harrisii ENSSHAG00000013360
sarcophilus_harrisii ENSSHAG00000001630
monodelphis_domestica ENSMODG00000016490
ornithorhynchus_anatinus ENSOANG00000009260
gopherus_agassizii ENSGAGG00000001169
chelonoidis_abingdonii ENSCABG00000012371
chrysemys_picta_bellii ENSCPBG00000023948
pelodiscus_sinensis ENSPSIG00000011195
apteryx_owenii ENSAOWG00000000977
apteryx_rowi ENSARWG00000009479
apteryx_haastii ENSAHAG00000012455
dromaius_novaehollandiae ENSDNVG00000010049
nothoprocta_perdicaria ENSNPEG00000011094
meleagris_gallopavo ENSMGAG00000009067
coturnix_japonica ENSCJPG00005007234
numida_meleagris ENSNMEG00000016715
melopsittacus_undulatus ENSMUNG00000011279
manacus_vitellinus ENSMVIG00005004004
lepidothrix_coronata ENSLCOG00000007494
parus_major ENSPMJG00000009044
cyanistes_caeruleus ENSCCEG00000021356
junco_hyemalis ENSJHYG00000009325
ficedula_albicollis ENSFALG00000010800
taeniopygia_guttata ENSTGUG00000008275
lonchura_striata_domestica ENSLSDG00000004893
serinus_canaria ENSSCAG00000015378
pogona_vitticeps ENSPVIG00000021957
anolis_carolinensis ENSACAG00000016243
notechis_scutatus ENSNSUG00000014262
salvator_merianae ENSSMRG00000012514
sphenodon_punctatus ENSSPUG00000013957
crocodylus_porosus ENSCPRG00005005034
echinops_telfairi ENSETEG00000003834
ciona_intestinalis ENSCING00000006765
