mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033110
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000090546
cricetulus_griseus_crigri-picr ENSCGRG00015011489
rhinopithecus_bieti ENSRBIG00000041520
colobus_angolensis_palliatus ENSCANG00000041447
macaca_fascicularis ENSMFAG00000045725
macaca_nemestrina ENSMNEG00000032076
papio_anubis ENSPANG00000034008
theropithecus_gelada ENSTGEG00000005376
macaca_mulatta ENSMMUG00000021739
mandrillus_leucophaeus ENSMLEG00000029044
gorilla_gorilla ENSGGOG00000013898
homo_sapiens ENSG00000184258
pongo_abelii ENSPPYG00000020786
pan_paniscus ENSPPAG00000025131
rhinopithecus_roxellana ENSRROG00000009488
cercocebus_atys ENSCATG00000013059
