amphiprion_ocellaris ENSAOCG00000003142
acanthochromis_polyacanthus ENSAPOG00000004173
stegastes_partitus ENSSPAG00000016376
poecilia_formosa ENSPFOG00000018709
poecilia_latipinna ENSPLAG00000005816
gambusia_affinis ENSGAFG00000021539
xiphophorus_couchianus ENSXCOG00000004933
oryzias_latipes_asm223471v1 ENSORLG00020003123
haplochromis_burtoni ENSHBUG00000012680
pundamilia_nyererei ENSPNYG00000020814
astatotilapia_calliptera ENSACLG00000019679
maylandia_zebra ENSMZEG00005012451
neolamprologus_brichardi ENSNBRG00000002215
monopterus_albus ENSMALG00000003438
scophthalmus_maximus ENSSMAG00000020953
gasterosteus_aculeatus ENSGACG00000001567
labrus_bergylta ENSLBEG00000018494
gadus_morhua ENSGMOG00000010797
esox_lucius ENSELUG00000009167
astyanax_mexicanus ENSAMXG00000013883
ictalurus_punctatus ENSIPUG00000019806
taeniopygia_guttata ENSTGUG00000008758
ornithorhynchus_anatinus ENSOANG00000020810
