mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0002399
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000076463
mus_spicilegus ENSMSIG00000003986
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0002245
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0002047
meriones_unguiculatus ENSMUGG00000014415
cricetulus_griseus_crigri-picr ENSCGRG00015023002
castor_canadensis ENSCCNG00000025875
oryctolagus_cuniculus ENSOCUG00000027848
papio_anubis ENSPANG00000029317
chlorocebus_sabaeus ENSCSAG00000007880
cercocebus_atys ENSCATG00000022719
rhinopithecus_bieti ENSRBIG00000031390
rhinopithecus_roxellana ENSRROG00000026643
macaca_mulatta ENSMMUG00000047193
macaca_fascicularis ENSMFAG00000027881
macaca_nemestrina ENSMNEG00000013561
macaca_fascicularis ENSMFAG00000027856
macaca_mulatta ENSMMUG00000045466
macaca_nemestrina ENSMNEG00000008461
cercocebus_atys ENSCATG00000018560
papio_anubis ENSPANG00000034759
mandrillus_leucophaeus ENSMLEG00000026048
colobus_angolensis_palliatus ENSCANG00000016737
pan_troglodytes ENSPTRG00000048550
pan_troglodytes ENSPTRG00000051456
pan_paniscus ENSPPAG00000026493
gorilla_gorilla ENSGGOG00000042183
homo_sapiens ENSG00000226660
nomascus_leucogenys ENSNLEG00000035493
macaca_fascicularis ENSMFAG00000027795
macaca_mulatta ENSMMUG00000045633
theropithecus_gelada ENSTGEG00000010255
chlorocebus_sabaeus ENSCSAG00000019154
mandrillus_leucophaeus ENSMLEG00000021474
cercocebus_atys ENSCATG00000018350
piliocolobus_tephrosceles ENSPTEG00000034425
colobus_angolensis_palliatus ENSCANG00000014993
piliocolobus_tephrosceles ENSPTEG00000016100
rhinopithecus_roxellana ENSRROG00000029857
colobus_angolensis_palliatus ENSCANG00000014384
papio_anubis ENSPANG00000032886
cercocebus_atys ENSCATG00000021324
mandrillus_leucophaeus ENSMLEG00000024729
pongo_abelii ENSPPYG00000018079
nomascus_leucogenys ENSNLEG00000032489
cebus_capucinus_imitator ENSCCAG00000018837
saimiri_boliviensis_boliviensis ENSSBOG00000018075
aotus_nancymaae ENSANAG00000019846
neovison_vison ENSNVIG00000019978
cavia_porcellus ENSCPOG00000025586
cavia_porcellus ENSCPOG00000032580
cavia_porcellus ENSCPOG00000010598
oryctolagus_cuniculus ENSOCUG00000026804
sus_scrofa ENSSSCG00000032112
ovis_aries ENSOARG00000015699
equus_caballus ENSECAG00000022772
dasypus_novemcinctus ENSDNOG00000034895
dasypus_novemcinctus ENSDNOG00000031027
dasypus_novemcinctus ENSDNOG00000048415
homo_sapiens ENSG00000277880
pan_troglodytes ENSPTRG00000047912
pongo_abelii ENSPPYG00000018094
nomascus_leucogenys ENSNLEG00000028418
piliocolobus_tephrosceles ENSPTEG00000033950
prolemur_simus ENSPSMG00000000007
ovis_aries ENSOARG00000016158
bos_taurus ENSBTAG00000051371
sus_scrofa ENSSSCG00000038751
equus_caballus ENSECAG00000009811
equus_caballus ENSECAG00000007722
piliocolobus_tephrosceles ENSPTEG00000034005
chlorocebus_sabaeus ENSCSAG00000007768
homo_sapiens ENSG00000275743
pongo_abelii ENSPPYG00000018092
saimiri_boliviensis_boliviensis ENSSBOG00000029655
dasypus_novemcinctus ENSDNOG00000040564
pan_troglodytes ENSPTRG00000051222
pan_paniscus ENSPPAG00000009721
homo_sapiens ENSG00000276557
pongo_abelii ENSPPYG00000018095
nomascus_leucogenys ENSNLEG00000035435
dasypus_novemcinctus ENSDNOG00000046795
neovison_vison ENSNVIG00000019908
ursus_maritimus ENSUMAG00000012233
mustela_putorius_furo ENSMPUG00000008545
vulpes_vulpes ENSVVUG00000027650
canis_lupus_dingo ENSCAFG00020021022
oryctolagus_cuniculus ENSOCUG00000028127
oryctolagus_cuniculus ENSOCUG00000022737
oryctolagus_cuniculus ENSOCUG00000023047
oryctolagus_cuniculus ENSOCUG00000025817
erinaceus_europaeus ENSEEUG00000005578
dasypus_novemcinctus ENSDNOG00000046015
dasypus_novemcinctus ENSDNOG00000046965
tupaia_belangeri ENSTBEG00000007802
tupaia_belangeri ENSTBEG00000007253
homo_sapiens ENSG00000282939
pongo_abelii ENSPPYG00000018082
homo_sapiens ENSG00000211707
piliocolobus_tephrosceles ENSPTEG00000034321
chlorocebus_sabaeus ENSCSAG00000007852
gorilla_gorilla ENSGGOG00000006487
pan_paniscus ENSPPAG00000000508
homo_sapiens ENSG00000211714
nomascus_leucogenys ENSNLEG00000034777
mandrillus_leucophaeus ENSMLEG00000037589
macaca_nemestrina ENSMNEG00000044967
cercocebus_atys ENSCATG00000044028
theropithecus_gelada ENSTGEG00000027792
macaca_mulatta ENSMMUG00000047051
piliocolobus_tephrosceles ENSPTEG00000034306
rhinopithecus_bieti ENSRBIG00000019786
cebus_capucinus_imitator ENSCCAG00000004098
saimiri_boliviensis_boliviensis ENSSBOG00000018082
callithrix_jacchus ENSCJAG00000038565
aotus_nancymaae ENSANAG00000025212
chlorocebus_sabaeus ENSCSAG00000007828
macaca_nemestrina ENSMNEG00000024786
chlorocebus_sabaeus ENSCSAG00000007803
piliocolobus_tephrosceles ENSPTEG00000021111
piliocolobus_tephrosceles ENSPTEG00000020570
piliocolobus_tephrosceles ENSPTEG00000021175
piliocolobus_tephrosceles ENSPTEG00000020625
piliocolobus_tephrosceles ENSPTEG00000020658
piliocolobus_tephrosceles ENSPTEG00000021196
piliocolobus_tephrosceles ENSPTEG00000020787
piliocolobus_tephrosceles ENSPTEG00000021303
piliocolobus_tephrosceles ENSPTEG00000034156
rhinopithecus_bieti ENSRBIG00000037535
chlorocebus_sabaeus ENSCSAG00000007812
homo_sapiens ENSG00000253409
pongo_abelii ENSPPYG00000018244
chlorocebus_sabaeus ENSCSAG00000007808
theropithecus_gelada ENSTGEG00000027902
chlorocebus_sabaeus ENSCSAG00000007793
theropithecus_gelada ENSTGEG00000027940
piliocolobus_tephrosceles ENSPTEG00000020257
piliocolobus_tephrosceles ENSPTEG00000021081
piliocolobus_tephrosceles ENSPTEG00000020529
piliocolobus_tephrosceles ENSPTEG00000020815
homo_sapiens ENSG00000211727
homo_sapiens ENSG00000253291
aotus_nancymaae ENSANAG00000020863
saimiri_boliviensis_boliviensis ENSSBOG00000018094
pan_troglodytes ENSPTRG00000051902
pan_paniscus ENSPPAG00000043441
homo_sapiens ENSG00000278030
gorilla_gorilla ENSGGOG00000026381
pongo_abelii ENSPPYG00000018297
theropithecus_gelada ENSTGEG00000027951
aotus_nancymaae ENSANAG00000038442
carlito_syrichta ENSTSYG00000031365
prolemur_simus ENSPSMG00000003380
microcebus_murinus ENSMICG00000026754
otolemur_garnettii ENSOGAG00000032057
peromyscus_maniculatus_bairdii ENSPEMG00000024439
cricetulus_griseus_crigri-picr ENSCGRG00015023037
castor_canadensis ENSCCNG00000011178
cavia_porcellus ENSCPOG00000038847
urocitellus_parryii ENSUPAG00010009761
spermophilus_dauricus ENSSDAG00000006344
marmota_marmota_marmota ENSMMMG00000008384
spermophilus_dauricus ENSSDAG00000006306
marmota_marmota_marmota ENSMMMG00000008391
urocitellus_parryii ENSUPAG00010009713
spermophilus_dauricus ENSSDAG00000006284
marmota_marmota_marmota ENSMMMG00000008413
equus_caballus ENSECAG00000000647
equus_asinus_asinus ENSEASG00005009449
equus_asinus_asinus ENSEASG00005009398
equus_caballus ENSECAG00000010934
equus_asinus_asinus ENSEASG00005009420
equus_caballus ENSECAG00000009428
dasypus_novemcinctus ENSDNOG00000038166
neovison_vison ENSNVIG00000019948
neovison_vison ENSNVIG00000019931
mustela_putorius_furo ENSMPUG00000008572
canis_lupus_dingo ENSCAFG00020021036
canis_lupus_familiaris ENSCAFG00000003811
vulpes_vulpes ENSVVUG00000027659
ursus_maritimus ENSUMAG00000012239
ursus_americanus ENSUAMG00000011706
ursus_maritimus ENSUMAG00000012243
ailuropoda_melanoleuca ENSAMEG00000006302
ailuropoda_melanoleuca ENSAMEG00000006297
felis_catus ENSFCAG00000024642
bos_taurus ENSBTAG00000039559
bison_bison_bison ENSBBBG00000015081
ovis_aries ENSOARG00000016000
bison_bison_bison ENSBBBG00000007413
bos_mutus ENSBMUG00000010598
bos_taurus ENSBTAG00000049622
ovis_aries ENSOARG00000016049
myotis_lucifugus ENSMLUG00000029669
myotis_lucifugus ENSMLUG00000029546
myotis_lucifugus ENSMLUG00000028945
loxodonta_africana ENSLAFG00000028455
loxodonta_africana ENSLAFG00000029143
echinops_telfairi ENSETEG00000019352
sarcophilus_harrisii ENSSHAG00000003110
