xiphophorus_couchianus ENSXCOG00000017172
xiphophorus_maculatus ENSXMAG00000028919
poecilia_mexicana ENSPMEG00000023387
kryptolebias_marmoratus ENSKMAG00000016171
oryzias_latipes_asm223469v1 ENSORLG00015010180
oryzias_latipes_asm223467v1 ENSORLG00000025314
mastacembelus_armatus ENSMAMG00000005607
mola_mola ENSMMOG00000003156
kryptolebias_marmoratus ENSKMAG00000016551
kryptolebias_marmoratus ENSKMAG00000016543
periophthalmus_magnuspinnatus ENSPMGG00000012381
scophthalmus_maximus ENSSMAG00000007144
astyanax_mexicanus ENSAMXG00000043180
scophthalmus_maximus ENSSMAG00000012440
labrus_bergylta ENSLBEG00000022601
pundamilia_nyererei ENSPNYG00000017121
haplochromis_burtoni ENSHBUG00000000707
maylandia_zebra ENSMZEG00005025351
astatotilapia_calliptera ENSACLG00000004189
oreochromis_niloticus ENSONIG00000020793
neolamprologus_brichardi ENSNBRG00000012519
amphilophus_citrinellus ENSACIG00000010125
oryzias_melastigma ENSOMEG00000007482
oryzias_latipes_asm223471v1 ENSORLG00020022571
seriola_dumerili ENSSDUG00000010707
seriola_lalandi_dorsalis ENSSLDG00000005467
cynoglossus_semilaevis ENSCSEG00000013766
monopterus_albus ENSMALG00000007824
poecilia_formosa ENSPFOG00000020035
poecilia_latipinna ENSPLAG00000014053
poecilia_reticulata ENSPREG00000010596
gambusia_affinis ENSGAFG00000015130
fundulus_heteroclitus ENSFHEG00000007693
cyprinodon_variegatus ENSCVAG00000008223
gasterosteus_aculeatus ENSGACG00000014192
amphiprion_percula ENSAPEG00000004962
amphiprion_ocellaris ENSAOCG00000002615
acanthochromis_polyacanthus ENSAPOG00000019899
stegastes_partitus ENSSPAG00000016947
periophthalmus_magnuspinnatus ENSPMGG00000012384
esox_lucius ENSELUG00000024188
danio_rerio ENSDARG00000106062
pygocentrus_nattereri ENSPNAG00000020010
paramormyrops_kingsleyae ENSPKIG00000013955
scleropages_formosus ENSSFOG00015006637
esox_lucius ENSELUG00000014962
scleropages_formosus ENSSFOG00015008660
paramormyrops_kingsleyae ENSPKIG00000017862
lepisosteus_oculatus ENSLOCG00000010570
anser_brachyrhynchus ENSABRG00000015920
anas_platyrhynchos_platyrhynchos ENSAPLG00000006538
gallus_gallus ENSGALG00000009064
coturnix_japonica ENSCJPG00005005989
numida_meleagris ENSNMEG00000000470
lonchura_striata_domestica ENSLSDG00000005056
taeniopygia_guttata ENSTGUG00000001442
serinus_canaria ENSSCAG00000012081
junco_hyemalis ENSJHYG00000016252
zonotrichia_albicollis ENSZALG00000015442
ficedula_albicollis ENSFALG00000014488
parus_major ENSPMJG00000007569
lepidothrix_coronata ENSLCOG00000010382
manacus_vitellinus ENSMVIG00005004312
melopsittacus_undulatus ENSMUNG00000004347
calidris_pugnax ENSCPUG00000010230
calidris_pygmaea ENSCPGG00000000125
apteryx_rowi ENSARWG00000004989
apteryx_haastii ENSAHAG00000012027
apteryx_owenii ENSAOWG00000005915
nothoprocta_perdicaria ENSNPEG00000012371
dromaius_novaehollandiae ENSDNVG00000005268
crocodylus_porosus ENSCPRG00005012567
chelonoidis_abingdonii ENSCABG00000014838
gopherus_agassizii ENSGAGG00000014293
chrysemys_picta_bellii ENSCPBG00000021555
pogona_vitticeps ENSPVIG00000004797
anolis_carolinensis ENSACAG00000015779
salvator_merianae ENSSMRG00000013692
notechis_scutatus ENSNSUG00000009816
sphenodon_punctatus ENSSPUG00000014663
phascolarctos_cinereus ENSPCIG00000026040
monodelphis_domestica ENSMODG00000010505
sarcophilus_harrisii ENSSHAG00000018395
choloepus_hoffmanni ENSCHOG00000006204
dasypus_novemcinctus ENSDNOG00000044506
loxodonta_africana ENSLAFG00000011817
procavia_capensis ENSPCAG00000002682
equus_asinus_asinus ENSEASG00005019644
equus_caballus ENSECAG00000001326
ursus_americanus ENSUAMG00000027535
ursus_maritimus ENSUMAG00000018631
ailuropoda_melanoleuca ENSAMEG00000019295
mustela_putorius_furo ENSMPUG00000019061
neovison_vison ENSNVIG00000003774
canis_lupus_familiaris ENSCAFG00000001906
canis_lupus_dingo ENSCAFG00020015984
vulpes_vulpes ENSVVUG00000013833
felis_catus ENSFCAG00000027318
panthera_pardus ENSPPRG00000018206
tursiops_truncatus ENSTTRG00000012134
sus_scrofa ENSSSCG00000036436
capra_hircus ENSCHIG00000012408
ovis_aries ENSOARG00000016629
bison_bison_bison ENSBBBG00000017616
bos_mutus ENSBMUG00000012596
bos_taurus ENSBTAG00000002107
myotis_lucifugus ENSMLUG00000002634
pteropus_vampyrus ENSPVAG00000016096
cricetulus_griseus_crigri-picr ENSCGRG00015002090
cricetulus_griseus_crigri_1.0 ENSCGRG00000019396
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020415
microtus_ochrogaster ENSMOCG00000004875
peromyscus_maniculatus_bairdii ENSPEMG00000004940
mus_spicilegus ENSMSIG00000015681
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027938
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000044674
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026943
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021716
rattus_norvegicus ENSRNOG00000016242
mesocricetus_auratus ENSMAUG00000000455
nannospalax_galili ENSNGAG00000021608
jaculus_jaculus ENSJJAG00000012179
urocitellus_parryii ENSUPAG00010007239
marmota_marmota_marmota ENSMMMG00000020409
ictidomys_tridecemlineatus ENSSTOG00000013482
castor_canadensis ENSCCNG00000004559
dipodomys_ordii ENSDORG00000005961
meriones_unguiculatus ENSMUGG00000016601
cavia_porcellus ENSCPOG00000011031
cavia_aperea ENSCAPG00000012306
octodon_degus ENSODEG00000018976
chinchilla_lanigera ENSCLAG00000017832
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016691
fukomys_damarensis ENSFDAG00000015422
oryctolagus_cuniculus ENSOCUG00000003249
pan_troglodytes ENSPTRG00000043808
pan_troglodytes ENSPTRG00000045634
homo_sapiens ENSG00000157240
gorilla_gorilla ENSGGOG00000041639
pongo_abelii ENSPPYG00000017827
chlorocebus_sabaeus ENSCSAG00000019123
theropithecus_gelada ENSTGEG00000003519
piliocolobus_tephrosceles ENSPTEG00000027852
callithrix_jacchus ENSCJAG00000039417
prolemur_simus ENSPSMG00000012063
otolemur_garnettii ENSOGAG00000026848
xenopus_tropicalis ENSXETG00000031084
latimeria_chalumnae ENSLACG00000013091
