amphiprion_ocellaris ENSAOCG00000004826
amphiprion_percula ENSAPEG00000014714
acanthochromis_polyacanthus ENSAPOG00000021474
stegastes_partitus ENSSPAG00000016215
maylandia_zebra ENSMZEG00005020128
haplochromis_burtoni ENSHBUG00000015715
astatotilapia_calliptera ENSACLG00000015216
pundamilia_nyererei ENSPNYG00000010505
oreochromis_niloticus ENSONIG00000002929
amphilophus_citrinellus ENSACIG00000023186
gambusia_affinis ENSGAFG00000019390
xiphophorus_maculatus ENSXMAG00000000731
poecilia_formosa ENSPFOG00000017030
poecilia_mexicana ENSPMEG00000008924
poecilia_latipinna ENSPLAG00000018222
poecilia_reticulata ENSPREG00000020127
fundulus_heteroclitus ENSFHEG00000001173
cyprinodon_variegatus ENSCVAG00000011352
kryptolebias_marmoratus ENSKMAG00000005090
oryzias_latipes_asm223467v1 ENSORLG00000001937
oryzias_latipes_asm223471v1 ENSORLG00020008576
oryzias_melastigma ENSOMEG00000011089
mastacembelus_armatus ENSMAMG00000015302
monopterus_albus ENSMALG00000012144
anabas_testudineus ENSATEG00000015339
scophthalmus_maximus ENSSMAG00000014713
cynoglossus_semilaevis ENSCSEG00000003711
seriola_lalandi_dorsalis ENSSLDG00000010171
seriola_dumerili ENSSDUG00000022769
takifugu_rubripes ENSTRUG00000015704
tetraodon_nigroviridis ENSTNIG00000017648
mola_mola ENSMMOG00000006643
labrus_bergylta ENSLBEG00000019902
hippocampus_comes ENSHCOG00000016214
periophthalmus_magnuspinnatus ENSPMGG00000010800
esox_lucius ENSELUG00000004112
astyanax_mexicanus ENSAMXG00000005490
pygocentrus_nattereri ENSPNAG00000009213
danio_rerio ENSDARG00000011602
paramormyrops_kingsleyae ENSPKIG00000008665
scleropages_formosus ENSSFOG00015017079
lepisosteus_oculatus ENSLOCG00000014016
pogona_vitticeps ENSPVIG00000003225
notechis_scutatus ENSNSUG00000004574
salvator_merianae ENSSMRG00000009208
sphenodon_punctatus ENSSPUG00000018861
apteryx_rowi ENSARWG00000008026
apteryx_haastii ENSAHAG00000009476
apteryx_owenii ENSAOWG00000005366
dromaius_novaehollandiae ENSDNVG00000011360
nothoprocta_perdicaria ENSNPEG00000013102
calidris_pygmaea ENSCPGG00000018369
calidris_pugnax ENSCPUG00000011726
melopsittacus_undulatus ENSMUNG00000006553
zonotrichia_albicollis ENSZALG00000014559
junco_hyemalis ENSJHYG00000007871
serinus_canaria ENSSCAG00000008953
parus_major ENSPMJG00000006238
cyanistes_caeruleus ENSCCEG00000014728
lonchura_striata_domestica ENSLSDG00000008207
taeniopygia_guttata ENSTGUG00000007441
ficedula_albicollis ENSFALG00000003675
manacus_vitellinus ENSMVIG00005011581
lepidothrix_coronata ENSLCOG00000001001
gallus_gallus ENSGALG00000013771
meleagris_gallopavo ENSMGAG00000011693
numida_meleagris ENSNMEG00000009236
anas_platyrhynchos_platyrhynchos ENSAPLG00000017006
anser_brachyrhynchus ENSABRG00000009946
crocodylus_porosus ENSCPRG00005010513
gopherus_agassizii ENSGAGG00000011218
chelonoidis_abingdonii ENSCABG00000014633
chrysemys_picta_bellii ENSCPBG00000025111
pelodiscus_sinensis ENSPSIG00000012493
phascolarctos_cinereus ENSPCIG00000000581
notamacropus_eugenii ENSMEUG00000013765
monodelphis_domestica ENSMODG00000020691
sarcophilus_harrisii ENSSHAG00000005166
ovis_aries ENSOARG00000003424
capra_hircus ENSCHIG00000010537
bos_taurus ENSBTAG00000040398
bos_mutus ENSBMUG00000007253
sus_scrofa ENSSSCG00000008903
vicugna_pacos ENSVPAG00000000453
equus_asinus_asinus ENSEASG00005017786
equus_caballus ENSECAG00000013781
pteropus_vampyrus ENSPVAG00000005583
myotis_lucifugus ENSMLUG00000007250
ursus_americanus ENSUAMG00000028046
ursus_maritimus ENSUMAG00000007889
