cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011281
cricetulus_griseus_crigri-picr ENSCGRG00015005777
cricetulus_griseus_crigri_1.0 ENSCGRG00000019357
peromyscus_maniculatus_bairdii ENSPEMG00000029030
mus_spicilegus ENSMSIG00000024714
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000048356
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023703
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022784
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014281
rattus_norvegicus ENSRNOG00000013192
meriones_unguiculatus ENSMUGG00000008708
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000020138
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100020136
fukomys_damarensis ENSFDAG00000005309
cavia_aperea ENSCAPG00000011631
cavia_porcellus ENSCPOG00000006032
castor_canadensis ENSCCNG00000022623
urocitellus_parryii ENSUPAG00010017514
ictidomys_tridecemlineatus ENSSTOG00000001202
spermophilus_dauricus ENSSDAG00000002599
marmota_marmota_marmota ENSMMMG00000019408
oryctolagus_cuniculus ENSOCUG00000016681
ochotona_princeps ENSOPRG00000002582
prolemur_simus ENSPSMG00000004372
otolemur_garnettii ENSOGAG00000024189
homo_sapiens ENSG00000197887
pan_paniscus ENSPPAG00000024880
pongo_abelii ENSPPYG00000003257
pan_troglodytes ENSPTRG00000003676
pan_paniscus ENSPPAG00000026039
homo_sapiens ENSG00000280204
pongo_abelii ENSPPYG00000003256
nomascus_leucogenys ENSNLEG00000013015
theropithecus_gelada ENSTGEG00000020934
chlorocebus_sabaeus ENSCSAG00000019188
piliocolobus_tephrosceles ENSPTEG00000030119
callithrix_jacchus ENSCJAG00000008467
saimiri_boliviensis_boliviensis ENSSBOG00000014860
vicugna_pacos ENSVPAG00000002363
vicugna_pacos ENSVPAG00000009818
bos_mutus ENSBMUG00000018888
bos_mutus ENSBMUG00000003493
bos_taurus ENSBTAG00000040150
bison_bison_bison ENSBBBG00000023809
sus_scrofa ENSSSCG00000035480
sus_scrofa ENSSSCG00000031718
vulpes_vulpes ENSVVUG00000017056
erinaceus_europaeus ENSEEUG00000011193
ailuropoda_melanoleuca ENSAMEG00000014661
ursus_americanus ENSUAMG00000025202
mustela_putorius_furo ENSMPUG00000018866
myotis_lucifugus ENSMLUG00000017201
pteropus_vampyrus ENSPVAG00000005752
equus_asinus_asinus ENSEASG00005001936
equus_caballus ENSECAG00000034688
equus_caballus ENSECAG00000034864
equus_asinus_asinus ENSEASG00005001930
equus_caballus ENSECAG00000039161
equus_asinus_asinus ENSEASG00005001915
loxodonta_africana ENSLAFG00000029457
loxodonta_africana ENSLAFG00000028338
loxodonta_africana ENSLAFG00000028200
loxodonta_africana ENSLAFG00000027023
loxodonta_africana ENSLAFG00000031779
loxodonta_africana ENSLAFG00000026598
loxodonta_africana ENSLAFG00000027159
choloepus_hoffmanni ENSCHOG00000011586
dasypus_novemcinctus ENSDNOG00000017827
monodelphis_domestica ENSMODG00000020130
sarcophilus_harrisii ENSSHAG00000016562
notamacropus_eugenii ENSMEUG00000012070
