ciona_savignyi ENSCSAVG00000002514
ciona_intestinalis ENSCING00000007079
caenorhabditis_elegans_strain_n2 WBGene00016907
eptatretus_burgeri ENSEBUG00000003119
eptatretus_burgeri ENSEBUG00000000533
petromyzon_marinus ENSPMAG00000007451
mastacembelus_armatus ENSMAMG00000000470
monopterus_albus ENSMALG00000016697
anabas_testudineus ENSATEG00000011794
seriola_dumerili ENSSDUG00000004622
seriola_lalandi_dorsalis ENSSLDG00000010869
tetraodon_nigroviridis ENSTNIG00000015570
takifugu_rubripes ENSTRUG00000017380
mola_mola ENSMMOG00000008884
labrus_bergylta ENSLBEG00000024261
gasterosteus_aculeatus ENSGACG00000009323
cynoglossus_semilaevis ENSCSEG00000008522
poecilia_formosa ENSPFOG00000021882
poecilia_mexicana ENSPMEG00000017281
poecilia_latipinna ENSPLAG00000019536
poecilia_reticulata ENSPREG00000006048
xiphophorus_maculatus ENSXMAG00000005536
xiphophorus_couchianus ENSXCOG00000003239
gambusia_affinis ENSGAFG00000015831
fundulus_heteroclitus ENSFHEG00000003680
cyprinodon_variegatus ENSCVAG00000002484
kryptolebias_marmoratus ENSKMAG00000009681
oryzias_latipes_asm223467v1 ENSORLG00000007695
oryzias_latipes_asm223469v1 ENSORLG00015012025
oryzias_latipes_asm223471v1 ENSORLG00020016286
oryzias_melastigma ENSOMEG00000022379
pundamilia_nyererei ENSPNYG00000021994
haplochromis_burtoni ENSHBUG00000005659
maylandia_zebra ENSMZEG00005017865
astatotilapia_calliptera ENSACLG00000000520
neolamprologus_brichardi ENSNBRG00000020259
oreochromis_niloticus ENSONIG00000002635
amphilophus_citrinellus ENSACIG00000012406
hippocampus_comes ENSHCOG00000016848
periophthalmus_magnuspinnatus ENSPMGG00000000931
amphiprion_percula ENSAPEG00000003252
amphiprion_ocellaris ENSAOCG00000016066
acanthochromis_polyacanthus ENSAPOG00000009694
stegastes_partitus ENSSPAG00000005508
gadus_morhua ENSGMOG00000015834
esox_lucius ENSELUG00000023973
pygocentrus_nattereri ENSPNAG00000015533
astyanax_mexicanus ENSAMXG00000008271
ictalurus_punctatus ENSIPUG00000008631
danio_rerio ENSDARG00000015352
scleropages_formosus ENSSFOG00015008955
paramormyrops_kingsleyae ENSPKIG00000002895
lepisosteus_oculatus ENSLOCG00000004918
chelonoidis_abingdonii ENSCABG00000002837
chrysemys_picta_bellii ENSCPBG00000015941
pelodiscus_sinensis ENSPSIG00000009821
apteryx_owenii ENSAOWG00000000970
apteryx_haastii ENSAHAG00000016216
apteryx_rowi ENSARWG00000006293
dromaius_novaehollandiae ENSDNVG00000016156
nothoprocta_perdicaria ENSNPEG00000004574
lonchura_striata_domestica ENSLSDG00000010232
taeniopygia_guttata ENSTGUG00000009068
serinus_canaria ENSSCAG00000015469
junco_hyemalis ENSJHYG00000005151
zonotrichia_albicollis ENSZALG00000012611
parus_major ENSPMJG00000018630
cyanistes_caeruleus ENSCCEG00000014805
ficedula_albicollis ENSFALG00000007210
lepidothrix_coronata ENSLCOG00000000819
manacus_vitellinus ENSMVIG00005004952
melopsittacus_undulatus ENSMUNG00000011070
calidris_pugnax ENSCPUG00000017207
calidris_pygmaea ENSCPGG00000014479
gallus_gallus ENSGALG00000007058
coturnix_japonica ENSCJPG00005012480
meleagris_gallopavo ENSMGAG00000007050
numida_meleagris ENSNMEG00000013064
anser_brachyrhynchus ENSABRG00000015813
anas_platyrhynchos_platyrhynchos ENSAPLG00000004678
crocodylus_porosus ENSCPRG00005012998
pogona_vitticeps ENSPVIG00000016846
anolis_carolinensis ENSACAG00000004222
notechis_scutatus ENSNSUG00000019025
salvator_merianae ENSSMRG00000016050
sphenodon_punctatus ENSSPUG00000016347
pan_troglodytes ENSPTRG00000015760
pan_paniscus ENSPPAG00000029271
gorilla_gorilla ENSGGOG00000000520
homo_sapiens ENSG00000041802
pongo_abelii ENSPPYG00000014425
nomascus_leucogenys ENSNLEG00000008293
mandrillus_leucophaeus ENSMLEG00000041184
cercocebus_atys ENSCATG00000042060
papio_anubis ENSPANG00000018249
theropithecus_gelada ENSTGEG00000026370
macaca_fascicularis ENSMFAG00000039903
macaca_mulatta ENSMMUG00000010708
macaca_nemestrina ENSMNEG00000031538
chlorocebus_sabaeus ENSCSAG00000008796
piliocolobus_tephrosceles ENSPTEG00000005211
colobus_angolensis_palliatus ENSCANG00000030709
rhinopithecus_roxellana ENSRROG00000037702
rhinopithecus_bieti ENSRBIG00000029053
cebus_capucinus_imitator ENSCCAG00000035744
callithrix_jacchus ENSCJAG00000013962
saimiri_boliviensis_boliviensis ENSSBOG00000034938
aotus_nancymaae ENSANAG00000021153
carlito_syrichta ENSTSYG00000001447
propithecus_coquereli ENSPCOG00000012360
microcebus_murinus ENSMICG00000049087
prolemur_simus ENSPSMG00000010008
otolemur_garnettii ENSOGAG00000003475
tupaia_belangeri ENSTBEG00000009189
dipodomys_ordii ENSDORG00000012354
peromyscus_maniculatus_bairdii ENSPEMG00000026818
castor_canadensis ENSCCNG00000005636
castor_canadensis ENSCCNG00000005432
mus_spicilegus ENSMSIG00000006264
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000022538
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021544
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020648
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016352
rattus_norvegicus ENSRNOG00000001727
meriones_unguiculatus ENSMUGG00000021074
cricetulus_griseus_crigri_1.0 ENSCGRG00000014617
cricetulus_griseus_crigri-picr ENSCGRG00015023115
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019846
mesocricetus_auratus ENSMAUG00000016976
microtus_ochrogaster ENSMOCG00000022136
peromyscus_maniculatus_bairdii ENSPEMG00000012082
nannospalax_galili ENSNGAG00000021872
jaculus_jaculus ENSJJAG00000015513
urocitellus_parryii ENSUPAG00010018848
ictidomys_tridecemlineatus ENSSTOG00000010234
spermophilus_dauricus ENSSDAG00000010667
marmota_marmota_marmota ENSMMMG00000010772
oryctolagus_cuniculus ENSOCUG00000004817
ochotona_princeps ENSOPRG00000015722
myotis_lucifugus ENSMLUG00000012548
pteropus_vampyrus ENSPVAG00000017310
ovis_aries ENSOARG00000020403
capra_hircus ENSCHIG00000015769
bos_mutus ENSBMUG00000012514
bos_taurus ENSBTAG00000008461
bison_bison_bison ENSBBBG00000000063
tursiops_truncatus ENSTTRG00000000559
sus_scrofa ENSSSCG00000011827
vicugna_pacos ENSVPAG00000012400
mustela_putorius_furo ENSMPUG00000003734
neovison_vison ENSNVIG00000008990
ursus_americanus ENSUAMG00000012454
ursus_maritimus ENSUMAG00000000855
ailuropoda_melanoleuca ENSAMEG00000009343
canis_lupus_dingo ENSCAFG00020002216
canis_lupus_familiaris ENSCAFG00000013445
vulpes_vulpes ENSVVUG00000008956
panthera_tigris_altaica ENSPTIG00000010789
panthera_pardus ENSPPRG00000010281
felis_catus ENSFCAG00000024957
equus_caballus ENSECAG00000017659
equus_asinus_asinus ENSEASG00005000678
erinaceus_europaeus ENSEEUG00000015217
sorex_araneus ENSSARG00000012981
choloepus_hoffmanni ENSCHOG00000000057
dasypus_novemcinctus ENSDNOG00000006224
loxodonta_africana ENSLAFG00000012919
procavia_capensis ENSPCAG00000005511
echinops_telfairi ENSETEG00000003888
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017390
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018587
fukomys_damarensis ENSFDAG00000017373
cavia_porcellus ENSCPOG00000002586
cavia_aperea ENSCAPG00000009856
octodon_degus ENSODEG00000001575
chinchilla_lanigera ENSCLAG00000013365
phascolarctos_cinereus ENSPCIG00000013890
notamacropus_eugenii ENSMEUG00000009041
monodelphis_domestica ENSMODG00000019828
sarcophilus_harrisii ENSSHAG00000003487
ornithorhynchus_anatinus ENSOANG00000012742
xenopus_tropicalis ENSXETG00000003451
latimeria_chalumnae ENSLACG00000013399
drosophila_melanogaster FBgn0266284
saccharomyces_cerevisiae_strain_s288c YGL099W
