meleagris_gallopavo ENSMGAG00000002843
gallus_gallus ENSGALG00000012699
coturnix_japonica ENSCJPG00005017293
numida_meleagris ENSNMEG00000001935
anser_brachyrhynchus ENSABRG00000011213
anas_platyrhynchos_platyrhynchos ENSAPLG00000030801
manacus_vitellinus ENSMVIG00005013858
lepidothrix_coronata ENSLCOG00000004271
cyanistes_caeruleus ENSCCEG00000001279
ficedula_albicollis ENSFALG00000013449
junco_hyemalis ENSJHYG00000015178
zonotrichia_albicollis ENSZALG00000001431
serinus_canaria ENSSCAG00000001081
lonchura_striata_domestica ENSLSDG00000010684
taeniopygia_guttata ENSTGUG00000006092
parus_major ENSPMJG00000018205
calidris_pygmaea ENSCPGG00000013842
calidris_pugnax ENSCPUG00000002375
melopsittacus_undulatus ENSMUNG00000009234
apteryx_rowi ENSARWG00000014520
apteryx_owenii ENSAOWG00000001594
apteryx_haastii ENSAHAG00000000406
dromaius_novaehollandiae ENSDNVG00000015684
nothoprocta_perdicaria ENSNPEG00000015554
crocodylus_porosus ENSCPRG00005002821
chelonoidis_abingdonii ENSCABG00000006527
gopherus_agassizii ENSGAGG00000000196
chrysemys_picta_bellii ENSCPBG00000016640
pelodiscus_sinensis ENSPSIG00000009289
pogona_vitticeps ENSPVIG00000005284
anolis_carolinensis ENSACAG00000003648
notechis_scutatus ENSNSUG00000017038
salvator_merianae ENSSMRG00000005735
sphenodon_punctatus ENSSPUG00000009987
microcebus_murinus ENSMICG00000030048
propithecus_coquereli ENSPCOG00000016611
ursus_americanus ENSUAMG00000010565
ursus_maritimus ENSUMAG00000012293
choloepus_hoffmanni ENSCHOG00000001457
pan_paniscus ENSPPAG00000016311
pan_troglodytes ENSPTRG00000017740
homo_sapiens ENSG00000050393
gorilla_gorilla ENSGGOG00000002632
pongo_abelii ENSPPYG00000016246
nomascus_leucogenys ENSNLEG00000033914
rhinopithecus_bieti ENSRBIG00000020654
rhinopithecus_roxellana ENSRROG00000035152
piliocolobus_tephrosceles ENSPTEG00000007245
colobus_angolensis_palliatus ENSCANG00000031800
macaca_mulatta ENSMMUG00000009922
macaca_fascicularis ENSMFAG00000037605
macaca_nemestrina ENSMNEG00000038729
chlorocebus_sabaeus ENSCSAG00000007553
cercocebus_atys ENSCATG00000044226
theropithecus_gelada ENSTGEG00000017672
papio_anubis ENSPANG00000006418
mandrillus_leucophaeus ENSMLEG00000033685
theropithecus_gelada ENSTGEG00000015247
saimiri_boliviensis_boliviensis ENSSBOG00000032159
saimiri_boliviensis_boliviensis ENSSBOG00000029951
cebus_capucinus_imitator ENSCCAG00000028708
callithrix_jacchus ENSCJAG00000016050
aotus_nancymaae ENSANAG00000019439
carlito_syrichta ENSTSYG00000012562
propithecus_coquereli ENSPCOG00000005497
propithecus_coquereli ENSPCOG00000017318
prolemur_simus ENSPSMG00000021596
microcebus_murinus ENSMICG00000000183
microcebus_murinus ENSMICG00000041965
tupaia_belangeri ENSTBEG00000007244
otolemur_garnettii ENSOGAG00000013458
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000012539
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003408
fukomys_damarensis ENSFDAG00000011746
cavia_aperea ENSCAPG00000000038
cavia_porcellus ENSCPOG00000014899
chinchilla_lanigera ENSCLAG00000003123
octodon_degus ENSODEG00000006182
urocitellus_parryii ENSUPAG00010016642
ictidomys_tridecemlineatus ENSSTOG00000030489
spermophilus_dauricus ENSSDAG00000023655
castor_canadensis ENSCCNG00000009087
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000021371
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018471
mus_spicilegus ENSMSIG00000004276
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019350
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019539
rattus_norvegicus ENSRNOG00000017988
meriones_unguiculatus ENSMUGG00000020166
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014698
cricetulus_griseus_crigri-picr ENSCGRG00015002211
