lonchura_striata_domestica ENSLSDG00000004234
serinus_canaria ENSSCAG00000008446
parus_major ENSPMJG00000006561
lepidothrix_coronata ENSLCOG00000002785
junco_hyemalis ENSJHYG00000006573
melopsittacus_undulatus ENSMUNG00000007596
calidris_pygmaea ENSCPGG00000003133
gallus_gallus ENSGALG00000045199
coturnix_japonica ENSCJPG00005013711
numida_meleagris ENSNMEG00000005275
apteryx_owenii ENSAOWG00000008947
apteryx_haastii ENSAHAG00000018737
apteryx_rowi ENSARWG00000013201
chelonoidis_abingdonii ENSCABG00000013899
chrysemys_picta_bellii ENSCPBG00000011399
