chrysemys_picta_bellii ENSCPBG00000005745
chelonoidis_abingdonii ENSCABG00000008487
xenopus_tropicalis ENSXETG00000026298
latimeria_chalumnae ENSLACG00000009949
scleropages_formosus ENSSFOG00015003623
paramormyrops_kingsleyae ENSPKIG00000016922
pygocentrus_nattereri ENSPNAG00000018353
ictalurus_punctatus ENSIPUG00000001633
monopterus_albus ENSMALG00000021998
astyanax_mexicanus ENSAMXG00000003272
danio_rerio ENSDARG00000015310
esox_lucius ENSELUG00000008928
paramormyrops_kingsleyae ENSPKIG00000002280
anolis_carolinensis ENSACAG00000006142
pogona_vitticeps ENSPVIG00000018226
notechis_scutatus ENSNSUG00000006656
salvator_merianae ENSSMRG00000004341
salvator_merianae ENSSMRG00000020892
phascolarctos_cinereus ENSPCIG00000025202
sarcophilus_harrisii ENSSHAG00000011560
monodelphis_domestica ENSMODG00000015635
ornithorhynchus_anatinus ENSOANG00000014812
canis_lupus_dingo ENSCAFG00020010039
ursus_americanus ENSUAMG00000013254
myotis_lucifugus ENSMLUG00000001827
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005778
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001378
cavia_aperea ENSCAPG00000015492
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011139
cricetulus_griseus_crigri_1.0 ENSCGRG00000011358
dasypus_novemcinctus ENSDNOG00000045853
choloepus_hoffmanni ENSCHOG00000007132
sorex_araneus ENSSARG00000011671
chlorocebus_sabaeus ENSCSAG00000014032
ornithorhynchus_anatinus ENSOANG00000002537
xiphophorus_couchianus ENSXCOG00000004548
xiphophorus_maculatus ENSXMAG00000002342
gambusia_affinis ENSGAFG00000012448
poecilia_latipinna ENSPLAG00000023958
poecilia_formosa ENSPFOG00000023987
poecilia_mexicana ENSPMEG00000003665
eptatretus_burgeri ENSEBUG00000009337
drosophila_melanogaster FBgn0267975
