cavia_porcellus ENSCPOG00000002850
cavia_aperea ENSCAPG00000006108
octodon_degus ENSODEG00000016912
chinchilla_lanigera ENSCLAG00000004135
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010891
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015083
fukomys_damarensis ENSFDAG00000016981
dipodomys_ordii ENSDORG00000013597
peromyscus_maniculatus_bairdii ENSPEMG00000004925
microtus_ochrogaster ENSMOCG00000005158
cricetulus_griseus_crigri-picr ENSCGRG00015018258
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016532
cricetulus_griseus_crigri_1.0 ENSCGRG00000001660
mesocricetus_auratus ENSMAUG00000008671
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030798
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000007833
mus_spicilegus ENSMSIG00000020116
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029700
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0012925
rattus_norvegicus ENSRNOG00000020623
meriones_unguiculatus ENSMUGG00000005564
meriones_unguiculatus ENSMUGG00000010858
nannospalax_galili ENSNGAG00000022707
jaculus_jaculus ENSJJAG00000015970
castor_canadensis ENSCCNG00000029544
spermophilus_dauricus ENSSDAG00000003300
marmota_marmota_marmota ENSMMMG00000009292
ictidomys_tridecemlineatus ENSSTOG00000014893
urocitellus_parryii ENSUPAG00010013606
ochotona_princeps ENSOPRG00000001154
oryctolagus_cuniculus ENSOCUG00000026756
tupaia_belangeri ENSTBEG00000010049
pan_troglodytes ENSPTRG00000011296
pan_paniscus ENSPPAG00000037820
homo_sapiens ENSG00000161618
gorilla_gorilla ENSGGOG00000010135
pongo_abelii ENSPPYG00000010249
nomascus_leucogenys ENSNLEG00000005172
cercocebus_atys ENSCATG00000013461
papio_anubis ENSPANG00000017969
mandrillus_leucophaeus ENSMLEG00000031645
theropithecus_gelada ENSTGEG00000018524
macaca_mulatta ENSMMUG00000022117
macaca_fascicularis ENSMFAG00000038585
macaca_nemestrina ENSMNEG00000039451
chlorocebus_sabaeus ENSCSAG00000002553
colobus_angolensis_palliatus ENSCANG00000043609
piliocolobus_tephrosceles ENSPTEG00000039632
rhinopithecus_roxellana ENSRROG00000044736
rhinopithecus_bieti ENSRBIG00000040057
cebus_capucinus_imitator ENSCCAG00000012874
saimiri_boliviensis_boliviensis ENSSBOG00000024687
callithrix_jacchus ENSCJAG00000048163
aotus_nancymaae ENSANAG00000027131
carlito_syrichta ENSTSYG00000036178
microcebus_murinus ENSMICG00000027350
prolemur_simus ENSPSMG00000022163
propithecus_coquereli ENSPCOG00000024480
otolemur_garnettii ENSOGAG00000004615
equus_caballus ENSECAG00000023437
equus_asinus_asinus ENSEASG00005004997
erinaceus_europaeus ENSEEUG00000005061
tursiops_truncatus ENSTTRG00000005455
sus_scrofa ENSSSCG00000003168
capra_hircus ENSCHIG00000022106
ovis_aries ENSOARG00000013087
bos_mutus ENSBMUG00000003395
bison_bison_bison ENSBBBG00000008431
bos_taurus ENSBTAG00000000330
myotis_lucifugus ENSMLUG00000004927
pteropus_vampyrus ENSPVAG00000010955
ursus_americanus ENSUAMG00000007491
ursus_maritimus ENSUMAG00000001975
ailuropoda_melanoleuca ENSAMEG00000014055
mustela_putorius_furo ENSMPUG00000002650
neovison_vison ENSNVIG00000013514
canis_lupus_familiaris ENSCAFG00000003649
canis_lupus_dingo ENSCAFG00020024960
vulpes_vulpes ENSVVUG00000022622
panthera_pardus ENSPPRG00000009904
panthera_tigris_altaica ENSPTIG00000020037
felis_catus ENSFCAG00000009193
procavia_capensis ENSPCAG00000003932
echinops_telfairi ENSETEG00000017073
dasypus_novemcinctus ENSDNOG00000034701
sorex_araneus ENSSARG00000003119
phascolarctos_cinereus ENSPCIG00000007338
notamacropus_eugenii ENSMEUG00000011390
monodelphis_domestica ENSMODG00000013676
ornithorhynchus_anatinus ENSOANG00000006835
parus_major ENSPMJG00000013414
gallus_gallus ENSGALG00000054374
tetraodon_nigroviridis ENSTNIG00000011145
takifugu_rubripes ENSTRUG00000014327
mola_mola ENSMMOG00000009849
labrus_bergylta ENSLBEG00000008043
gasterosteus_aculeatus ENSGACG00000005952
fundulus_heteroclitus ENSFHEG00000020489
cyprinodon_variegatus ENSCVAG00000014342
poecilia_formosa ENSPFOG00000002924
poecilia_latipinna ENSPLAG00000007210
poecilia_mexicana ENSPMEG00000016047
poecilia_reticulata ENSPREG00000012471
xiphophorus_maculatus ENSXMAG00000008597
xiphophorus_couchianus ENSXCOG00000015353
gambusia_affinis ENSGAFG00000004867
kryptolebias_marmoratus ENSKMAG00000019236
oryzias_latipes_asm223471v1 ENSORLG00020000611
oryzias_latipes_asm223467v1 ENSORLG00000016761
oryzias_latipes_asm223469v1 ENSORLG00015013187
oryzias_melastigma ENSOMEG00000017260
amphiprion_percula ENSAPEG00000019025
amphiprion_ocellaris ENSAOCG00000001425
acanthochromis_polyacanthus ENSAPOG00000021252
stegastes_partitus ENSSPAG00000014653
astatotilapia_calliptera ENSACLG00000010078
maylandia_zebra ENSMZEG00005024272
haplochromis_burtoni ENSHBUG00000012280
