fundulus_heteroclitus ENSFHEG00000002698
cyprinodon_variegatus ENSCVAG00000021691
xiphophorus_maculatus ENSXMAG00000021227
xiphophorus_couchianus ENSXCOG00000008008
gambusia_affinis ENSGAFG00000011748
poecilia_formosa ENSPFOG00000005416
poecilia_mexicana ENSPMEG00000020321
poecilia_latipinna ENSPLAG00000011644
kryptolebias_marmoratus ENSKMAG00000006768
oryzias_latipes_asm223471v1 ENSORLG00020001371
oryzias_latipes_asm223469v1 ENSORLG00015020332
oryzias_latipes_asm223467v1 ENSORLG00000014132
oryzias_melastigma ENSOMEG00000007094
mastacembelus_armatus ENSMAMG00000016446
monopterus_albus ENSMALG00000020743
anabas_testudineus ENSATEG00000006468
amphiprion_percula ENSAPEG00000019606
amphiprion_ocellaris ENSAOCG00000005529
acanthochromis_polyacanthus ENSAPOG00000010532
stegastes_partitus ENSSPAG00000022229
haplochromis_burtoni ENSHBUG00000002186
pundamilia_nyererei ENSPNYG00000004827
maylandia_zebra ENSMZEG00005017918
astatotilapia_calliptera ENSACLG00000021026
oreochromis_niloticus ENSONIG00000007772
neolamprologus_brichardi ENSNBRG00000003233
amphilophus_citrinellus ENSACIG00000019726
seriola_dumerili ENSSDUG00000015679
seriola_lalandi_dorsalis ENSSLDG00000018900
cynoglossus_semilaevis ENSCSEG00000000508
takifugu_rubripes ENSTRUG00000009545
tetraodon_nigroviridis ENSTNIG00000004729
gasterosteus_aculeatus ENSGACG00000013532
scophthalmus_maximus ENSSMAG00000014812
periophthalmus_magnuspinnatus ENSPMGG00000010034
hippocampus_comes ENSHCOG00000020708
gadus_morhua ENSGMOG00000013296
esox_lucius ENSELUG00000003619
paramormyrops_kingsleyae ENSPKIG00000001921
pygocentrus_nattereri ENSPNAG00000022451
astyanax_mexicanus ENSAMXG00000035830
ictalurus_punctatus ENSIPUG00000024818
danio_rerio ENSDARG00000019998
scleropages_formosus ENSSFOG00015017753
lepisosteus_oculatus ENSLOCG00000000160
gallus_gallus ENSGALG00000020879
coturnix_japonica ENSCJPG00005021513
meleagris_gallopavo ENSMGAG00000006804
numida_meleagris ENSNMEG00000017522
anser_brachyrhynchus ENSABRG00000014112
anas_platyrhynchos_platyrhynchos ENSAPLG00000015786
junco_hyemalis ENSJHYG00000016739
zonotrichia_albicollis ENSZALG00000007296
serinus_canaria ENSSCAG00000012194
taeniopygia_guttata ENSTGUG00000005045
lonchura_striata_domestica ENSLSDG00000017643
parus_major ENSPMJG00000019318
ficedula_albicollis ENSFALG00000002456
manacus_vitellinus ENSMVIG00005016417
dromaius_novaehollandiae ENSDNVG00000006626
apteryx_rowi ENSARWG00000018910
apteryx_owenii ENSAOWG00000017798
crocodylus_porosus ENSCPRG00005014450
anolis_carolinensis ENSACAG00000003124
pogona_vitticeps ENSPVIG00000023513
notechis_scutatus ENSNSUG00000006659
salvator_merianae ENSSMRG00000014598
chelonoidis_abingdonii ENSCABG00000009619
gopherus_agassizii ENSGAGG00000023476
chrysemys_picta_bellii ENSCPBG00000026639
pelodiscus_sinensis ENSPSIG00000010221
sphenodon_punctatus ENSSPUG00000012122
notamacropus_eugenii ENSMEUG00000010027
phascolarctos_cinereus ENSPCIG00000011839
monodelphis_domestica ENSMODG00000003441
sarcophilus_harrisii ENSSHAG00000010218
propithecus_coquereli ENSPCOG00000024348
prolemur_simus ENSPSMG00000006633
microcebus_murinus ENSMICG00000005242
otolemur_garnettii ENSOGAG00000014971
gorilla_gorilla ENSGGOG00000038899
homo_sapiens ENSG00000162695
pan_troglodytes ENSPTRG00000001011
pongo_abelii ENSPPYG00000001109
nomascus_leucogenys ENSNLEG00000027129
colobus_angolensis_palliatus ENSCANG00000038438
rhinopithecus_roxellana ENSRROG00000007377
piliocolobus_tephrosceles ENSPTEG00000024260
macaca_nemestrina ENSMNEG00000029842
macaca_mulatta ENSMMUG00000003728
macaca_fascicularis ENSMFAG00000043538
papio_anubis ENSPANG00000004420
theropithecus_gelada ENSTGEG00000026276
cercocebus_atys ENSCATG00000036739
mandrillus_leucophaeus ENSMLEG00000041288
chlorocebus_sabaeus ENSCSAG00000001513
pan_paniscus ENSPPAG00000008786
rhinopithecus_bieti ENSRBIG00000030719
callithrix_jacchus ENSCJAG00000003508
saimiri_boliviensis_boliviensis ENSSBOG00000034422
cebus_capucinus_imitator ENSCCAG00000022048
aotus_nancymaae ENSANAG00000028715
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001503
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004218
fukomys_damarensis ENSFDAG00000014385
chinchilla_lanigera ENSCLAG00000004866
octodon_degus ENSODEG00000005933
cavia_porcellus ENSCPOG00000007627
dipodomys_ordii ENSDORG00000013733
ictidomys_tridecemlineatus ENSSTOG00000005363
urocitellus_parryii ENSUPAG00010005596
marmota_marmota_marmota ENSMMMG00000008265
spermophilus_dauricus ENSSDAG00000004880
oryctolagus_cuniculus ENSOCUG00000010517
ochotona_princeps ENSOPRG00000004335
tupaia_belangeri ENSTBEG00000014211
ursus_maritimus ENSUMAG00000007844
ursus_americanus ENSUAMG00000011387
ailuropoda_melanoleuca ENSAMEG00000009645
neovison_vison ENSNVIG00000023759
mustela_putorius_furo ENSMPUG00000012069
canis_lupus_familiaris ENSCAFG00000019998
canis_lupus_dingo ENSCAFG00020011422
vulpes_vulpes ENSVVUG00000022079
panthera_pardus ENSPPRG00000012139
panthera_tigris_altaica ENSPTIG00000017079
felis_catus ENSFCAG00000011033
erinaceus_europaeus ENSEEUG00000004560
bos_taurus ENSBTAG00000019027
bos_mutus ENSBMUG00000013502
bison_bison_bison ENSBBBG00000009297
ovis_aries ENSOARG00000018397
capra_hircus ENSCHIG00000008776
tursiops_truncatus ENSTTRG00000015735
sus_scrofa ENSSSCG00000006860
vicugna_pacos ENSVPAG00000001047
sorex_araneus ENSSARG00000010810
equus_asinus_asinus ENSEASG00005015939
equus_caballus ENSECAG00000014071
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000054414
mus_spicilegus ENSMSIG00000005095
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026510
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025560
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027006
rattus_norvegicus ENSRNOG00000013912
meriones_unguiculatus ENSMUGG00000015353
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023886
cricetulus_griseus_crigri_1.0 ENSCGRG00000000366
cricetulus_griseus_crigri-picr ENSCGRG00015027171
mesocricetus_auratus ENSMAUG00000004112
peromyscus_maniculatus_bairdii ENSPEMG00000029404
microtus_ochrogaster ENSMOCG00000016516
nannospalax_galili ENSNGAG00000022620
castor_canadensis ENSCCNG00000015184
jaculus_jaculus ENSJJAG00000002926
myotis_lucifugus ENSMLUG00000012628
carlito_syrichta ENSTSYG00000005185
loxodonta_africana ENSLAFG00000002470
echinops_telfairi ENSETEG00000004690
choloepus_hoffmanni ENSCHOG00000002645
dasypus_novemcinctus ENSDNOG00000006952
ornithorhynchus_anatinus ENSOANG00000001835
xenopus_tropicalis ENSXETG00000025164
latimeria_chalumnae ENSLACG00000007578
petromyzon_marinus ENSPMAG00000000802
ciona_intestinalis ENSCING00000024330
drosophila_melanogaster FBgn0037875
saccharomyces_cerevisiae_strain_s288c YDR205W
