nomascus_leucogenys ENSNLEG00000005637
gorilla_gorilla ENSGGOG00000011891
mandrillus_leucophaeus ENSMLEG00000031844
cercocebus_atys ENSCATG00000010783
macaca_mulatta ENSMMUG00000047171
macaca_fascicularis ENSMFAG00000044206
macaca_nemestrina ENSMNEG00000043272
papio_anubis ENSPANG00000030142
rhinopithecus_bieti ENSRBIG00000044583
rhinopithecus_roxellana ENSRROG00000034343
colobus_angolensis_palliatus ENSCANG00000042719
saimiri_boliviensis_boliviensis ENSSBOG00000027119
cebus_capucinus_imitator ENSCCAG00000028983
aotus_nancymaae ENSANAG00000036734
tupaia_belangeri ENSTBEG00000006027
choloepus_hoffmanni ENSCHOG00000013500
