sarcophilus_harrisii ENSSHAG00000013212
monodelphis_domestica ENSMODG00000014280
notamacropus_eugenii ENSMEUG00000008481
callithrix_jacchus ENSCJAG00000016490
saimiri_boliviensis_boliviensis ENSSBOG00000034081
pan_paniscus ENSPPAG00000016079
pan_troglodytes ENSPTRG00000022817
homo_sapiens ENSG00000155833
gorilla_gorilla ENSGGOG00000024832
pongo_abelii ENSPPYG00000019459
nomascus_leucogenys ENSNLEG00000017154
colobus_angolensis_palliatus ENSCANG00000034856
piliocolobus_tephrosceles ENSPTEG00000034718
rhinopithecus_bieti ENSRBIG00000031409
rhinopithecus_roxellana ENSRROG00000041265
macaca_fascicularis ENSMFAG00000031246
macaca_mulatta ENSMMUG00000015205
macaca_nemestrina ENSMNEG00000028358
papio_anubis ENSPANG00000025714
cercocebus_atys ENSCATG00000035577
chlorocebus_sabaeus ENSCSAG00000011259
carlito_syrichta ENSTSYG00000029199
microcebus_murinus ENSMICG00000046389
peromyscus_maniculatus_bairdii ENSPEMG00000020258
microtus_ochrogaster ENSMOCG00000014727
cricetulus_griseus_crigri_1.0 ENSCGRG00000004801
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018551
nannospalax_galili ENSNGAG00000015550
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000039555
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026018
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026981
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028354
mus_spicilegus ENSMSIG00000006307
rattus_norvegicus ENSRNOG00000022406
urocitellus_parryii ENSUPAG00010015011
spermophilus_dauricus ENSSDAG00000007165
oryctolagus_cuniculus ENSOCUG00000009135
otolemur_garnettii ENSOGAG00000026927
propithecus_coquereli ENSPCOG00000022999
tupaia_belangeri ENSTBEG00000017365
castor_canadensis ENSCCNG00000011943
felis_catus ENSFCAG00000022376
canis_lupus_familiaris ENSCAFG00000002624
erinaceus_europaeus ENSEEUG00000008372
echinops_telfairi ENSETEG00000013955
procavia_capensis ENSPCAG00000014652
equus_caballus ENSECAG00000032033
ursus_maritimus ENSUMAG00000013048
ailuropoda_melanoleuca ENSAMEG00000006575
vulpes_vulpes ENSVVUG00000019225
canis_lupus_dingo ENSCAFG00020019938
neovison_vison ENSNVIG00000014348
panthera_pardus ENSPPRG00000005028
panthera_tigris_altaica ENSPTIG00000002514
tursiops_truncatus ENSTTRG00000007201
sus_scrofa ENSSSCG00000005401
capra_hircus ENSCHIG00000017820
ovis_aries ENSOARG00000007417
bos_taurus ENSBTAG00000015608
bison_bison_bison ENSBBBG00000023732
bos_mutus ENSBMUG00000000636
myotis_lucifugus ENSMLUG00000028445
equus_caballus ENSECAG00000027775
equus_asinus_asinus ENSEASG00005022911
loxodonta_africana ENSLAFG00000017833
dasypus_novemcinctus ENSDNOG00000033053
choloepus_hoffmanni ENSCHOG00000007232
cricetulus_griseus_crigri-picr ENSCGRG00015018550
cricetulus_griseus_crigri_1.0 ENSCGRG00000002426
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014177
microtus_ochrogaster ENSMOCG00000002144
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034513
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000073001
mus_spicilegus ENSMSIG00000008624
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033349
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031889
rattus_norvegicus ENSRNOG00000056740
castor_canadensis ENSCCNG00000004478
marmota_marmota_marmota ENSMMMG00000011257
urocitellus_parryii ENSUPAG00010010852
chinchilla_lanigera ENSCLAG00000007791
fukomys_damarensis ENSFDAG00000014646
oryctolagus_cuniculus ENSOCUG00000005157
pan_paniscus ENSPPAG00000019947
pan_troglodytes ENSPTRG00000022063
homo_sapiens ENSG00000183035
gorilla_gorilla ENSGGOG00000001587
pongo_abelii ENSPPYG00000020512
nomascus_leucogenys ENSNLEG00000002527
rhinopithecus_roxellana ENSRROG00000038318
colobus_angolensis_palliatus ENSCANG00000037415
macaca_fascicularis ENSMFAG00000044830
macaca_mulatta ENSMMUG00000022081
macaca_nemestrina ENSMNEG00000035819
mandrillus_leucophaeus ENSMLEG00000010088
cercocebus_atys ENSCATG00000036867
theropithecus_gelada ENSTGEG00000026289
papio_anubis ENSPANG00000013859
chlorocebus_sabaeus ENSCSAG00000010571
carlito_syrichta ENSTSYG00000031429
microcebus_murinus ENSMICG00000010585
propithecus_coquereli ENSPCOG00000006693
prolemur_simus ENSPSMG00000009786
otolemur_garnettii ENSOGAG00000027253
tupaia_belangeri ENSTBEG00000006095
pteropus_vampyrus ENSPVAG00000003081
myotis_lucifugus ENSMLUG00000011590
bos_mutus ENSBMUG00000014785
bos_taurus ENSBTAG00000047417
ovis_aries ENSOARG00000001559
capra_hircus ENSCHIG00000015857
tursiops_truncatus ENSTTRG00000006463
sus_scrofa ENSSSCG00000012455
vicugna_pacos ENSVPAG00000010896
ursus_americanus ENSUAMG00000019472
ursus_maritimus ENSUMAG00000023861
ailuropoda_melanoleuca ENSAMEG00000002561
neovison_vison ENSNVIG00000024543
mustela_putorius_furo ENSMPUG00000006281
canis_lupus_familiaris ENSCAFG00000017370
canis_lupus_dingo ENSCAFG00020009204
vulpes_vulpes ENSVVUG00000011222
panthera_pardus ENSPPRG00000019163
panthera_tigris_altaica ENSPTIG00000012780
felis_catus ENSFCAG00000012662
equus_caballus ENSECAG00000019066
equus_asinus_asinus ENSEASG00005017371
erinaceus_europaeus ENSEEUG00000009416
procavia_capensis ENSPCAG00000012918
echinops_telfairi ENSETEG00000018915
dasypus_novemcinctus ENSDNOG00000000339
