mus_musculus_strain_reference_cl57bl6 ENSMUSG00000045996
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019735
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020631
mus_spicilegus ENSMSIG00000023373
mus_spicilegus ENSMSIG00000012287
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019744
cricetulus_griseus_crigri_1.0 ENSCGRG00000011617
cricetulus_griseus_crigri-picr ENSCGRG00015027522
spermophilus_dauricus ENSSDAG00000010848
oryctolagus_cuniculus ENSOCUG00000029376
oryctolagus_cuniculus ENSOCUG00000016854
ictidomys_tridecemlineatus ENSSTOG00000032566
prolemur_simus ENSPSMG00000011871
spermophilus_dauricus ENSSDAG00000004201
urocitellus_parryii ENSUPAG00010021171
marmota_marmota_marmota ENSMMMG00000011335
mus_spicilegus ENSMSIG00000014977
equus_caballus ENSECAG00000029464
bos_taurus ENSBTAG00000052277
monodelphis_domestica ENSMODG00000006312
chelonoidis_abingdonii ENSCABG00000017587
astyanax_mexicanus ENSAMXG00000038868
mus_spicilegus ENSMSIG00000022219
myotis_lucifugus ENSMLUG00000030053
sus_scrofa ENSSSCG00000036795
octodon_degus ENSODEG00000019324
procavia_capensis ENSPCAG00000000746
tupaia_belangeri ENSTBEG00000003799
castor_canadensis ENSCCNG00000008375
aotus_nancymaae ENSANAG00000030159
peromyscus_maniculatus_bairdii ENSPEMG00000024389
ochotona_princeps ENSOPRG00000005504
rhinopithecus_bieti ENSRBIG00000032617
rhinopithecus_roxellana ENSRROG00000036861
piliocolobus_tephrosceles ENSPTEG00000007192
mandrillus_leucophaeus ENSMLEG00000012572
gorilla_gorilla ENSGGOG00000015089
nomascus_leucogenys ENSNLEG00000018544
sus_scrofa ENSSSCG00000037160
ochotona_princeps ENSOPRG00000015675
loxodonta_africana ENSLAFG00000005254
dasypus_novemcinctus ENSDNOG00000038181
peromyscus_maniculatus_bairdii ENSPEMG00000008788
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000021192
carlito_syrichta ENSTSYG00000032761
erinaceus_europaeus ENSEEUG00000015727
saimiri_boliviensis_boliviensis ENSSBOG00000028601
dasypus_novemcinctus ENSDNOG00000030774
ursus_americanus ENSUAMG00000008073
ursus_maritimus ENSUMAG00000021763
equus_asinus_asinus ENSEASG00005016441
choloepus_hoffmanni ENSCHOG00000000784
spermophilus_dauricus ENSSDAG00000016836
marmota_marmota_marmota ENSMMMG00000008450
mus_spicilegus ENSMSIG00000022490
nomascus_leucogenys ENSNLEG00000031897
sorex_araneus ENSSARG00000001557
choloepus_hoffmanni ENSCHOG00000008820
fukomys_damarensis ENSFDAG00000018794
macaca_fascicularis ENSMFAG00000030863
cebus_capucinus_imitator ENSCCAG00000002072
carlito_syrichta ENSTSYG00000035576
fukomys_damarensis ENSFDAG00000000348
rattus_norvegicus ENSRNOG00000010408
rhinopithecus_bieti ENSRBIG00000035082
gorilla_gorilla ENSGGOG00000024539
cebus_capucinus_imitator ENSCCAG00000019633
microtus_ochrogaster ENSMOCG00000009880
mesocricetus_auratus ENSMAUG00000010288
peromyscus_maniculatus_bairdii ENSPEMG00000012015
ictidomys_tridecemlineatus ENSSTOG00000006123
dipodomys_ordii ENSDORG00000028386
ochotona_princeps ENSOPRG00000009562
callithrix_jacchus ENSCJAG00000022168
saimiri_boliviensis_boliviensis ENSSBOG00000010968
cebus_capucinus_imitator ENSCCAG00000004867
pongo_abelii ENSPPYG00000018786
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005467
peromyscus_maniculatus_bairdii ENSPEMG00000029844
neovison_vison ENSNVIG00000000467
ursus_maritimus ENSUMAG00000017508
canis_lupus_dingo ENSCAFG00020011172
vicugna_pacos ENSVPAG00000009630
sus_scrofa ENSSSCG00000021180
bos_taurus ENSBTAG00000022539
bison_bison_bison ENSBBBG00000013298
ovis_aries ENSOARG00000001480
capra_hircus ENSCHIG00000007790
urocitellus_parryii ENSUPAG00010013522
urocitellus_parryii ENSUPAG00010023502
marmota_marmota_marmota ENSMMMG00000013982
spermophilus_dauricus ENSSDAG00000004887
ochotona_princeps ENSOPRG00000010172
macaca_fascicularis ENSMFAG00000039166
macaca_nemestrina ENSMNEG00000033552
macaca_mulatta ENSMMUG00000040264
canis_lupus_dingo ENSCAFG00020023694
canis_lupus_familiaris ENSCAFG00000032117
pan_paniscus ENSPPAG00000040441
colobus_angolensis_palliatus ENSCANG00000041713
choloepus_hoffmanni ENSCHOG00000003599
spermophilus_dauricus ENSSDAG00000018609
nannospalax_galili ENSNGAG00000020950
papio_anubis ENSPANG00000011129
chlorocebus_sabaeus ENSCSAG00000012163
pan_troglodytes ENSPTRG00000020470
callithrix_jacchus ENSCJAG00000041308
equus_asinus_asinus ENSEASG00005002840
equus_caballus ENSECAG00000021345
bos_mutus ENSBMUG00000025513
meriones_unguiculatus ENSMUGG00000008278
peromyscus_maniculatus_bairdii ENSPEMG00000001038
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004285
macaca_mulatta ENSMMUG00000020714
macaca_nemestrina ENSMNEG00000023503
piliocolobus_tephrosceles ENSPTEG00000003026
aotus_nancymaae ENSANAG00000031482
prolemur_simus ENSPSMG00000012451
jaculus_jaculus ENSJJAG00000000698
jaculus_jaculus ENSJJAG00000016100
jaculus_jaculus ENSJJAG00000012986
jaculus_jaculus ENSJJAG00000014209
jaculus_jaculus ENSJJAG00000000271
myotis_lucifugus ENSMLUG00000029803
tursiops_truncatus ENSTTRG00000007489
capra_hircus ENSCHIG00000012813
cercocebus_atys ENSCATG00000007143
rhinopithecus_roxellana ENSRROG00000043844
pteropus_vampyrus ENSPVAG00000009991
canis_lupus_dingo ENSCAFG00020000296
theropithecus_gelada ENSTGEG00000002871
mandrillus_leucophaeus ENSMLEG00000038200
piliocolobus_tephrosceles ENSPTEG00000001546
homo_sapiens ENSG00000147669
saimiri_boliviensis_boliviensis ENSSBOG00000019574
microcebus_murinus ENSMICG00000044624
tupaia_belangeri ENSTBEG00000010260
marmota_marmota_marmota ENSMMMG00000016111
urocitellus_parryii ENSUPAG00010012856
castor_canadensis ENSCCNG00000004814
ailuropoda_melanoleuca ENSAMEG00000000452
dasypus_novemcinctus ENSDNOG00000049353
propithecus_coquereli ENSPCOG00000026981
propithecus_coquereli ENSPCOG00000007173
dasypus_novemcinctus ENSDNOG00000047079
notamacropus_eugenii ENSMEUG00000000401
sarcophilus_harrisii ENSSHAG00000006381
anolis_carolinensis ENSACAG00000020961
notechis_scutatus ENSNSUG00000012481
salvator_merianae ENSSMRG00000021166
salvator_merianae ENSSMRG00000014716
xenopus_tropicalis ENSXETG00000025929
poecilia_mexicana ENSPMEG00000022211
gambusia_affinis ENSGAFG00000010349
cyprinodon_variegatus ENSCVAG00000005198
cyprinodon_variegatus ENSCVAG00000022985
oryzias_latipes_asm223469v1 ENSORLG00015010501
amphiprion_percula ENSAPEG00000010759
anabas_testudineus ENSATEG00000013218
cynoglossus_semilaevis ENSCSEG00000017377
labrus_bergylta ENSLBEG00000027114
scleropages_formosus ENSSFOG00015002881
latimeria_chalumnae ENSLACG00000015753
mola_mola ENSMMOG00000017945
danio_rerio ENSDARG00000075616
lepisosteus_oculatus ENSLOCG00000009730
kryptolebias_marmoratus ENSKMAG00000016379
kryptolebias_marmoratus ENSKMAG00000007731
