poecilia_formosa ENSPFOG00000024176
poecilia_mexicana ENSPMEG00000015420
poecilia_latipinna ENSPLAG00000009222
poecilia_reticulata ENSPREG00000005981
xiphophorus_maculatus ENSXMAG00000004777
gambusia_affinis ENSGAFG00000008413
fundulus_heteroclitus ENSFHEG00000016340
kryptolebias_marmoratus ENSKMAG00000004631
oryzias_latipes_asm223467v1 ENSORLG00000027584
oryzias_latipes_asm223471v1 ENSORLG00020012295
oryzias_latipes_asm223469v1 ENSORLG00015007966
oryzias_melastigma ENSOMEG00000006690
amphiprion_ocellaris ENSAOCG00000001282
astatotilapia_calliptera ENSACLG00000011399
maylandia_zebra ENSMZEG00005007241
hippocampus_comes ENSHCOG00000001799
monopterus_albus ENSMALG00000005715
mastacembelus_armatus ENSMAMG00000002316
seriola_dumerili ENSSDUG00000009346
cynoglossus_semilaevis ENSCSEG00000011446
labrus_bergylta ENSLBEG00000009307
esox_lucius ENSELUG00000024500
paramormyrops_kingsleyae ENSPKIG00000025487
scleropages_formosus ENSSFOG00015014794
