labrus_bergylta ENSLBEG00000019841
hippocampus_comes ENSHCOG00000004529
oryzias_latipes_asm223467v1 ENSORLG00000024224
tetraodon_nigroviridis ENSTNIG00000003640
poecilia_formosa ENSPFOG00000019969
poecilia_formosa ENSPFOG00000024295
mola_mola ENSMMOG00000019684
cynoglossus_semilaevis ENSCSEG00000005889
fundulus_heteroclitus ENSFHEG00000015208
cyprinodon_variegatus ENSCVAG00000001382
poecilia_reticulata ENSPREG00000003743
poecilia_latipinna ENSPLAG00000016811
poecilia_latipinna ENSPLAG00000003345
poecilia_mexicana ENSPMEG00000003211
kryptolebias_marmoratus ENSKMAG00000004711
oryzias_latipes_asm223471v1 ENSORLG00020016196
oryzias_melastigma ENSOMEG00000016038
maylandia_zebra ENSMZEG00005018656
amphilophus_citrinellus ENSACIG00000022559
amphiprion_percula ENSAPEG00000001950
amphiprion_ocellaris ENSAOCG00000017523
acanthochromis_polyacanthus ENSAPOG00000005456
stegastes_partitus ENSSPAG00000003347
oryzias_latipes_asm223469v1 ENSORLG00015018971
poecilia_formosa ENSPFOG00000015792
xiphophorus_maculatus ENSXMAG00000022694
gambusia_affinis ENSGAFG00000004031
anabas_testudineus ENSATEG00000004391
seriola_lalandi_dorsalis ENSSLDG00000007942
seriola_dumerili ENSSDUG00000011153
pundamilia_nyererei ENSPNYG00000012681
astatotilapia_calliptera ENSACLG00000021107
haplochromis_burtoni ENSHBUG00000002239
neolamprologus_brichardi ENSNBRG00000002860
scophthalmus_maximus ENSSMAG00000005465
monopterus_albus ENSMALG00000008439
mastacembelus_armatus ENSMAMG00000019417
tetraodon_nigroviridis ENSTNIG00000006704
takifugu_rubripes ENSTRUG00000022451
esox_lucius ENSELUG00000015378
pygocentrus_nattereri ENSPNAG00000000704
astyanax_mexicanus ENSAMXG00000026067
ictalurus_punctatus ENSIPUG00000012506
danio_rerio ENSDARG00000040948
paramormyrops_kingsleyae ENSPKIG00000011478
scleropages_formosus ENSSFOG00015011744
lepisosteus_oculatus ENSLOCG00000017507
pogona_vitticeps ENSPVIG00000008465
notechis_scutatus ENSNSUG00000017232
salvator_merianae ENSSMRG00000023057
echinops_telfairi ENSETEG00000011024
loxodonta_africana ENSLAFG00000007964
castor_canadensis ENSCCNG00000003597
dipodomys_ordii ENSDORG00000000501
mus_spicilegus ENSMSIG00000016095
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000046160
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021862
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020956
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016661
rattus_norvegicus ENSRNOG00000028648
meriones_unguiculatus ENSMUGG00000012812
peromyscus_maniculatus_bairdii ENSPEMG00000005834
microtus_ochrogaster ENSMOCG00000001792
cricetulus_griseus_crigri-picr ENSCGRG00015013608
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001008262
nannospalax_galili ENSNGAG00000019569
ictidomys_tridecemlineatus ENSSTOG00000027713
chinchilla_lanigera ENSCLAG00000010235
cavia_porcellus ENSCPOG00000030289
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000013731
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010004
octodon_degus ENSODEG00000019062
oryctolagus_cuniculus ENSOCUG00000027389
ochotona_princeps ENSOPRG00000007722
prolemur_simus ENSPSMG00000008478
propithecus_coquereli ENSPCOG00000012882
microcebus_murinus ENSMICG00000028171
otolemur_garnettii ENSOGAG00000033584
macaca_mulatta ENSMMUG00000001558
macaca_fascicularis ENSMFAG00000037067
chlorocebus_sabaeus ENSCSAG00000018686
cercocebus_atys ENSCATG00000018778
macaca_nemestrina ENSMNEG00000026267
theropithecus_gelada ENSTGEG00000027070
piliocolobus_tephrosceles ENSPTEG00000010875
pan_troglodytes ENSPTRG00000046566
pan_troglodytes ENSPTRG00000051983
homo_sapiens ENSG00000184221
cebus_capucinus_imitator ENSCCAG00000010149
callithrix_jacchus ENSCJAG00000009439
aotus_nancymaae ENSANAG00000019991
saimiri_boliviensis_boliviensis ENSSBOG00000023447
rhinopithecus_bieti ENSRBIG00000025302
canis_lupus_dingo ENSCAFG00020025652
canis_lupus_familiaris ENSCAFG00000031953
neovison_vison ENSNVIG00000005770
panthera_pardus ENSPPRG00000020678
felis_catus ENSFCAG00000042214
vicugna_pacos ENSVPAG00000005098
sus_scrofa ENSSSCG00000012040
bos_taurus ENSBTAG00000037547
capra_hircus ENSCHIG00000020025
equus_caballus ENSECAG00000037026
equus_asinus_asinus ENSEASG00005006210
pteropus_vampyrus ENSPVAG00000001702
dasypus_novemcinctus ENSDNOG00000042196
spermophilus_dauricus ENSSDAG00000009490
ornithorhynchus_anatinus ENSOANG00000002423
chrysemys_picta_bellii ENSCPBG00000005746
chelonoidis_abingdonii ENSCABG00000018908
sarcophilus_harrisii ENSSHAG00000004906
monodelphis_domestica ENSMODG00000021070
phascolarctos_cinereus ENSPCIG00000012893
xenopus_tropicalis ENSXETG00000033110
