papio_anubis ENSPANG00000030200
aotus_nancymaae ENSANAG00000029666
carlito_syrichta ENSTSYG00000011524
ochotona_princeps ENSOPRG00000009750
chinchilla_lanigera ENSCLAG00000015082
fukomys_damarensis ENSFDAG00000009976
dipodomys_ordii ENSDORG00000029892
microcebus_murinus ENSMICG00000034773
microtus_ochrogaster ENSMOCG00000016962
peromyscus_maniculatus_bairdii ENSPEMG00000025027
cricetulus_griseus_crigri-picr ENSCGRG00015004255
cricetulus_griseus_crigri_1.0 ENSCGRG00000005195
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017985
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000046474
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017143
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018273
meriones_unguiculatus ENSMUGG00000000081
propithecus_coquereli ENSPCOG00000017090
bos_taurus ENSBTAG00000054189
erinaceus_europaeus ENSEEUG00000008062
choloepus_hoffmanni ENSCHOG00000013875
choloepus_hoffmanni ENSCHOG00000010714
