haplochromis_burtoni ENSHBUG00000015229
neolamprologus_brichardi ENSNBRG00000014270
xiphophorus_maculatus ENSXMAG00000026456
stegastes_partitus ENSSPAG00000020293
mastacembelus_armatus ENSMAMG00000012117
monopterus_albus ENSMALG00000007606
oryzias_melastigma ENSOMEG00000018522
seriola_lalandi_dorsalis ENSSLDG00000013827
takifugu_rubripes ENSTRUG00000022188
periophthalmus_magnuspinnatus ENSPMGG00000021957
pygocentrus_nattereri ENSPNAG00000018314
ictalurus_punctatus ENSIPUG00000007975
anser_brachyrhynchus ENSABRG00000005087
serinus_canaria ENSSCAG00000005355
crocodylus_porosus ENSCPRG00005001903
chrysemys_picta_bellii ENSCPBG00000015293
sphenodon_punctatus ENSSPUG00000019177
pogona_vitticeps ENSPVIG00000021105
notechis_scutatus ENSNSUG00000012610
marmota_marmota_marmota ENSMMMG00000005771
spermophilus_dauricus ENSSDAG00000004525
mus_spicilegus ENSMSIG00000024559
sus_scrofa ENSSSCG00000040891
bos_taurus ENSBTAG00000051878
ursus_americanus ENSUAMG00000020535
ursus_maritimus ENSUMAG00000003353
neovison_vison ENSNVIG00000022613
equus_caballus ENSECAG00000030391
