saimiri_boliviensis_boliviensis ENSSBOG00000014865
cebus_capucinus_imitator ENSCCAG00000026882
callithrix_jacchus ENSCJAG00000003449
aotus_nancymaae ENSANAG00000021785
homo_sapiens ENSG00000141682
pongo_abelii ENSPPYG00000009196
chlorocebus_sabaeus ENSCSAG00000018175
carlito_syrichta ENSTSYG00000037555
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018603
cavia_porcellus ENSCPOG00000038037
chinchilla_lanigera ENSCLAG00000014827
castor_canadensis ENSCCNG00000019241
microtus_ochrogaster ENSMOCG00000021445
peromyscus_maniculatus_bairdii ENSPEMG00000025183
cricetulus_griseus_crigri_1.0 ENSCGRG00000002342
cricetulus_griseus_crigri-picr ENSCGRG00015018232
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014355
mesocricetus_auratus ENSMAUG00000011163
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022361
mus_spicilegus ENSMSIG00000020498
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000024521
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023272
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019090
rattus_norvegicus ENSRNOG00000018770
meriones_unguiculatus ENSMUGG00000007380
nannospalax_galili ENSNGAG00000021790
canis_lupus_dingo ENSCAFG00020020064
canis_lupus_familiaris ENSCAFG00000023829
vulpes_vulpes ENSVVUG00000015990
neovison_vison ENSNVIG00000016098
ursus_americanus ENSUAMG00000027405
panthera_pardus ENSPPRG00000011943
panthera_tigris_altaica ENSPTIG00000003837
felis_catus ENSFCAG00000042068
ovis_aries ENSOARG00000005821
capra_hircus ENSCHIG00000015971
bos_taurus ENSBTAG00000049851
bos_mutus ENSBMUG00000013971
bison_bison_bison ENSBBBG00000005421
sus_scrofa ENSSSCG00000026454
