callithrix_jacchus ENSCJAG00000010154
cebus_capucinus_imitator ENSCCAG00000015470
aotus_nancymaae ENSANAG00000036113
pan_troglodytes ENSPTRG00000041894
pan_paniscus ENSPPAG00000008757
gorilla_gorilla ENSGGOG00000025172
rhinopithecus_roxellana ENSRROG00000033474
rhinopithecus_bieti ENSRBIG00000031971
piliocolobus_tephrosceles ENSPTEG00000036003
macaca_nemestrina ENSMNEG00000038653
macaca_mulatta ENSMMUG00000044696
macaca_fascicularis ENSMFAG00000035099
papio_anubis ENSPANG00000029521
cercocebus_atys ENSCATG00000044151
mandrillus_leucophaeus ENSMLEG00000044217
carlito_syrichta ENSTSYG00000026414
propithecus_coquereli ENSPCOG00000019296
castor_canadensis ENSCCNG00000021363
ursus_maritimus ENSUMAG00000020425
vulpes_vulpes ENSVVUG00000028276
