apteryx_rowi ENSARWG00000012229
apteryx_owenii ENSAOWG00000018620
apteryx_haastii ENSAHAG00000001251
anser_brachyrhynchus ENSABRG00000006348
gallus_gallus ENSGALG00000029494
calidris_pygmaea ENSCPGG00000015733
taeniopygia_guttata ENSTGUG00000003747
lonchura_striata_domestica ENSLSDG00000016439
serinus_canaria ENSSCAG00000013078
ficedula_albicollis ENSFALG00000002561
manacus_vitellinus ENSMVIG00005010443
parus_major ENSPMJG00000000280
crocodylus_porosus ENSCPRG00005007799
pelodiscus_sinensis ENSPSIG00000015018
chrysemys_picta_bellii ENSCPBG00000025842
salvator_merianae ENSSMRG00000017540
pan_troglodytes ENSPTRG00000041553
pan_troglodytes ENSPTRG00000051391
pan_paniscus ENSPPAG00000042608
homo_sapiens ENSG00000242252
gorilla_gorilla ENSGGOG00000010916
nomascus_leucogenys ENSNLEG00000012409
macaca_nemestrina ENSMNEG00000014728
macaca_fascicularis ENSMFAG00000040565
cercocebus_atys ENSCATG00000014375
papio_anubis ENSPANG00000023523
mandrillus_leucophaeus ENSMLEG00000039620
chlorocebus_sabaeus ENSCSAG00000002112
rhinopithecus_bieti ENSRBIG00000000752
colobus_angolensis_palliatus ENSCANG00000030890
cebus_capucinus_imitator ENSCCAG00000020525
saimiri_boliviensis_boliviensis ENSSBOG00000026047
callithrix_jacchus ENSCJAG00000046802
aotus_nancymaae ENSANAG00000034859
carlito_syrichta ENSTSYG00000029548
microcebus_murinus ENSMICG00000045135
prolemur_simus ENSPSMG00000020939
propithecus_coquereli ENSPCOG00000020241
otolemur_garnettii ENSOGAG00000025659
castor_canadensis ENSCCNG00000007086
dipodomys_ordii ENSDORG00000027167
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000074483
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026108
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026106
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026107
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000074489
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000074486
mus_spicilegus ENSMSIG00000029238
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025165
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026609
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026610
rattus_norvegicus ENSRNOG00000019607
meriones_unguiculatus ENSMUGG00000009284
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014532
cricetulus_griseus_crigri_1.0 ENSCGRG00000003504
cricetulus_griseus_crigri-picr ENSCGRG00015026325
mesocricetus_auratus ENSMAUG00000015288
microtus_ochrogaster ENSMOCG00000019680
peromyscus_maniculatus_bairdii ENSPEMG00000025586
nannospalax_galili ENSNGAG00000001625
jaculus_jaculus ENSJJAG00000000652
urocitellus_parryii ENSUPAG00010004045
marmota_marmota_marmota ENSMMMG00000013734
ictidomys_tridecemlineatus ENSSTOG00000027908
spermophilus_dauricus ENSSDAG00000023285
cavia_porcellus ENSCPOG00000040505
cavia_aperea ENSCAPG00000009907
octodon_degus ENSODEG00000010926
chinchilla_lanigera ENSCLAG00000003710
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009755
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015870
fukomys_damarensis ENSFDAG00000006564
ursus_maritimus ENSUMAG00000018334
ursus_americanus ENSUAMG00000013735
ailuropoda_melanoleuca ENSAMEG00000014417
canis_lupus_dingo ENSCAFG00020006091
canis_lupus_familiaris ENSCAFG00000028647
vulpes_vulpes ENSVVUG00000005877
neovison_vison ENSNVIG00000020619
mustela_putorius_furo ENSMPUG00000004628
panthera_pardus ENSPPRG00000013703
felis_catus ENSFCAG00000045145
equus_asinus_asinus ENSEASG00005019127
bison_bison_bison ENSBBBG00000015635
bos_taurus ENSBTAG00000009433
ovis_aries ENSOARG00000005620
capra_hircus ENSCHIG00000025718
myotis_lucifugus ENSMLUG00000029723
dasypus_novemcinctus ENSDNOG00000033791
oryctolagus_cuniculus ENSOCUG00000025958
loxodonta_africana ENSLAFG00000016824
sarcophilus_harrisii ENSSHAG00000014093
monodelphis_domestica ENSMODG00000016914
xenopus_tropicalis ENSXETG00000002605
gallus_gallus ENSGALG00000028560
coturnix_japonica ENSCJPG00005008392
numida_meleagris ENSNMEG00000011062
anser_brachyrhynchus ENSABRG00000000794
manacus_vitellinus ENSMVIG00005001173
lepidothrix_coronata ENSLCOG00000008819
parus_major ENSPMJG00000000146
melopsittacus_undulatus ENSMUNG00000014475
calidris_pygmaea ENSCPGG00000002452
calidris_pugnax ENSCPUG00000001431
monopterus_albus ENSMALG00000000663
anabas_testudineus ENSATEG00000021927
xiphophorus_maculatus ENSXMAG00000017477
xiphophorus_couchianus ENSXCOG00000013639
cyprinodon_variegatus ENSCVAG00000020411
fundulus_heteroclitus ENSFHEG00000010438
kryptolebias_marmoratus ENSKMAG00000021896
oryzias_latipes_asm223471v1 ENSORLG00020008863
oryzias_latipes_asm223469v1 ENSORLG00015006878
oryzias_melastigma ENSOMEG00000015856
stegastes_partitus ENSSPAG00000013745
neolamprologus_brichardi ENSNBRG00000017916
scophthalmus_maximus ENSSMAG00000013620
cynoglossus_semilaevis ENSCSEG00000007789
danio_rerio ENSDARG00000058414
