sphenodon_punctatus ENSSPUG00000007773
notechis_scutatus ENSNSUG00000005428
taeniopygia_guttata ENSTGUG00000018339
junco_hyemalis ENSJHYG00000015450
lepidothrix_coronata ENSLCOG00000010648
manacus_vitellinus ENSMVIG00005011412
melopsittacus_undulatus ENSMUNG00000004200
apteryx_rowi ENSARWG00000006908
apteryx_haastii ENSAHAG00000007207
apteryx_owenii ENSAOWG00000010685
meriones_unguiculatus ENSMUGG00000008865
castor_canadensis ENSCCNG00000000225
spermophilus_dauricus ENSSDAG00000013838
vulpes_vulpes ENSVVUG00000008095
ursus_americanus ENSUAMG00000008570
